Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,3e-06,21.936204,[116  17] ; [27 22],[104.5  28.5] ; [38.5 10.5],1
n5,1,0.000103,15.080938,[104  30] ; [24 26],[93.2173913 40.7826087] ; [34.7826087 15.2173913],1
s1,1,0.000335,12.86473,[  4 130] ; [ 9 40],[  9.51912568 124.48087432] ; [ 3.48087432 45.51912568],1
n6,1,0.000425,12.420562,[114  19] ; [31 19],[105.38251366  27.61748634] ; [39.61748634 10.38251366],1
p2,1,0.001117,10.622072,[114  19] ; [32 18],[106.10928962  26.89071038] ; [39.89071038 10.10928962],0
n4,1,0.001231,10.443275,[107  29] ; [28 23],[98.18181818 37.81818182] ; [36.81818182 14.18181818],0
p9,1,0.004895,7.917961,[112  19] ; [32 16],[105.38547486  25.61452514] ; [38.61452514  9.38547486],0
r4,1,0.008461,6.93314,[122  14] ; [38 13],[116.36363636  19.63636364] ; [43.63636364  7.36363636],0
v4,1,0.01,6.634835,[128   6] ; [43  8],[123.85945946  10.14054054] ; [47.14054054  3.85945946],0
b1,1,0.012964,6.174049,[45 91] ; [27 24],[52.36363636 83.63636364] ; [19.63636364 31.36363636],0
a8,1,0.022098,5.238023,[ 22 103] ; [ 2 46],[ 17.34104046 107.65895954] ; [ 6.65895954 41.34104046],0
d1,1,0.048406,3.895833,[78 58] ; [21 30],[72. 64.] ; [27. 24.],0
r3,1,0.08557,2.955804,[130   5] ; [44  5],[127.66304348   7.33695652] ; [46.33695652  2.66304348],0
p7,1,0.091565,2.84664,[83 45] ; [25 24],[78.10169492 49.89830508] ; [29.89830508 19.10169492],0
r1,1,0.100754,2.693569,[108  27] ; [35 16],[103.79032258  31.20967742] ; [39.20967742 11.79032258],0
p8,1,0.138965,2.189386,[62 70] ; [17 32],[57.61325967 74.38674033] ; [21.38674033 27.61325967],0
d5,1,0.141269,2.164081,[106  30] ; [33 16],[102.18378378  33.81621622] ; [36.81621622 12.18378378],0
u3,1,0.175543,1.834956,[29 17] ; [ 8 10],[26.59375 19.40625] ; [10.40625  7.59375],0
a7,1,0.199652,1.644917,[109  26] ; [36 14],[105.81081081  29.18918919] ; [39.18918919 10.81081081],0
v2,1,0.201765,1.629555,[71 62] ; [20 27],[67.23888889 65.76111111] ; [23.76111111 23.23888889],0
s5,1,0.217435,1.521219,[59 74] ; [16 31],[55.41666667 77.58333333] ; [19.58333333 27.41666667],0
n2,1,0.222643,1.487251,[22  3] ; [14  5],[20.45454545  4.54545455] ; [15.54545455  3.45454545],0
a1,1,0.247135,1.339425,[  7 129] ; [ 5 46],[  8.72727273 127.27272727] ; [ 3.27272727 47.72727273],0
a6,1,0.251263,1.316268,[88 47] ; [28 22],[84.64864865 50.35135135] ; [31.35135135 18.64864865],0
s3,1,0.284532,1.145317,[110  22] ; [39 12],[107.47540984  24.52459016] ; [41.52459016  9.47540984],0
r2,1,0.354767,0.856332,[127   8] ; [46  5],[125.56451613   9.43548387] ; [47.43548387  3.56451613],0
p4,1,0.364929,0.82086,[77 57] ; [25 25],[74.2826087 59.7173913] ; [27.7173913 22.2826087],0
v1,1,0.425263,0.635726,[63 69] ; [21 30],[60.59016393 71.40983607] ; [23.40983607 27.59016393],0
s7,1,0.429509,0.624152,[58 76] ; [23 23],[60.3 73.7] ; [20.7 25.3],0
a3,1,0.452892,0.563405,[90 45] ; [31 20],[87.82258065 47.17741935] ; [33.17741935 17.82258065],0
s4,1,0.472971,0.515025,[ 32 100] ; [15 36],[33.90163934 98.09836066] ; [13.09836066 37.90163934],0
b4,1,0.481578,0.495289,[85 51] ; [29 22],[82.90909091 53.09090909] ; [31.09090909 19.90909091],0
p5,1,0.506551,0.441185,[ 12 121] ; [ 3 47],[ 10.90163934 122.09836066] ; [ 4.09836066 45.90163934],0
d3,1,0.548544,0.359932,[93 42] ; [36 13],[94.64673913 40.35326087] ; [34.35326087 14.64673913],0
p3,1,0.552391,0.353051,[57 76] ; [19 31],[55.23497268 77.76502732] ; [20.76502732 29.23497268],0
a2,1,0.567116,0.327531,[ 32 104] ; [10 41],[ 30.54545455 105.45454545] ; [11.45454545 39.54545455],0
n1,1,0.598084,0.277895,[ 7 18] ; [ 4 15],[ 6.25 18.75] ; [ 4.75 14.25],0
p6,1,0.658676,0.195136,[45 87] ; [15 34],[43.75690608 88.24309392] ; [16.24309392 32.75690608],0
p1,1,0.698201,0.15035,[ 10 123] ; [ 3 48],[  9.39673913 123.60326087] ; [ 3.60326087 47.39673913],0
u2,1,0.704565,0.143767,[26 19] ; [10  9],[25.3125 19.6875] ; [10.6875  8.3125],0
a5,1,0.727339,0.121569,[91 44] ; [33 18],[90. 45.] ; [34. 17.],0
u1,1,0.751185,0.100538,[ 24 112] ; [ 8 43],[ 23.27272727 112.72727273] ; [ 8.72727273 42.27272727],0
a4,1,0.825957,0.048351,[58 77] ; [21 30],[57.33870968 77.66129032] ; [21.66129032 29.33870968],0
s6,1,0.855654,0.033091,[102  30] ; [38 12],[101.53846154  30.46153846] ; [38.46153846 11.53846154],0
d2,1,0.90639,0.013828,[58 77] ; [21 29],[57.64864865 77.35135135] ; [21.35135135 28.64864865],0
d4,1,0.941137,0.005452,[114  21] ; [42  8],[113.83783784  21.16216216] ; [42.16216216  7.83783784],0
n3,1,0.953788,0.003358,[18  8] ; [13  6],[17.91111111  8.08888889] ; [13.08888889  5.91111111],0
v3,1,0.964496,0.001981,[45 86] ; [17 33],[44.87292818 86.12707182] ; [17.12707182 32.87292818],0
b3,1,0.971004,0.001321,[22 56] ; [ 5 13],[21.9375 56.0625] ; [ 5.0625 12.9375],0
b2,1,0.971004,0.001321,[22 56] ; [ 5 13],[21.9375 56.0625] ; [ 5.0625 12.9375],0
b5,1,1.0,0.0,[80 56] ; [30 21],[80. 56.] ; [30. 21.],0
