Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r2,1,2e-06,22.594923,[39  1] ; [13 14],[31.04477612  8.95522388] ; [20.95522388  6.04477612],1
r3,1,2.1e-05,18.134698,[39  1] ; [15 12],[32.23880597  7.76119403] ; [21.76119403  5.23880597],1
v4,1,0.000122,14.756551,[37  2] ; [15 12],[30.72727273  8.27272727] ; [21.27272727  5.72727273],1
r1,1,0.0003,13.069653,[31  9] ; [ 9 18],[23.88059701 16.11940299] ; [16.11940299 10.88059701],1
b4,1,0.071804,3.24129,[28 12] ; [13 14],[24.47761194 15.52238806] ; [16.52238806 10.47761194],0
p10,1,0.082014,3.024526,[ 5 35] ; [ 8 19],[ 7.76119403 32.23880597] ; [ 5.23880597 21.76119403],0
u3,1,0.087725,2.915629,[13  4] ; [6 7],[10.76666667  6.23333333] ; [8.23333333 4.76666667],0
n2,1,0.09453,2.795489,[11  4] ; [ 8 10],[8.63636364 6.36363636] ; [10.36363636  7.63636364],0
p3,1,0.120268,2.413824,[13 27] ; [ 4 22],[10.3030303 29.6969697] ; [ 6.6969697 19.3030303],0
p7,1,0.252161,1.311293,[22 18] ; [11 16],[19.70149254 20.29850746] ; [13.29850746 13.70149254],0
u2,1,0.269023,1.221719,[10  7] ; [5 8],[8.5 8.5] ; [6.5 6.5],0
s3,1,0.285327,1.141541,[17 23] ; [ 8 19],[14.92537313 25.07462687] ; [10.07462687 16.92537313],0
s6,1,0.297623,1.084813,[18 21] ; [ 9 18],[15.95454545 23.04545455] ; [11.04545455 15.95454545],0
s1,1,0.336992,0.921841,[ 3 37] ; [ 4 23],[ 4.17910448 35.82089552] ; [ 2.82089552 24.17910448],0
p1,1,0.340748,0.907615,[ 1 39] ; [ 2 25],[ 1.79104478 38.20895522] ; [ 1.20895522 25.79104478],0
d2,1,0.344561,0.893389,[21 19] ; [11 16],[19.10447761 20.89552239] ; [12.89552239 14.10447761],0
p2,1,0.344561,0.893389,[21 19] ; [11 16],[19.10447761 20.89552239] ; [12.89552239 14.10447761],0
n3,1,0.352957,0.862797,[11  5] ; [9 8],[9.6969697 6.3030303] ; [10.3030303  6.6969697],0
d5,1,0.36376,0.824872,[28 12] ; [16 11],[26.26865672 13.73134328] ; [17.73134328  9.26865672],0
d1,1,0.396528,0.71883,[19 21] ; [10 17],[17.31343284 22.68656716] ; [11.68656716 15.31343284],0
n6,1,0.396614,0.718568,[22 18] ; [12 15],[20.29850746 19.70149254] ; [13.70149254 13.29850746],0
s4,1,0.405364,0.692357,[ 7 33] ; [ 7 20],[ 8.35820896 31.64179104] ; [ 5.64179104 21.35820896],0
s8,1,0.446226,0.58022,[ 7 32] ; [ 3 24],[ 5.90909091 33.09090909] ; [ 4.09090909 22.90909091],0
v2,1,0.473775,0.513158,[16 22] ; [ 9 18],[14.61538462 23.38461538] ; [10.38461538 16.61538462],0
n5,1,0.510654,0.432727,[ 9 31] ; [ 8 19],[10.14925373 29.85074627] ; [ 6.85074627 20.14925373],0
p4,1,0.516852,0.42017,[18 22] ; [10 17],[16.71641791 23.28358209] ; [11.28358209 15.71641791],0
d3,1,0.517686,0.418501,[21 19] ; [12 15],[19.70149254 20.29850746] ; [13.29850746 13.70149254],0
a6,1,0.581811,0.303317,[22 18] ; [13 14],[20.89552239 19.10447761] ; [14.10447761 12.89552239],0
a7,1,0.585244,0.297834,[21 19] ; [16 11],[22.08955224 17.91044776] ; [14.91044776 12.08955224],0
s5,1,0.601635,0.272537,[ 8 31] ; [ 4 22],[ 7.2 31.8] ; [ 4.8 21.2],0
a3,1,0.648368,0.207964,[23 17] ; [14 13],[22.08955224 17.91044776] ; [14.91044776 12.08955224],0
s7,1,0.649334,0.20674,[ 7 31] ; [ 6 20],[ 7.71875 30.28125] ; [ 5.28125 20.71875],0
s2,1,0.669183,0.18256,[12 27] ; [ 7 20],[11.22727273 27.77272727] ; [ 7.77272727 19.22727273],0
d4,1,0.720549,0.127968,[29 10] ; [19  8],[28.36363636 10.63636364] ; [19.63636364  7.36363636],0
b2,1,0.7277,0.121234,[ 5 20] ; [ 2 11],[ 4.60526316 20.39473684] ; [ 2.39473684 10.60526316],0
b3,1,0.7277,0.121234,[ 5 20] ; [ 2 11],[ 4.60526316 20.39473684] ; [ 2.39473684 10.60526316],0
v3,1,0.736956,0.112821,[ 7 32] ; [ 4 23],[ 6.5 32.5] ; [ 4.5 22.5],0
a1,1,0.776421,0.080648,[ 1 39] ; [ 1 26],[ 1.19402985 38.80597015] ; [ 0.80597015 26.19402985],0
v1,1,0.793647,0.068423,[10 30] ; [ 6 21],[ 9.55223881 30.44776119] ; [ 6.44776119 20.55223881],0
b5,1,0.799884,0.064261,[22 18] ; [14 13],[21.49253731 18.50746269] ; [14.50746269 12.49253731],0
b1,1,0.881777,0.022117,[20 20] ; [14 13],[20.29850746 19.70149254] ; [13.70149254 13.29850746],0
a2,1,0.884046,0.02127,[ 4 36] ; [ 3 24],[ 4.17910448 35.82089552] ; [ 2.82089552 24.17910448],0
p6,1,0.899263,0.016026,[ 8 31] ; [ 5 21],[ 7.8 31.2] ; [ 5.2 20.8],0
n1,1,0.943109,0.005093,[ 4 11] ; [ 5 13],[ 4.09090909 10.90909091] ; [ 4.90909091 13.09090909],0
p11,1,0.951652,0.003676,[16 24] ; [11 16],[16.11940299 23.88059701] ; [10.88059701 16.11940299],0
a5,1,0.964223,0.002012,[18 22] ; [12 15],[17.91044776 22.08955224] ; [12.08955224 14.91044776],0
a4,1,0.974077,0.001056,[12 28] ; [ 8 19],[11.94029851 28.05970149] ; [ 8.05970149 18.94029851],0
p8,1,0.974439,0.001027,[14 26] ; [ 9 17],[13.93939394 26.06060606] ; [ 9.06060606 16.93939394],0
