Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,4.3e-05,16.715507,[20 16] ; [ 1 23],[12.6 23.4] ; [ 8.4 15.6],1
n5,1,6.1e-05,16.062291,[11 25] ; [20  4],[18.6 17.4] ; [12.4 11.6],1
d3,1,0.000761,11.334133,[24 12] ; [ 5 18],[17.69491525 18.30508475] ; [11.30508475 11.69491525],1
d5,1,0.001341,10.285714,[27  9] ; [ 8 16],[21. 15.] ; [14. 10.],0
s3,1,0.005562,7.68694,[20 15] ; [ 5 19],[14.83050847 20.16949153] ; [10.16949153 13.83050847],0
a7,1,0.01123,6.428571,[24 12] ; [ 8 16],[19.2 16.8] ; [12.8 11.2],0
a3,1,0.021554,5.281414,[25 11] ; [ 9 14],[20.74576271 15.25423729] ; [13.25423729  9.74576271],0
r1,1,0.042754,4.105114,[13 23] ; [ 3 21],[ 9.6 26.4] ; [ 6.4 17.6],0
b3,1,0.049662,3.852843,[ 5 18] ; [7 6],[ 7.66666667 15.33333333] ; [4.33333333 8.66666667],0
b2,1,0.049662,3.852843,[ 5 18] ; [7 6],[ 7.66666667 15.33333333] ; [4.33333333 8.66666667],0
r3,1,0.070591,3.269231,[19 17] ; [ 7 17],[15.6 20.4] ; [10.4 13.6],0
s7,1,0.084516,2.975845,[11 22] ; [ 3 20],[ 8.25 24.75] ; [ 5.75 17.25],0
u2,1,0.098168,2.735065,[8 3] ; [6 9],[5.92307692 5.07692308] ; [8.07692308 6.92307692],0
d2,1,0.108809,2.571429,[18 18] ; [ 7 17],[15. 21.] ; [10. 14.],0
a5,1,0.138031,2.199776,[19 17] ; [ 8 16],[16.2 19.8] ; [10.8 13.2],0
s6,1,0.140777,2.169448,[14 22] ; [ 5 19],[11.4 24.6] ; [ 7.6 16.4],0
s5,1,0.14411,2.133518,[ 8 27] ; [ 2 22],[ 5.93220339 29.06779661] ; [ 4.06779661 19.93220339],0
u3,1,0.164725,1.930303,[5 6] ; [ 3 12],[3.38461538 7.61538462] ; [ 4.61538462 10.38461538],0
b4,1,0.170349,1.879867,[20 16] ; [ 9 15],[17.4 18.6] ; [11.6 12.4],0
p3,1,0.204245,1.611756,[ 7 27] ; [ 2 22],[ 5.27586207 28.72413793] ; [ 3.72413793 20.27586207],0
p6,1,0.206879,1.593133,[ 4 29] ; [ 6 18],[ 5.78947368 27.21052632] ; [ 4.21052632 19.78947368],0
p8,1,0.258961,1.274301,[ 6 28] ; [ 7 16],[ 7.75438596 26.24561404] ; [ 5.24561404 17.75438596],0
a4,1,0.263552,1.25,[14 22] ; [ 6 18],[12. 24.] ; [ 8. 16.],0
