Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,0.051117,3.804448,[ 9 34] ; [13 18],[12.78378378 30.21621622] ; [ 9.21621622 21.78378378],0
s2,1,0.064198,3.425473,[14 30] ; [16 14],[17.83783784 26.16216216] ; [12.16216216 17.83783784],0
n4,1,0.082454,3.015864,[27 16] ; [26  6],[30.38666667 12.61333333] ; [22.61333333  9.38666667],0
n6,1,0.086883,2.931202,[24 19] ; [24  8],[27.52 15.48] ; [20.48 11.52],0
a4,1,0.101361,2.684001,[16 27] ; [18 14],[19.49333333 23.50666667] ; [14.50666667 17.49333333],0
b3,1,0.130269,2.289297,[13 18] ; [ 4 15],[10.54 20.46] ; [ 6.46 12.54],0
b2,1,0.130269,2.289297,[13 18] ; [ 4 15],[10.54 20.46] ; [ 6.46 12.54],0
b1,1,0.163323,1.943182,[19 25] ; [19 13],[22. 22.] ; [16. 16.],0
n2,1,0.168509,1.896162,[13  2] ; [7 4],[11.53846154  3.46153846] ; [8.46153846 2.53846154],0
p5,1,0.170994,1.874211,[ 1 43] ; [ 3 29],[ 2.31578947 41.68421053] ; [ 1.68421053 30.31578947],0
s7,1,0.179665,1.800394,[14 29] ; [14 15],[16.72222222 26.27777778] ; [11.27777778 17.72222222],0
v2,1,0.180352,1.794723,[23 21] ; [21 10],[25.81333333 18.18666667] ; [18.18666667 12.81333333],0
r1,1,0.208927,1.578844,[31 12] ; [27  5],[33.25333333  9.74666667] ; [24.74666667  7.25333333],0
r3,1,0.216766,1.525652,[41  3] ; [27  5],[39.36842105  4.63157895] ; [28.63157895  3.36842105],0
p4,1,0.234522,1.413223,[16 28] ; [16 16],[18.52631579 25.47368421] ; [13.47368421 18.52631579],0
s3,1,0.238769,1.387847,[19 24] ; [18 13],[21.5 21.5] ; [15.5 15.5],0
b5,1,0.246301,1.344161,[29 15] ; [25  7],[31.26315789 12.73684211] ; [22.73684211  9.26315789],0
