Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,6.2e-05,16.034053,[11  2] ; [ 55 127],[4.4 8.6] ; [ 61.6 120.4],1
p1,1,0.000271,13.263073,[5 8] ; [ 14 170],[ 1.25380711 11.74619289] ; [ 17.74619289 166.25380711],1
p4,1,0.000866,11.093592,[12  1] ; [ 82 102],[6.20304569 6.79695431] ; [87.79695431 96.20304569],1
s5,1,0.011561,6.376909,[7 5] ; [ 43 130],[3.24324324 8.75675676] ; [ 46.75675676 126.24324324],0
p8,1,0.012927,6.179067,[7 6] ; [ 42 141],[3.25 9.75] ; [ 45.75 137.25],0
v1,1,0.054348,3.701978,[9 4] ; [ 74 103],[5.67894737 7.32105263] ; [77.32105263 99.67894737],0
r3,1,0.072638,3.222372,[10  3] ; [168  15],[11.80612245  1.19387755] ; [166.19387755  16.80612245],0
p12,1,0.072638,3.222372,[ 3 10] ; [ 15 168],[ 1.19387755 11.80612245] ; [ 16.80612245 166.19387755],0
s3,1,0.084055,2.984694,[10  3] ; [95 87],[7. 6.] ; [98. 84.],0
n1,1,0.093229,2.817718,[4 1] ; [29 41],[2.2 2.8] ; [30.8 39.2],0
a4,1,0.106271,2.608815,[5 8] ; [112  71],[7.76020408 5.23979592] ; [109.23979592  73.76020408],0
p10,1,0.162206,1.95354,[11  2] ; [119  62],[8.71134021 4.28865979] ; [121.28865979  59.71134021],0
b5,1,0.180215,1.79585,[6 7] ; [119  65],[8.24873096 4.75126904] ; [116.75126904  67.24873096],0
p2,1,0.184359,1.762128,[11  2] ; [123  61],[8.84263959 4.15736041] ; [125.15736041  58.84263959],0
a2,1,0.184359,1.762128,[ 2 11] ; [ 61 123],[4.15736041 8.84263959] ; [ 58.84263959 125.15736041],0
n5,1,0.192331,1.699675,[11  2] ; [123  60],[8.8877551 4.1122449] ; [125.1122449  57.8877551],0
v2,1,0.198674,1.652098,[5 8] ; [100  76],[7.22222222 5.77777778] ; [97.77777778 78.22222222],0
s6,1,0.232291,1.426779,[10  3] ; [109  72],[7.9742268 5.0257732] ; [111.0257732  69.9742268],0
r2,1,0.238676,1.388397,[11  2] ; [169  12],[12.06185567  0.93814433] ; [167.93814433  13.06185567],0
u1,1,0.284217,1.146816,[5 8] ; [ 46 138],[3.36548223 9.63451777] ; [ 47.63451777 136.36548223],0
n3,1,0.28997,1.119759,[2 3] ; [44 25],[3.10810811 1.89189189] ; [42.89189189 26.10810811],0
n4,1,0.297229,1.086586,[11  2] ; [131  53],[9.37055838 3.62944162] ; [132.62944162  51.37055838],0
a5,1,0.389375,0.740892,[9 4] ; [146  38],[10.2284264  2.7715736] ; [144.7715736  39.2284264],0
s4,1,0.476535,0.506782,[ 1 11] ; [ 29 152],[ 1.86528497 10.13471503] ; [ 28.13471503 152.86528497],0
a1,1,0.492479,0.471107,[ 1 12] ; [  7 177],[ 0.52791878 12.47208122] ; [  7.47208122 176.52791878],0
s1,1,0.495923,0.463649,[ 1 12] ; [  7 176],[ 0.53061224 12.46938776] ; [  7.46938776 175.53061224],0
d3,1,0.514189,0.425534,[12  1] ; [158  26],[11.21827411  1.78172589] ; [158.78172589  25.21827411],0
a6,1,0.51641,0.421057,[8 5] ; [129  55],[9.04060914 3.95939086] ; [127.95939086  56.04060914],0
d2,1,0.568685,0.324887,[9 4] ; [138  43],[9.85051546 3.14948454] ; [137.14948454  43.85051546],0
b1,1,0.588939,0.292005,[6 7] ; [ 71 113],[5.08121827 7.91878173] ; [ 71.91878173 112.08121827],0
s8,1,0.610758,0.259072,[6 7] ; [ 71 111],[5.13333333 7.86666667] ; [ 71.86666667 110.13333333],0
b2,1,0.635617,0.224521,[4 5] ; [42 73],[3.33870968 5.66129032] ; [42.66129032 72.33870968],0
b3,1,0.635617,0.224521,[4 5] ; [42 73],[3.33870968 5.66129032] ; [42.66129032 72.33870968],0
s7,1,0.649831,0.206113,[6 6] ; [74 97],[5.24590164 6.75409836] ; [74.75409836 96.24590164],0
v4,1,0.680607,0.169443,[12  1] ; [163  21],[11.54822335  1.45177665] ; [163.45177665  20.54822335],0
p6,1,0.726064,0.122756,[ 2 11] ; [ 35 146],[ 2.47938144 10.52061856] ; [ 34.52061856 146.47938144],0
u2,1,0.762369,0.091429,[2 1] ; [26 19],[1.75 1.25] ; [26.25 18.75],0
v3,1,0.78283,0.075974,[5 8] ; [ 60 113],[4.54301075 8.45698925] ; [ 60.45698925 112.54301075],0
p11,1,0.788142,0.072212,[8 5] ; [120  64],[8.44670051 4.55329949] ; [119.55329949  64.44670051],0
s2,1,0.803617,0.061836,[7 6] ; [91 90],[6.56701031 6.43298969] ; [91.43298969 89.56701031],0
r4,1,0.835131,0.043316,[10  3] ; [146  38],[10.29441624  2.70558376] ; [145.70558376  38.29441624],0
a3,1,0.910837,0.01254,[10  3] ; [139  45],[9.83248731 3.16751269] ; [139.16751269  44.83248731],0
b4,1,0.931162,0.007462,[8 5] ; [111  73],[7.85279188 5.14720812] ; [111.14720812  72.85279188],0
r1,1,0.937121,0.006223,[10  3] ; [139  44],[9.88265306 3.11734694] ; [139.11734694  43.88265306],0
n2,1,0.949471,0.004016,[3 2] ; [43 27],[3.06666667 1.93333333] ; [42.93333333 27.06666667],0
a7,1,0.991665,0.000109,[10  3] ; [141  42],[10.01530612  2.98469388] ; [140.98469388  42.01530612],0
u3,1,1.0,0.0,[2 1] ; [30 15],[2. 1.] ; [30. 15.],0
