Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0,25.808146,[299  28] ; [47 21],[286.43544304  40.56455696] ; [59.56455696  8.43544304],1
p10,1,4e-06,21.488716,[293  35] ; [46 22],[280.78787879  47.21212121] ; [58.21212121  9.78787879],1
p8,1,2.7e-05,17.624015,[197 127] ; [22 45],[181.47314578 142.52685422] ; [37.52685422 29.47314578],1
r3,1,3e-05,17.435139,[328   4] ; [61  7],[322.87   9.13] ; [66.13  1.87],1
b1,1,0.00058,11.837727,[113 222] ; [38 30],[125.52109181 209.47890819] ; [25.47890819 42.52109181],1
p2,1,0.000794,11.256365,[291  40] ; [49 19],[282.05513784  48.94486216] ; [57.94486216 10.05513784],1
p12,1,0.008516,6.921559,[ 40 290] ; [ 1 67],[ 33.99497487 296.00502513] ; [ 7.00502513 60.99497487],0
n5,1,0.013335,6.124146,[291  40] ; [52 16],[284.54385965  46.45614035] ; [58.45614035  9.54385965],0
p7,1,0.02024,5.391061,[234  91] ; [38 28],[226.08695652  98.91304348] ; [45.91304348 20.08695652],0
n6,1,0.021579,5.279376,[303  28] ; [56 12],[297.81704261  33.18295739] ; [61.18295739  6.81704261],0
s4,1,0.023389,5.13935,[ 36 296] ; [14 53],[ 41.60401003 290.39598997] ; [ 8.39598997 58.60401003],0
p4,1,0.043963,4.057992,[222 107] ; [36 30],[214.89113924 114.10886076] ; [43.10886076 22.89113924],0
p3,1,0.049129,3.870939,[198 132] ; [32 36],[190.70351759 139.29648241] ; [39.29648241 28.70351759],0
p5,1,0.062358,3.473531,[ 47 285] ; [ 4 64],[ 42.33 289.67] ; [ 8.67 59.33],0
r4,1,0.067157,3.351164,[309  26] ; [58 10],[305.07444169  29.92555831] ; [61.92555831  6.07444169],0
v1,1,0.10319,2.655529,[225 101] ; [40 28],[219.26395939 106.73604061] ; [45.73604061 22.26395939],0
s6,1,0.11769,2.447795,[220 108] ; [50 15],[225.34351145 102.65648855] ; [44.65648855 20.34351145],0
s2,1,0.130249,2.289538,[173 156] ; [42 25],[178.62373737 150.37626263] ; [36.37626263 30.62373737],0
p1,1,0.148365,2.088981,[ 33 300] ; [ 3 65],[ 29.89526185 303.10473815] ; [ 6.10473815 61.89526185],0
v4,1,0.148858,2.083911,[316  15] ; [62  6],[313.57894737  17.42105263] ; [64.42105263  3.57894737],0
p6,1,0.173774,1.850081,[133 192] ; [33 33],[137.97953964 187.02046036] ; [28.02046036 37.97953964],0
v3,1,0.191791,1.703809,[198 131] ; [34 32],[193.23544304 135.76455696] ; [38.76455696 27.23544304],0
s1,1,0.193438,1.691235,[  6 322] ; [ 3 65],[  7.45454545 320.54545455] ; [ 1.54545455 66.45454545],0
n2,1,0.24769,1.336287,[37 11] ; [17  2],[38.68656716  9.31343284] ; [15.31343284  3.68656716],0
a2,1,0.256735,1.286278,[ 86 249] ; [22 46],[ 89.77667494 245.22332506] ; [18.22332506 49.77667494],0
a4,1,0.295067,1.096359,[158 175] ; [37 31],[161.93266833 171.06733167] ; [33.06733167 34.93266833],0
a6,1,0.345936,0.888308,[234  98] ; [44 24],[230.74 101.26] ; [47.26 20.74],0
b5,1,0.36562,0.818498,[197 138] ; [44 24],[200.33498759 134.66501241] ; [40.66501241 27.33498759],0
d1,1,0.3906,0.737074,[225 110] ; [42 26],[221.94789082 113.05210918] ; [45.05210918 22.94789082],0
n1,1,0.399226,0.710656,[17 30] ; [ 9 10],[18.51515152 28.48484848] ; [ 7.48484848 11.51515152],0
b2,1,0.408093,0.68435,[ 91 139] ; [12 25],[ 88.72659176 141.27340824] ; [14.27340824 22.72659176],0
b3,1,0.408093,0.68435,[ 91 139] ; [12 25],[ 88.72659176 141.27340824] ; [14.27340824 22.72659176],0
s5,1,0.422477,0.643414,[115 205] ; [26 37],[117.80678851 202.19321149] ; [23.19321149 39.80678851],0
n3,1,0.430758,0.62078,[40  9] ; [17  2],[41.07352941  7.92647059] ; [15.92647059  3.07352941],0
a1,1,0.452663,0.563976,[ 23 312] ; [ 3 65],[ 21.61290323 313.38709677] ; [ 4.38709677 63.61290323],0
d2,1,0.488486,0.47986,[185 147] ; [41 27],[187.58 144.42] ; [38.42 29.58],0
d3,1,0.522461,0.409033,[237  96] ; [51 17],[239.16209476  93.83790524] ; [48.83790524 19.16209476],0
a8,1,0.528519,0.397238,[ 54 245] ; [ 8 47],[ 52.36723164 246.63276836] ; [ 9.63276836 45.36723164],0
u2,1,0.5626,0.335223,[44 32] ; [8 8],[42.95652174 33.04347826] ; [9.04347826 6.95652174],0
a5,1,0.624797,0.239182,[269  65] ; [53 15],[267.53233831  66.46766169] ; [54.46766169 13.53233831],0
s3,1,0.631453,0.230096,[185 140] ; [36 31],[183.22704082 141.77295918] ; [37.77295918 29.22704082],0
r1,1,0.669414,0.182288,[282  52] ; [56 12],[280.82587065  53.17412935] ; [57.17412935 10.82587065],0
a7,1,0.688737,0.160456,[247  85] ; [49 19],[245.68  86.32] ; [50.32 17.68],0
a3,1,0.698284,0.150263,[257  76] ; [51 17],[255.77057357  77.22942643] ; [52.22942643 15.77057357],0
u3,1,0.72006,0.128435,[45 33] ; [9 8],[44.33684211 33.66315789] ; [9.66315789 7.33684211],0
