Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,2e-06,23.034074,[12 28] ; [103  41],[25. 15.] ; [90. 54.],1
r2,1,1.7e-05,18.544389,[31  9] ; [140   4],[37.17391304  2.82608696] ; [133.82608696  10.17391304],1
r3,1,0.000162,14.230412,[33  7] ; [139   3],[37.8021978  2.1978022] ; [134.1978022   7.8021978],1
r4,1,0.000291,13.126672,[27 13] ; [131  14],[34.16216216  5.83783784] ; [123.83783784  21.16216216],1
a2,1,0.00072,11.437296,[ 1 39] ; [ 40 105],[ 8.86486486 31.13513514] ; [ 32.13513514 112.86486486],1
v4,1,0.000887,11.050379,[32  8] ; [137   6],[36.93989071  3.06010929] ; [132.06010929  10.93989071],1
r1,1,0.003441,8.557597,[24 16] ; [118  26],[30.86956522  9.13043478] ; [111.13043478  32.86956522],0
p10,1,0.003724,8.41359,[24 15] ; [118  24],[30.59668508  8.40331492] ; [111.40331492  30.59668508],0
p9,1,0.003894,8.332673,[25 14] ; [118  21],[31.33146067  7.66853933] ; [111.66853933  27.33146067],0
d4,1,0.014497,5.976536,[29 11] ; [127  17],[33.91304348  6.08695652] ; [122.08695652  21.91304348],0
d3,1,0.018298,5.567401,[22 18] ; [107  37],[28.04347826 11.95652174] ; [100.95652174  43.04347826],0
u1,1,0.020195,5.394921,[ 2 38] ; [ 30 115],[ 6.91891892 33.08108108] ; [ 25.08108108 119.91891892],0
n3,1,0.022791,5.184332,[7 8] ; [24  6],[10.33333333  4.66666667] ; [20.66666667  9.33333333],0
p2,1,0.022821,5.182084,[26 13] ; [119  24],[31.07142857  7.92857143] ; [113.92857143  29.07142857],0
a5,1,0.027278,4.873143,[21 19] ; [103  42],[26.81081081 13.18918919] ; [97.18918919 47.81081081],0
d5,1,0.030046,4.706635,[25 15] ; [114  30],[30.2173913  9.7826087] ; [108.7826087  35.2173913],0
d1,1,0.052922,3.746365,[16 24] ; [83 62],[21.40540541 18.59459459] ; [77.59459459 67.40540541],0
n6,1,0.071483,3.248644,[26 12] ; [117  26],[30.02209945  7.97790055] ; [112.97790055  30.02209945],0
a1,1,0.081109,3.042541,[ 5 35] ; [  7 138],[ 2.59459459 37.40540541] ; [  9.40540541 135.59459459],0
s3,1,0.081686,3.031039,[29 11] ; [120  22],[32.74725275  7.25274725] ; [116.25274725  25.74725275],0
n4,1,0.11231,2.52141,[25 15] ; [109  36],[28.97297297 11.02702703] ; [105.02702703  39.97297297],0
b5,1,0.114897,2.485541,[19 21] ; [89 56],[23.35135135 16.64864865] ; [84.64864865 60.35135135],0
p8,1,0.133393,2.252562,[13 26] ; [66 75],[17.11666667 21.88333333] ; [61.88333333 79.11666667],0
p11,1,0.199652,1.644917,[26 14] ; [109  36],[29.18918919 10.81081081] ; [105.81081081  39.18918919],0
p1,1,0.199767,1.644079,[ 1 39] ; [ 12 131],[ 2.84153005 37.15846995] ; [ 10.15846995 132.84153005],0
n5,1,0.206062,1.598881,[24 15] ; [103  40],[27.21428571 11.78571429] ; [99.78571429 43.21428571],0
p12,1,0.213457,1.547825,[ 1 38] ; [ 12 132],[ 2.7704918 36.2295082] ; [ 10.2295082 133.7704918],0
a8,1,0.222019,1.491274,[ 3 35] ; [ 21 113],[ 5.30232558 32.69767442] ; [ 18.69767442 115.30232558],0
n2,1,0.222225,1.489947,[10  4] ; [26  4],[11.45454545  2.54545455] ; [24.54545455  5.45454545],0
b2,1,0.222805,1.48621,[ 5 21] ; [22 47],[ 7.38947368 18.61052632] ; [19.61052632 49.38947368],0
