Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,4.9e-05,16.481499,[111  23] ; [12 14],[103.0125  30.9875] ; [19.9875  6.0125],1
p2,1,8.3e-05,15.489278,[117  18] ; [14 12],[109.8447205  25.1552795] ; [21.1552795  4.8447205],1
p10,1,0.000131,14.627591,[109  25] ; [12 14],[101.3375  32.6625] ; [19.6625  6.3375],1
p7,1,0.002012,9.538266,[93 43] ; [ 9 16],[86.16149068 49.83850932] ; [15.83850932  9.16149068],0
p3,1,0.003373,8.593755,[70 65] ; [ 5 20],[63.28125 71.71875] ; [11.71875 13.28125],0
n4,1,0.008507,6.923537,[108  28] ; [15 12],[102.62576687  33.37423313] ; [20.37423313  6.62576687],0
r1,1,0.009005,6.821748,[115  21] ; [17 10],[110.13496933  25.86503067] ; [21.86503067  5.13496933],0
n3,1,0.00951,6.724424,[27  4] ; [3 4],[24.47368421  6.52631579] ; [5.52631579 1.47368421],0
r4,1,0.011215,6.430881,[121  15] ; [19  8],[116.80981595  19.19018405] ; [23.19018405  3.80981595],0
r3,1,0.021398,5.294118,[130   5] ; [23  4],[127.5   7.5] ; [25.5  1.5],0
p8,1,0.025447,4.993224,[76 59] ; [ 8 17],[70.875 64.125] ; [13.125 11.875],0
n5,1,0.031415,4.630144,[94 41] ; [13 14],[89.16666667 45.83333333] ; [17.83333333  9.16666667],0
b5,1,0.032025,4.597139,[65 71] ; [19  8],[70.08588957 65.91411043] ; [13.91411043 13.08588957],0
v1,1,0.05334,3.733232,[81 52] ; [11 16],[76.475 56.525] ; [15.525 11.475],0
n6,1,0.063906,3.432991,[112  24] ; [18  9],[108.46625767  27.53374233] ; [21.53374233  5.46625767],0
s1,1,0.070086,3.281013,[  2 133] ; [ 2 25],[  3.33333333 131.66666667] ; [ 0.66666667 26.33333333],0
n2,1,0.078028,3.105511,[23  7] ; [3 4],[21.08108108  8.91891892] ; [4.91891892 2.08108108],0
p4,1,0.082068,3.02346,[71 64] ; [ 8 16],[67.0754717 67.9245283] ; [11.9245283 12.0754717],0
s8,1,0.135459,2.228798,[39 97] ; [ 4 23],[ 35.87730061 100.12269939] ; [ 7.12269939 19.87730061],0
b2,1,0.153637,2.035767,[39 54] ; [6 3],[41.02941176 51.97058824] ; [3.97058824 5.02941176],0
b3,1,0.153637,2.035767,[39 54] ; [6 3],[41.02941176 51.97058824] ; [3.97058824 5.02941176],0
s3,1,0.222814,1.486154,[36 99] ; [ 4 22],[ 33.54037267 101.45962733] ; [ 6.45962733 19.54037267],0
p1,1,0.279193,1.171016,[ 14 122] ; [ 1 26],[ 12.51533742 123.48466258] ; [ 2.48466258 24.51533742],0
s7,1,0.304231,1.055556,[34 94] ; [ 4 20],[32. 96.] ; [ 6. 18.],0
s4,1,0.322519,0.978703,[  8 128] ; [ 3 24],[  9.17791411 126.82208589] ; [ 1.82208589 25.17791411],0
a2,1,0.367382,0.8125,[ 25 111] ; [ 7 20],[ 26.6993865 109.3006135] ; [ 5.3006135 21.6993865],0
a5,1,0.369447,0.805523,[102  34] ; [18  9],[100.12269939  35.87730061] ; [19.87730061  7.12269939],0
s5,1,0.372617,0.794919,[ 24 108] ; [ 3 24],[ 22.41509434 109.58490566] ; [ 4.58490566 22.41509434],0
n1,1,0.37456,0.78848,[ 9 20] ; [1 6],[ 8.05555556 20.94444444] ; [1.94444444 5.05555556],0
r2,1,0.392941,0.729823,[125   9] ; [23  3],[123.95  10.05] ; [24.05  1.95],0
d2,1,0.398752,0.712088,[67 68] ; [11 16],[65. 70.] ; [13. 14.],0
b1,1,0.406844,0.688003,[57 79] ; [ 9 18],[55.06748466 80.93251534] ; [10.93251534 16.06748466],0
s2,1,0.432354,0.61649,[ 29 106] ; [ 4 23],[ 27.5 107.5] ; [ 5.5 21.5],0
d5,1,0.442014,0.591049,[107  29] ; [23  4],[108.46625767  27.53374233] ; [21.53374233  5.46625767],0
d4,1,0.646761,0.210008,[110  25] ; [23  4],[110.83333333  24.16666667] ; [22.16666667  4.83333333],0
v3,1,0.670894,0.180558,[72 60] ; [13 13],[71.01265823 60.98734177] ; [13.98734177 12.01265823],0
u2,1,0.686884,0.162479,[14 20] ; [3 3],[14.45 19.55] ; [2.55 3.45],0
a3,1,0.700763,0.14768,[101  35] ; [21  6],[101.79141104  34.20858896] ; [20.20858896  6.79141104],0
u3,1,0.74462,0.106108,[15 20] ; [3 3],[15.36585366 19.63414634] ; [2.63414634 3.36585366],0
v4,1,0.762929,0.090985,[128   8] ; [25  2],[127.65644172   8.34355828] ; [25.34355828  1.65644172],0
b4,1,0.800042,0.064157,[77 59] ; [16 11],[77.59509202 58.40490798] ; [15.40490798 11.59509202],0
u1,1,0.826333,0.048139,[ 18 118] ; [ 4 23],[ 18.35582822 117.64417178] ; [ 3.64417178 23.35582822],0
d1,1,0.8634,0.0296,[83 53] ; [16 11],[82.60122699 53.39877301] ; [16.39877301 10.60122699],0
a6,1,0.897408,0.016625,[94 42] ; [19  8],[94.28220859 41.71779141] ; [18.71779141  8.28220859],0
a4,1,0.913172,0.011889,[62 74] ; [12 15],[61.74233129 74.25766871] ; [12.25766871 14.74233129],0
a7,1,0.939025,0.005852,[94 41] ; [19  8],[94.16666667 40.83333333] ; [18.83333333  8.16666667],0
d3,1,0.980282,0.000611,[91 45] ; [18  9],[90.94478528 45.05521472] ; [18.05521472  8.94478528],0
p6,1,0.987619,0.000241,[39 94] ; [ 7 17],[38.96815287 94.03184713] ; [ 7.03184713 16.96815287],0
