Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,0.000307,13.024529,[4 8] ; [49 10],[8.95774648 3.04225352] ; [44.04225352 14.95774648],1
r3,1,0.002492,9.146374,[8 4] ; [57  3],[10.83333333  1.16666667] ; [54.16666667  5.83333333],0
d4,1,0.012033,6.30604,[7 5] ; [52  7],[9.97183099 2.02816901] ; [49.02816901  9.97183099],0
n5,1,0.024975,5.025604,[4 8] ; [40 19],[7.43661972 4.56338028] ; [36.56338028 22.43661972],0
d1,1,0.034734,4.458204,[3 9] ; [35 25],[6.33333333 5.66666667] ; [31.66666667 28.33333333],0
b4,1,0.041177,4.168725,[4 8] ; [39 21],[7.16666667 4.83333333] ; [35.83333333 24.16666667],0
s7,1,0.052675,3.754214,[4 7] ; [39 19],[6.85507246 4.14492754] ; [36.14492754 21.85507246],0
v2,1,0.057065,3.62069,[3 9] ; [32 26],[6. 6.] ; [29. 29.],0
v4,1,0.093533,2.8125,[9 3] ; [55  5],[10.66666667  1.33333333] ; [53.33333333  6.66666667],0
p6,1,0.141704,2.159361,[6 6] ; [17 43],[3.83333333 8.16666667] ; [19.16666667 40.83333333],0
d2,1,0.153137,2.040725,[4 8] ; [33 26],[6.25352113 5.74647887] ; [30.74647887 28.25352113],0
p7,1,0.168254,1.89843,[8 4] ; [26 32],[5.82857143 6.17142857] ; [28.17142857 29.82857143],0
b1,1,0.170422,1.879228,[4 8] ; [33 27],[6.16666667 5.83333333] ; [30.83333333 29.16666667],0
u1,1,0.204894,1.607143,[ 1 11] ; [15 45],[2.66666667 9.33333333] ; [13.33333333 46.66666667],0
p9,1,0.226568,1.46228,[3 9] ; [25 32],[4.86956522 7.13043478] ; [23.13043478 33.86956522],0
u3,1,0.238821,1.38754,[2 3] ; [15  7],[3.14814815 1.85185185] ; [13.85185185  8.14814815],0
r4,1,0.242809,1.364211,[8 4] ; [49 11],[9.5 2.5] ; [47.5 12.5],0
a2,1,0.242809,1.364211,[ 1 11] ; [14 46],[2.5 9.5] ; [12.5 47.5],0
n6,1,0.254171,1.300231,[7 5] ; [44 15],[8.61971831 3.38028169] ; [42.38028169 16.61971831],0
p3,1,0.288844,1.125,[7 5] ; [25 35],[5.33333333 6.66666667] ; [26.66666667 33.33333333],0
p8,1,0.30781,1.040051,[3 9] ; [24 35],[4.56338028 7.43661972] ; [22.43661972 36.56338028],0
b5,1,0.327187,0.96,[6 6] ; [39 21],[7.5 4.5] ; [37.5 22.5],0
s8,1,0.3411,0.906294,[4 8] ; [29 31],[5.5 6.5] ; [27.5 32.5],0
n2,1,0.349445,0.87547,[2 2] ; [14  5],[2.7826087 1.2173913] ; [13.2173913  5.7826087],0
s1,1,0.373735,0.791209,[ 2 10] ; [ 5 55],[ 1.16666667 10.83333333] ; [ 5.83333333 54.16666667],0
a4,1,0.396144,0.72,[4 8] ; [28 32],[5.33333333 6.66666667] ; [26.66666667 33.33333333],0
p4,1,0.398346,0.713313,[5 7] ; [33 27],[6.33333333 5.66666667] ; [31.66666667 28.33333333],0
a8,1,0.40404,0.696269,[ 1 11] ; [10 45],[ 1.97014925 10.02985075] ; [ 9.02985075 45.97014925],0
s3,1,0.411537,0.674357,[9 3] ; [50  9],[9.97183099 2.02816901] ; [49.02816901  9.97183099],0
p2,1,0.438383,0.600511,[9 3] ; [38 22],[7.83333333 4.16666667] ; [39.16666667 20.83333333],0
v3,1,0.476513,0.506832,[3 9] ; [20 36],[4.05882353 7.94117647] ; [18.94117647 37.05882353],0
a5,1,0.502335,0.45,[7 5] ; [41 19],[8. 4.] ; [40. 20.],0
n3,1,0.624073,0.240184,[2 2] ; [12  7],[2.43478261 1.56521739] ; [11.56521739  7.43478261],0
n1,1,0.624073,0.240184,[2 2] ; [ 7 12],[1.56521739 2.43478261] ; [ 7.43478261 11.56521739],0
b2,1,0.660537,0.192872,[3 4] ; [13 25],[2.48888889 4.51111111] ; [13.51111111 24.48888889],0
b3,1,0.660537,0.192872,[3 4] ; [13 25],[2.48888889 4.51111111] ; [13.51111111 24.48888889],0
v1,1,0.713883,0.13443,[5 7] ; [28 31],[5.57746479 6.42253521] ; [27.42253521 31.57746479],0
a6,1,0.713883,0.13443,[7 5] ; [31 28],[6.42253521 5.57746479] ; [31.57746479 27.42253521],0
a3,1,0.743971,0.106667,[7 5] ; [38 22],[7.5 4.5] ; [37.5 22.5],0
u2,1,0.758742,0.094331,[2 3] ; [10 11],[2.30769231 2.69230769] ; [ 9.69230769 11.30769231],0
d3,1,0.775784,0.081121,[7 5] ; [37 22],[7.43661972 4.56338028] ; [36.56338028 22.43661972],0
s4,1,0.87988,0.022838,[3 9] ; [16 43],[3.21126761 8.78873239] ; [15.78873239 43.21126761],0
r1,1,0.901235,0.015401,[9 3] ; [46 14],[9.16666667 2.83333333] ; [45.83333333 14.16666667],0
a7,1,0.914424,0.011548,[7 5] ; [36 24],[7.16666667 4.83333333] ; [35.83333333 24.16666667],0
p11,1,0.916019,0.01112,[6 6] ; [29 31],[5.83333333 6.16666667] ; [29.16666667 30.83333333],0
r2,1,0.933819,0.006896,[10  1] ; [55  5],[10.07042254  0.92957746] ; [54.92957746  5.07042254],0
n4,1,0.939223,0.005813,[8 4] ; [40 19],[8.11267606 3.88732394] ; [39.88732394 19.11267606],0
