Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.0,30.413458,[17  8] ; [16 91],[ 6.25 18.75] ; [26.75 80.25],1
s3,1,1e-06,24.374187,[21  6] ; [29 80],[ 9.92647059 17.07352941] ; [40.07352941 68.92647059],1
s2,1,5e-06,20.720721,[19  8] ; [27 84],[ 9. 18.] ; [37. 74.],1
p6,1,9.2e-05,15.297987,[13 13] ; [16 92],[ 5.62686567 20.37313433] ; [23.37313433 84.62686567],1
s6,1,0.00046,12.272727,[19  8] ; [36 72],[11. 16.] ; [44. 64.],1
u2,1,0.000775,11.300589,[10  1] ; [18 33],[4.96774194 6.03225806] ; [23.03225806 27.96774194],1
p4,1,0.00386,8.34873,[14 13] ; [26 84],[ 7.88321168 19.11678832] ; [32.11678832 77.88321168],0
s5,1,0.003883,8.337568,[10 15] ; [16 93],[ 4.85074627 20.14925373] ; [21.14925373 87.85074627],0
u3,1,0.004421,8.102398,[8 3] ; [14 37],[3.90322581 7.09677419] ; [18.09677419 32.90322581],0
p10,1,0.016959,5.700591,[22  5] ; [61 47],[16.6 10.4] ; [66.4 41.6],0
p11,1,0.026888,4.897973,[22  5] ; [65 46],[17.02173913  9.97826087] ; [69.97826087 41.02173913],0
d1,1,0.0296,4.732386,[14 13] ; [33 78],[ 9.19565217 17.80434783] ; [37.80434783 73.19565217],0
r4,1,0.035723,4.410286,[18  9] ; [49 62],[13.10869565 13.89130435] ; [53.89130435 57.10869565],0
v4,1,0.041247,4.165857,[24  2] ; [81 29],[20.07352941  5.92647059] ; [84.92647059 25.07352941],0
p8,1,0.055183,3.676541,[12 14] ; [29 79],[ 7.95522388 18.04477612] ; [33.04477612 74.95522388],0
v2,1,0.064475,3.418363,[12 12] ; [33 76],[ 8.12030075 15.87969925] ; [36.87969925 72.12030075],0
d4,1,0.076965,3.127862,[21  6] ; [66 45],[17.02173913  9.97826087] ; [69.97826087 41.02173913],0
b2,1,0.104249,2.639307,[ 4 15] ; [25 35],[ 6.97468354 12.02531646] ; [22.02531646 37.97468354],0
b3,1,0.104249,2.639307,[ 4 15] ; [25 35],[ 6.97468354 12.02531646] ; [22.02531646 37.97468354],0
s1,1,0.108307,2.578757,[ 2 24] ; [  2 109],[ 0.75912409 25.24087591] ; [  3.24087591 107.75912409],0
v3,1,0.109243,2.565134,[ 9 16] ; [23 87],[ 5.92592593 19.07407407] ; [26.07407407 83.92592593],0
p1,1,0.113976,2.498208,[ 3 24] ; [  4 106],[ 1.37956204 25.62043796] ; [  5.62043796 104.37956204],0
p7,1,0.159077,1.982983,[12 13] ; [36 73],[ 8.95522388 16.04477612] ; [39.04477612 69.95522388],0
s4,1,0.178447,1.810507,[ 8 19] ; [20 91],[ 5.47826087 21.52173913] ; [22.52173913 88.47826087],0
a6,1,0.242735,1.364642,[17 10] ; [56 55],[14.2826087 12.7173913] ; [58.7173913 52.2826087],0
p12,1,0.245215,1.350361,[ 2 25] ; [  3 107],[ 0.98540146 26.01459854] ; [  4.01459854 105.98540146],0
r2,1,0.260197,1.267707,[20  4] ; [78 30],[17.81818182  6.18181818] ; [80.18181818 27.81818182],0
p2,1,0.266263,1.235899,[19  8] ; [64 45],[16.47794118 10.52205882] ; [66.52205882 42.47794118],0
u4,1,0.274426,1.194489,[ 1 26] ; [  1 110],[ 0.39130435 26.60869565] ; [  1.60869565 109.39130435],0
p9,1,0.305636,1.049441,[21  6] ; [71 34],[18.81818182  8.18181818] ; [73.18181818 31.81818182],0
b1,1,0.307414,1.041752,[ 9 18] ; [49 62],[11.34782609 15.65217391] ; [46.65217391 64.34782609],0
n1,1,0.341758,0.903825,[4 4] ; [15 31],[2.81481481 5.18518519] ; [16.18518519 29.81481481],0
r3,1,0.349999,0.873459,[22  5] ; [80 30],[20.10218978  6.89781022] ; [81.89781022 28.10218978],0
a1,1,0.361326,0.833279,[ 1 26] ; [ 10 101],[ 2.15217391 24.84782609] ; [  8.84782609 102.15217391],0
n4,1,0.392559,0.731001,[18  9] ; [64 47],[16.04347826 10.95652174] ; [65.95652174 45.04347826],0
a5,1,0.470836,0.520013,[14 13] ; [49 62],[12.32608696 14.67391304] ; [50.67391304 60.32608696],0
n5,1,0.476701,0.506401,[19  8] ; [70 41],[17.41304348  9.58695652] ; [71.58695652 39.41304348],0
a7,1,0.487418,0.482221,[16 11] ; [57 53],[14.38686131 12.61313869] ; [58.61313869 51.38686131],0
d3,1,0.518989,0.415902,[15 12] ; [53 56],[13.5 13.5] ; [54.5 54.5],0
d5,1,0.523905,0.406199,[18  9] ; [66 44],[16.55474453 10.44525547] ; [67.44525547 42.55474453],0
d2,1,0.550705,0.356056,[12 15] ; [42 68],[10.64233577 16.35766423] ; [43.35766423 66.64233577],0
v1,1,0.555545,0.347477,[ 8 17] ; [28 79],[ 6.81818182 18.18181818] ; [29.18181818 77.81818182],0
a4,1,0.612394,0.256704,[ 7 20] ; [34 76],[ 8.08029197 18.91970803] ; [32.91970803 77.08029197],0
a3,1,0.658772,0.195019,[16 11] ; [60 50],[14.97810219 12.02189781] ; [61.02189781 48.97810219],0
