Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,0.0,52.251218,[94  2] ; [17 20],[80.12030075 15.87969925] ; [30.87969925  6.12030075],1
r2,1,0.0,35.59098,[90  6] ; [18 19],[77.95488722 18.04511278] ; [30.04511278  6.95488722],1
r1,1,0.0,25.997635,[72 24] ; [10 27],[59.18796992 36.81203008] ; [22.81203008 14.18796992],1
v4,1,2e-06,22.92487,[93  3] ; [25 12],[85.17293233 10.82706767] ; [32.82706767  4.17293233],1
p9,1,0.002011,9.539202,[71 23] ; [17 19],[63.63076923 30.36923077] ; [24.36923077 11.63076923],0
p11,1,0.003118,8.736862,[68 28] ; [16 21],[60.63157895 35.36842105] ; [23.36842105 13.63157895],0
a6,1,0.010306,6.581171,[60 36] ; [14 23],[53.41353383 42.58646617] ; [20.58646617 16.41353383],0
b1,1,0.016307,5.769449,[35 61] ; [22 15],[41.14285714 54.85714286] ; [15.85714286 21.14285714],0
d5,1,0.043496,4.076007,[71 24] ; [21 16],[66.21212121 28.78787879] ; [25.78787879 11.21212121],0
u2,1,0.047434,3.929915,[24 15] ; [ 6 12],[20.52631579 18.47368421] ; [9.47368421 8.52631579],0
a5,1,0.065294,3.397526,[56 40] ; [15 22],[51.2481203 44.7518797] ; [19.7518797 17.2481203],0
n6,1,0.066849,3.358737,[68 28] ; [20 17],[63.51879699 32.48120301] ; [24.48120301 12.51879699],0
p7,1,0.070667,3.267452,[50 45] ; [13 24],[45.34090909 49.65909091] ; [17.65909091 19.34090909],0
a7,1,0.102669,2.663579,[68 27] ; [21 16],[64.0530303 30.9469697] ; [24.9469697 12.0530303],0
p2,1,0.102669,2.663579,[68 27] ; [21 16],[64.0530303 30.9469697] ; [24.9469697 12.0530303],0
d4,1,0.109452,2.562121,[73 23] ; [23 14],[69.29323308 26.70676692] ; [26.70676692 10.29323308],0
d1,1,0.112963,2.512265,[43 53] ; [11 26],[38.97744361 57.02255639] ; [15.02255639 21.97744361],0
n2,1,0.120732,2.407796,[22  9] ; [11 11],[19.30188679 11.69811321] ; [13.69811321  8.30188679],0
p10,1,0.121334,2.400016,[62 32] ; [19 18],[58.1221374 35.8778626] ; [22.8778626 14.1221374],0
v2,1,0.122122,2.389895,[44 49] ; [12 25],[40.06153846 52.93846154] ; [15.93846154 21.06153846],0
a4,1,0.124973,2.353858,[28 68] ; [ 6 31],[24.54135338 71.45864662] ; [ 9.45864662 27.54135338],0
n3,1,0.140796,2.169243,[21 11] ; [10 12],[18.37037037 13.62962963] ; [12.62962963  9.37037037],0
p3,1,0.17559,1.834562,[32 63] ; [ 8 29],[28.78787879 66.21212121] ; [11.21212121 25.78787879],0
s6,1,0.223734,1.480257,[36 58] ; [10 27],[33.00763359 60.99236641] ; [12.99236641 24.00763359],0
u1,1,0.24667,1.342068,[ 8 88] ; [ 1 36],[ 6.4962406 89.5037594] ; [ 2.5037594 34.4962406],0
p6,1,0.292664,1.107324,[23 70] ; [ 6 31],[20.74615385 72.25384615] ; [ 8.25384615 28.74615385],0
