Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,0.017817,5.614035,[3 1] ; [17 59],[1. 3.] ; [19. 57.],0
a7,1,0.024469,5.061059,[1 3] ; [57 18],[2.93670886 1.06329114] ; [55.06329114 19.93670886],0
s4,1,0.034192,4.485093,[2 2] ; [ 9 65],[0.56410256 3.43589744] ; [10.43589744 63.56410256],0
p11,1,0.07924,3.080428,[2 2] ; [64 12],[3.3 0.7] ; [62.7 13.3],0
a6,1,0.08961,2.881361,[1 3] ; [50 25],[2.58227848 1.41772152] ; [48.41772152 26.58227848],0
a3,1,0.149218,2.080228,[1 3] ; [46 29],[2.37974684 1.62025316] ; [44.62025316 30.37974684],0
d1,1,0.172775,1.858701,[1 3] ; [ 5 71],[0.3 3.7] ; [ 5.7 70.3],0
r2,1,0.172775,1.858701,[3 1] ; [71  5],[3.7 0.3] ; [70.3  5.7],0
v3,1,0.215947,1.5311,[1 3] ; [43 33],[2.2 1.8] ; [41.8 34.2],0
p2,1,0.252012,1.312116,[2 2] ; [56 18],[2.97435897 1.02564103] ; [55.02564103 18.97435897],0
p3,1,0.280286,1.165701,[3 1] ; [35 39],[1.94871795 2.05128205] ; [36.05128205 37.94871795],0
b5,1,0.281206,1.161252,[1 3] ; [40 36],[2.05 1.95] ; [38.95 37.05],0
r4,1,0.304902,1.052632,[3 1] ; [69  7],[3.6 0.4] ; [68.4  7.6],0
d4,1,0.317108,1.000835,[3 1] ; [37 38],[2.02531646 1.97468354] ; [37.97468354 37.02531646],0
d3,1,0.317108,1.000835,[1 3] ; [38 37],[1.97468354 2.02531646] ; [37.02531646 37.97468354],0
u2,1,0.400628,0.70644,[1 2] ; [17 12],[1.6875 1.3125] ; [16.3125 12.6875],0
s3,1,0.42814,0.627862,[3 1] ; [40 33],[2.23376623 1.76623377] ; [40.76623377 32.23376623],0
n6,1,0.438005,0.601504,[3 1] ; [67  9],[3.5 0.5] ; [66.5  9.5],0
s7,1,0.448909,0.573406,[1 3] ; [31 39],[1.72972973 2.27027027] ; [30.27027027 39.72972973],0
p5,1,0.45443,0.559579,[1 3] ; [ 9 65],[0.51282051 3.48717949] ; [ 9.48717949 64.51282051],0
s6,1,0.471934,0.517445,[3 1] ; [42 32],[2.30769231 1.69230769] ; [42.69230769 31.30769231],0
p8,1,0.503504,0.447543,[3 1] ; [43 31],[2.35897436 1.64102564] ; [43.64102564 30.35897436],0
v1,1,0.569927,0.322804,[3 1] ; [45 29],[2.46153846 1.53846154] ; [45.53846154 28.46153846],0
u3,1,0.581815,0.303309,[2 1] ; [15 15],[1.54545455 1.45454545] ; [15.45454545 14.54545455],0
a5,1,0.65105,0.204579,[2 2] ; [46 29],[2.43037975 1.56962025] ; [45.56962025 29.43037975],0
s8,1,0.65406,0.200819,[1 3] ; [27 48],[1.41772152 2.58227848] ; [26.58227848 48.41772152],0
p7,1,0.664826,0.187714,[3 1] ; [47 26],[2.5974026 1.4025974] ; [47.4025974 25.5974026],0
p6,1,0.666941,0.185201,[2 2] ; [29 45],[1.58974359 2.41025641] ; [29.41025641 44.58974359],0
r1,1,0.685458,0.164046,[3 1] ; [63 13],[3.3 0.7] ; [62.7 13.3],0
a4,1,0.695609,0.153081,[1 3] ; [13 62],[0.70886076 3.29113924] ; [13.29113924 61.70886076],0
b4,1,0.71532,0.133021,[2 2] ; [45 31],[2.35 1.65] ; [44.65 31.35],0
b1,1,0.796004,0.066834,[2 2] ; [33 43],[1.75 2.25] ; [33.25 42.75],0
s2,1,0.832329,0.044824,[2 2] ; [33 41],[1.79487179 2.20512821] ; [33.20512821 40.79487179],0
p9,1,0.88494,0.020941,[3 1] ; [57 16],[3.11688312 0.88311688] ; [56.88311688 16.11688312],0
n4,1,0.896234,0.01701,[3 1] ; [54 21],[2.88607595 1.11392405] ; [54.11392405 20.88607595],0
s5,1,0.903752,0.014622,[1 3] ; [20 52],[1.10526316 2.89473684] ; [19.89473684 52.10526316],0
n5,1,0.963633,0.002079,[3 1] ; [57 18],[3.03797468 0.96202532] ; [56.96202532 18.03797468],0
p10,1,0.987658,0.000239,[3 1] ; [55 18],[3.01298701 0.98701299] ; [54.98701299 18.01298701],0
