Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,3e-06,21.99738,[63 14] ; [11 20],[52.75925926 24.24074074] ; [21.24074074  9.75925926],1
n6,1,0.001012,10.805895,[66 10] ; [18 13],[59.6635514 16.3364486] ; [24.3364486  6.6635514],0
p11,1,0.002413,9.205633,[62 15] ; [16 15],[55.61111111 21.38888889] ; [22.38888889  8.61111111],0
n2,1,0.013666,6.080796,[22  1] ; [7 4],[19.61764706  3.38235294] ; [9.38235294 1.61764706],0
s4,1,0.016586,5.739713,[13 63] ; [12 19],[17.75700935 58.24299065] ; [ 7.24299065 23.75700935],0
b1,1,0.025192,5.010654,[38 39] ; [ 8 23],[32.7962963 44.2037037] ; [13.2037037 17.7962963],0
d4,1,0.060734,3.517235,[53 23] ; [27  4],[56.82242991 19.17757009] ; [23.17757009  7.82242991],0
s8,1,0.072671,3.221641,[39 37] ; [10 21],[34.80373832 41.19626168] ; [14.19626168 16.80373832],0
p3,1,0.113931,2.498827,[32 44] ; [ 8 23],[28.41121495 47.58878505] ; [11.58878505 19.41121495],0
d5,1,0.127876,2.318106,[50 26] ; [25  6],[53.27102804 22.72897196] ; [21.72897196  9.27102804],0
a5,1,0.13775,2.20291,[56 21] ; [18 13],[52.75925926 24.24074074] ; [21.24074074  9.75925926],0
a8,1,0.139877,2.17931,[ 9 62] ; [ 1 30],[ 6.96078431 64.03921569] ; [ 3.03921569 27.96078431],0
s3,1,0.148572,2.086849,[43 32] ; [13 18],[39.62264151 35.37735849] ; [16.37735849 14.62264151],0
p7,1,0.157642,1.996705,[32 41] ; [ 9 22],[28.77884615 44.22115385] ; [12.22115385 18.77884615],0
v3,1,0.212717,1.55284,[29 42] ; [ 8 21],[26.27 44.73] ; [10.73 18.27],0
p5,1,0.219164,1.509838,[ 8 66] ; [ 1 29],[ 6.40384615 67.59615385] ; [ 2.59615385 27.40384615],0
n3,1,0.279044,1.171739,[18  5] ; [6 4],[16.72727273  6.27272727] ; [7.27272727 2.72727273],0
d2,1,0.31831,0.995877,[37 38] ; [12 19],[34.66981132 40.33018868] ; [14.33018868 16.66981132],0
p1,1,0.328247,0.955802,[10 67] ; [ 2 29],[ 8.55555556 68.44444444] ; [ 3.44444444 27.55555556],0
p12,1,0.328247,0.955802,[10 67] ; [ 2 29],[ 8.55555556 68.44444444] ; [ 3.44444444 27.55555556],0
b5,1,0.369774,0.804422,[45 32] ; [21 10],[47.05555556 29.94444444] ; [18.94444444 12.05555556],0
a6,1,0.375361,0.785842,[51 25] ; [18 13],[49.00934579 26.99065421] ; [19.99065421 11.00934579],0
b2,1,0.38542,0.753342,[20 31] ; [ 5 13],[18.47826087 32.52173913] ; [ 6.52173913 11.47826087],0
b3,1,0.38542,0.753342,[20 31] ; [ 5 13],[18.47826087 32.52173913] ; [ 6.52173913 11.47826087],0
u3,1,0.386997,0.748355,[13 13] ; [6 3],[14.11428571 11.88571429] ; [4.88571429 4.11428571],0
r4,1,0.387679,0.746209,[65 12] ; [24  7],[63.4537037 13.5462963] ; [25.5462963  5.4537037],0
n1,1,0.458318,0.55,[11 11] ; [4 7],[10. 12.] ; [5. 6.],0
u2,1,0.49169,0.472827,[15 11] ; [4 5],[14.11428571 11.88571429] ; [4.88571429 4.11428571],0
v1,1,0.495421,0.464732,[34 40] ; [12 19],[32.41904762 41.58095238] ; [13.58095238 17.41904762],0
s5,1,0.511375,0.431253,[22 51] ; [10 17],[23.36 49.64] ; [ 8.64 18.36],0
a2,1,0.580687,0.305126,[16 61] ; [ 5 26],[14.97222222 62.02777778] ; [ 6.02777778 24.97222222],0
v2,1,0.61893,0.247374,[43 28] ; [16 13],[41.89 29.11] ; [17.11 11.89],0
s7,1,0.626551,0.236767,[35 37] ; [13 17],[33.88235294 38.11764706] ; [14.11764706 15.88235294],0
a3,1,0.634416,0.226119,[51 26] ; [22  9],[52.0462963 24.9537037] ; [20.9537037 10.0462963],0
r1,1,0.672799,0.178346,[54 23] ; [23  8],[54.89814815 22.10185185] ; [22.10185185  8.89814815],0
