Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,0.0,77.39615,[157   6] ; [30 34],[134.27753304  28.72246696] ; [52.72246696 11.27753304],1
r2,1,0.0,73.455787,[162   1] ; [37 27],[142.89427313  20.10572687] ; [56.10572687  7.89427313],1
v4,1,0.0,64.563048,[154   8] ; [33 33],[132.86842105  29.13157895] ; [54.13157895 11.86842105],1
r1,1,0.0,56.981242,[132  31] ; [19 47],[107.48034934  55.51965066] ; [43.51965066 22.48034934],1
p9,1,2e-06,22.647655,[123  37] ; [27 35],[108.10810811  51.89189189] ; [41.89189189 20.10810811],1
p11,1,5e-06,21.009985,[117  46] ; [26 40],[101.7860262  61.2139738] ; [41.2139738 24.7860262],1
s6,1,8e-06,20.053043,[86 74] ; [14 52],[70.79646018 89.20353982] ; [29.20353982 36.79646018],1
a1,1,8.2e-05,15.502933,[  4 159] ; [11 55],[ 10.6768559 152.3231441] ; [ 4.3231441 61.6768559],1
p10,1,8.2e-05,15.500446,[110  51] ; [26 39],[96.88495575 64.11504425] ; [39.11504425 25.88495575],1
s8,1,0.000115,14.869901,[ 52 111] ; [ 5 61],[ 40.5720524 122.4279476] ; [16.4279476 49.5720524],1
p2,1,0.000304,13.043507,[102  61] ; [24 42],[89.68558952 73.31441048] ; [36.31441048 29.68558952],1
s2,1,0.000706,11.473283,[64 96] ; [11 55],[ 53.09734513 106.90265487] ; [21.90265487 44.09734513],1
u3,1,0.001113,10.62963,[34 20] ; [ 7 21],[27. 27.] ; [14. 14.],0
a7,1,0.001166,10.544244,[115  48] ; [31 34],[104.37719298  58.62280702] ; [41.62280702 23.37719298],0
n2,1,0.001551,10.017569,[43 11] ; [16 18],[36.20454545 17.79545455] ; [22.79545455 11.20454545],0
n6,1,0.001992,9.557315,[122  41] ; [35 30],[112.24122807  50.75877193] ; [44.75877193 20.24122807],0
a6,1,0.002221,9.357172,[114  49] ; [32 34],[103.92139738  59.07860262] ; [42.07860262 23.92139738],0
d4,1,0.004355,8.129645,[130  33] ; [40 25],[121.53508772  41.46491228] ; [48.46491228 16.53508772],0
s1,1,0.011653,6.362858,[  3 157] ; [ 6 60],[  6.37168142 153.62831858] ; [ 2.62831858 63.37168142],0
d5,1,0.013203,6.141646,[121  42] ; [38 28],[113.17467249  49.82532751] ; [45.82532751 20.17467249],0
b5,1,0.016041,5.798425,[107  56] ; [32 34],[98.93886463 64.06113537] ; [40.06113537 25.93886463],0
a5,1,0.017198,5.676094,[109  54] ; [33 33],[101.07423581  61.92576419] ; [40.92576419 25.07423581],0
p1,1,0.017427,5.652893,[  9 153] ; [10 56],[ 13.5 148.5] ; [ 5.5 60.5],0
s3,1,0.021459,5.28916,[76 84] ; [20 45],[68.26666667 91.73333333] ; [27.73333333 37.26666667],0
s5,1,0.025778,4.970844,[ 36 116] ; [ 7 59],[ 29.98165138 122.01834862] ; [13.01834862 52.98165138],0
d3,1,0.027866,4.836349,[100  63] ; [30 36],[92.53275109 70.46724891] ; [37.46724891 28.53275109],0
b1,1,0.049575,3.855777,[ 54 109] ; [31 35],[ 60.50218341 102.49781659] ; [24.49781659 41.50218341],0
u2,1,0.052846,3.748769,[29 24] ; [ 9 19],[24.86419753 28.13580247] ; [13.13580247 14.86419753],0
v2,1,0.073095,3.212113,[67 84] ; [20 44],[61.10232558 89.89767442] ; [25.89767442 38.10232558],0
p6,1,0.093209,2.818061,[ 16 147] ; [ 2 62],[ 12.92511013 150.07488987] ; [ 5.07488987 58.92511013],0
n3,1,0.09731,2.749091,[34 17] ; [16 17],[30.35714286 20.64285714] ; [19.64285714 13.35714286],0
v1,1,0.10011,2.703788,[65 96] ; [18 45],[ 59.65625 101.34375] ; [23.34375 39.65625],0
b2,1,0.105133,2.625898,[29 55] ; [19 19],[33.04918033 50.95081967] ; [14.95081967 23.04918033],0
b3,1,0.105133,2.625898,[29 55] ; [19 19],[33.04918033 50.95081967] ; [14.95081967 23.04918033],0
p8,1,0.10862,2.574179,[ 32 131] ; [ 7 58],[ 27.88157895 135.11842105] ; [11.11842105 53.88157895],0
s7,1,0.125655,2.345374,[ 52 105] ; [14 48],[ 47.31506849 109.68493151] ; [18.68493151 43.31506849],0
u1,1,0.133729,2.248671,[ 21 142] ; [ 4 62],[ 17.79475983 145.20524017] ; [ 7.20524017 58.79475983],0
p12,1,0.180026,1.79741,[  9 152] ; [ 1 64],[  7.12389381 153.87610619] ; [ 2.87610619 62.12389381],0
a3,1,0.208465,1.582055,[109  53] ; [38 27],[104.90748899  57.09251101] ; [42.09251101 22.90748899],0
a4,1,0.317333,0.999907,[69 93] ; [23 42],[65.65638767 96.34361233] ; [26.34361233 38.65638767],0
v3,1,0.317563,0.998956,[ 47 105] ; [16 50],[ 43.9266055 108.0733945] ; [19.0733945 46.9266055],0
a2,1,0.331269,0.943929,[ 31 132] ; [ 9 57],[ 28.47161572 134.52838428] ; [11.52838428 54.47161572],0
d1,1,0.383525,0.759372,[77 86] ; [27 39],[74.02620087 88.97379913] ; [29.97379913 36.02620087],0
b4,1,0.450655,0.569003,[100  63] ; [44 22],[102.49781659  60.50218341] ; [41.50218341 24.49781659],0
n1,1,0.45207,0.565456,[23 30] ; [12 22],[21.32183908 31.67816092] ; [13.67816092 20.32183908],0
a8,1,0.50625,0.441811,[ 14 140] ; [ 4 59],[ 12.77419355 141.22580645] ; [ 5.22580645 57.77419355],0
n5,1,0.539725,0.37605,[96 66] ; [42 24],[98.05263158 63.94736842] ; [39.94736842 26.05263158],0
p3,1,0.596656,0.280068,[ 19 144] ; [ 6 59],[ 17.87280702 145.12719298] ; [ 7.12719298 57.87280702],0
s4,1,0.603825,0.269266,[ 29 132] ; [10 56],[ 27.66079295 133.33920705] ; [11.33920705 54.66079295],0
d2,1,0.679216,0.17101,[66 96] ; [28 36],[67.38053097 94.61946903] ; [26.61946903 37.38053097],0
n4,1,0.743391,0.107168,[105  58] ; [41 25],[103.92139738  59.07860262] ; [42.07860262 23.92139738],0
p5,1,0.982228,0.000496,[  5 157] ; [ 2 64],[  4.97368421 157.02631579] ; [ 2.02631579 63.97368421],0
