Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,57.907143,[10 54] ; [57 13],[32. 32.] ; [35. 35.],1
p11,1,0.000142,14.476786,[21 43] ; [46 24],[32. 32.] ; [35. 35.],1
r4,1,0.000236,13.52209,[33 31] ; [57 13],[42.98507463 21.01492537] ; [47.01492537 22.98507463],1
v4,1,0.000766,11.321121,[39 24] ; [61  9],[47.36842105 15.63157895] ; [52.63157895 17.36842105],1
r3,1,0.001442,10.151035,[40 23] ; [61  9],[47.84210526 15.15789474] ; [53.15789474 16.84210526],0
s8,1,0.001647,9.906443,[ 9 54] ; [27 43],[17.05263158 45.94736842] ; [18.94736842 51.05263158],0
n2,1,0.001905,9.638691,[13 15] ; [24  4],[18.5  9.5] ; [18.5  9.5],0
s2,1,0.004994,7.881755,[14 50] ; [31 38],[21.65413534 42.34586466] ; [23.34586466 45.65413534],0
s6,1,0.005469,7.717547,[20 43] ; [39 31],[27.94736842 35.05263158] ; [31.05263158 38.94736842],0
v2,1,0.008335,6.959951,[19 43] ; [34 29],[26.288 35.712] ; [26.712 36.288],0
a6,1,0.013174,6.14561,[31 33] ; [48 21],[38.01503759 25.98496241] ; [40.98496241 28.01503759],0
a5,1,0.018027,5.593478,[32 32] ; [49 21],[38.68656716 25.31343284] ; [42.31343284 27.68656716],0
d3,1,0.020166,5.397436,[27 37] ; [43 26],[33.68421053 30.31578947] ; [36.31578947 32.68421053],0
s3,1,0.028019,4.826912,[20 43] ; [34 33],[26.16923077 36.83076923] ; [27.83076923 39.16923077],0
a7,1,0.036926,4.353826,[33 30] ; [49 21],[38.84210526 24.15789474] ; [43.15789474 26.84210526],0
n5,1,0.037145,4.34376,[35 28] ; [51 19],[40.73684211 22.26315789] ; [45.26315789 24.73684211],0
s4,1,0.040091,4.21401,[ 7 57] ; [17 52],[11.54887218 52.45112782] ; [12.45112782 56.54887218],0
r2,1,0.046422,3.966226,[49 13] ; [63  6],[53.00763359  8.99236641] ; [58.99236641 10.00763359],0
s5,1,0.054892,3.685378,[ 8 55] ; [17 48],[12.3046875 50.6953125] ; [12.6953125 52.3046875],0
p8,1,0.055218,3.675501,[ 6 58] ; [15 55],[10.02985075 53.97014925] ; [10.97014925 59.02985075],0
n3,1,0.058001,3.593632,[10 14] ; [19  9],[13.38461538 10.61538462] ; [15.61538462 12.38461538],0
b5,1,0.065441,3.393825,[32 32] ; [46 24],[37.25373134 26.74626866] ; [40.74626866 29.25373134],0
p12,1,0.068554,3.317297,[ 1 63] ; [ 6 64],[ 3.34328358 60.65671642] ; [ 3.65671642 66.34328358],0
s7,1,0.070349,3.274853,[15 44] ; [28 41],[19.8203125 39.1796875] ; [23.1796875 45.8203125],0
d1,1,0.109664,2.559055,[25 39] ; [37 33],[29.6119403 34.3880597] ; [32.3880597 37.6119403],0
