Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,0.0,80.514998,[109   2] ; [25 40],[84.51136364 26.48863636] ; [49.48863636 15.51136364],1
v4,1,0.0,60.239821,[107   3] ; [31 34],[86.74285714 23.25714286] ; [51.25714286 13.74285714],1
r2,1,0.0,44.152706,[107   3] ; [37 27],[91.03448276 18.96551724] ; [52.96551724 11.03448276],1
r1,1,0.0,36.101159,[78 32] ; [16 50],[58.75 51.25] ; [35.25 30.75],1
p11,1,0.0,26.731949,[81 30] ; [22 44],[64.59322034 46.40677966] ; [38.40677966 27.59322034],1
u3,1,0.000302,13.055906,[27 16] ; [ 7 26],[19.23684211 23.76315789] ; [14.76315789 18.23684211],1
a1,1,0.000387,12.593695,[  1 110] ; [ 9 57],[  6.27118644 104.72881356] ; [ 3.72881356 62.27118644],1
a6,1,0.000531,12.002977,[78 33] ; [29 37],[67.10169492 43.89830508] ; [39.89830508 26.10169492],1
p2,1,0.001127,10.606481,[81 30] ; [31 33],[71.04 39.96] ; [40.96 23.04],0
n6,1,0.001412,10.189482,[82 29] ; [32 32],[72.30857143 38.69142857] ; [41.69142857 22.30857143],0
d5,1,0.001483,10.09983,[81 29] ; [33 33],[71.25 38.75] ; [42.75 23.25],0
b1,1,0.002015,9.535518,[36 75] ; [37 29],[45.77966102 65.22033898] ; [27.22033898 38.77966102],0
a7,1,0.002931,8.850101,[78 32] ; [32 34],[68.75 41.25] ; [41.25 24.75],0
b5,1,0.003129,8.730732,[77 34] ; [31 35],[67.72881356 43.27118644] ; [40.27118644 25.72881356],0
p7,1,0.003549,8.50134,[54 56] ; [17 47],[44.88505747 65.11494253] ; [26.11494253 37.88505747],0
u2,1,0.009048,6.81328,[26 17] ; [10 23],[20.36842105 22.63157895] ; [15.63157895 17.36842105],0
d3,1,0.016073,5.794864,[68 42] ; [28 37],[60.34285714 49.65714286] ; [35.65714286 29.34285714],0
n2,1,0.022846,5.180191,[23  9] ; [13 17],[18.58064516 13.41935484] ; [17.41935484 12.58064516],0
p6,1,0.022858,5.1793,[28 83] ; [ 7 57],[22.2 88.8] ; [12.8 51.2],0
n3,1,0.023831,5.106871,[21  8] ; [13 17],[16.71186441 12.28813559] ; [17.28813559 12.71186441],0
p9,1,0.032808,4.555745,[74 35] ; [33 31],[67.41618497 41.58381503] ; [39.58381503 24.41618497],0
