Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,6e-06,20.576846,[ 4 14] ; [55 15],[12.06818182  5.93181818] ; [46.93181818 23.06818182],1
d5,1,0.003536,8.507828,[9 9] ; [58 12],[13.70454545  4.29545455] ; [53.29545455 16.70454545],0
s3,1,0.011568,6.375953,[ 8 10] ; [52 17],[12.4137931  5.5862069] ; [47.5862069 21.4137931],0
a8,1,0.016111,5.790732,[ 5 12] ; [ 5 59],[ 2.09876543 14.90123457] ; [ 7.90123457 56.09876543],0
p8,1,0.081621,3.03233,[11  6] ; [28 40],[7.8 9.2] ; [31.2 36.8],0
s2,1,0.085095,2.964799,[ 7 11] ; [43 27],[10.22727273  7.77272727] ; [39.77272727 30.22727273],0
a6,1,0.09928,2.717074,[15  3] ; [44 26],[12.06818182  5.93181818] ; [46.93181818 23.06818182],0
a7,1,0.110366,2.548966,[9 9] ; [49 21],[11.86363636  6.13636364] ; [46.13636364 23.86363636],0
n4,1,0.112819,2.514286,[12  6] ; [32 38],[9. 9.] ; [35. 35.],0
v2,1,0.144965,2.12445,[ 6 10] ; [37 27],[8.6 7.4] ; [34.4 29.6],0
v1,1,0.158497,1.988511,[ 6 11] ; [37 31],[8.6 8.4] ; [34.4 33.6],0
s5,1,0.190353,1.71488,[ 3 13] ; [24 43],[ 5.20481928 10.79518072] ; [21.79518072 45.20481928],0
n5,1,0.1958,1.673428,[10  7] ; [29 41],[7.62068966 9.37931034] ; [31.37931034 38.62068966],0
d2,1,0.203915,1.614109,[ 5 13] ; [31 39],[ 7.36363636 10.63636364] ; [28.63636364 41.36363636],0
a3,1,0.266923,1.232493,[9 9] ; [45 25],[11.04545455  6.95454545] ; [42.95454545 27.04545455],0
p2,1,0.270516,1.21413,[16  2] ; [54 16],[14.31818182  3.68181818] ; [55.68181818 14.31818182],0
b1,1,0.290466,1.11746,[11  7] ; [33 37],[9. 9.] ; [35. 35.],0
u2,1,0.296934,1.087912,[6 3] ; [20  4],[7.09090909 1.90909091] ; [18.90909091  5.09090909],0
b2,1,0.303077,1.060606,[ 2 10] ; [14 30],[3.42857143 8.57142857] ; [12.57142857 31.42857143],0
b3,1,0.303077,1.060606,[ 2 10] ; [14 30],[3.42857143 8.57142857] ; [12.57142857 31.42857143],0
v3,1,0.380873,0.767883,[ 3 14] ; [18 46],[ 4.40740741 12.59259259] ; [16.59259259 47.40740741],0
n3,1,0.392558,0.731002,[5 1] ; [17  9],[4.125 1.875] ; [17.875  8.125],0
p1,1,0.417836,0.656394,[ 2 16] ; [ 4 66],[ 1.22727273 16.77272727] ; [ 4.77272727 65.22727273],0
p7,1,0.422797,0.642527,[12  5] ; [39 26],[10.57317073  6.42682927] ; [40.42682927 24.57317073],0
a4,1,0.445142,0.582993,[ 4 14] ; [22 48],[ 5.31818182 12.68181818] ; [20.68181818 49.31818182],0
s7,1,0.465895,0.531696,[ 7 11] ; [33 35],[8.37209302 9.62790698] ; [31.62790698 36.37209302],0
r4,1,0.474431,0.511637,[13  5] ; [56 14],[14.11363636  3.88636364] ; [54.88636364 15.11363636],0
r2,1,0.503294,0.447985,[14  3] ; [61  8],[14.8255814  2.1744186] ; [60.1744186  8.8255814],0
p4,1,0.530497,0.393439,[11  7] ; [37 33],[9.81818182 8.18181818] ; [38.18181818 31.81818182],0
p6,1,0.606369,0.265496,[ 4 13] ; [20 47],[ 4.85714286 12.14285714] ; [19.14285714 47.85714286],0
u3,1,0.632142,0.229167,[6 3] ; [18  6],[6.54545455 2.45454545] ; [17.45454545  6.54545455],0
b4,1,0.664108,0.188571,[9 9] ; [39 31],[9.81818182 8.18181818] ; [38.18181818 31.81818182],0
b5,1,0.682237,0.167619,[12  6] ; [43 27],[11.25  6.75] ; [43.75 26.25],0
v4,1,0.714641,0.133685,[16  1] ; [64  6],[15.63218391  1.36781609] ; [64.36781609  5.63218391],0
a5,1,0.715379,0.132963,[11  7] ; [46 24],[11.65909091  6.34090909] ; [45.34090909 24.65909091],0
r1,1,0.784886,0.074506,[13  5] ; [52 17],[13.44827586  4.55172414] ; [51.55172414 17.44827586],0
p10,1,0.788113,0.072233,[11  6] ; [47 22],[11.46511628  5.53488372] ; [46.53488372 22.46511628],0
n1,1,0.815076,0.054701,[2 4] ; [10 16],[2.25 3.75] ; [ 9.75 16.25],0
s8,1,0.828638,0.04685,[9 9] ; [33 37],[8.59090909 9.40909091] ; [33.40909091 36.59090909],0
p11,1,0.8504,0.035573,[12  6] ; [45 25],[11.65909091  6.34090909] ; [45.34090909 24.65909091],0
a2,1,0.851762,0.034921,[ 3 15] ; [13 57],[ 3.27272727 14.72727273] ; [12.72727273 57.27272727],0
p3,1,0.903487,0.014703,[ 8 10] ; [30 40],[ 7.77272727 10.22727273] ; [30.22727273 39.77272727],0
p9,1,0.924097,0.009077,[13  4] ; [52 17],[12.84883721  4.15116279] ; [52.15116279 16.84883721],0
n2,1,0.937859,0.006078,[5 1] ; [22  4],[5.0625 0.9375] ; [21.9375  4.0625],0
s4,1,0.954283,0.003287,[ 4 14] ; [16 54],[ 4.09090909 13.90909091] ; [15.90909091 54.09090909],0
r3,1,0.968721,0.001538,[17  1] ; [65  4],[16.96551724  1.03448276] ; [65.03448276  3.96551724],0
