Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,4.4e-05,16.708174,[11  8] ; [11 67],[ 4.30927835 14.69072165] ; [17.69072165 60.30927835],1
p7,1,0.001019,10.793202,[10  8] ; [14 63],[ 4.54736842 13.45263158] ; [19.45263158 57.54736842],0
p6,1,0.004642,8.014027,[ 3 16] ; [ 1 76],[ 0.79166667 18.20833333] ; [ 3.20833333 73.79166667],0
p10,1,0.035603,4.416003,[13  6] ; [32 45],[ 8.90625 10.09375] ; [36.09375 40.90625],0
s1,1,0.048531,3.891507,[ 4 15] ; [ 5 73],[ 1.7628866 17.2371134] ; [ 7.2371134 70.7628866],0
p4,1,0.054037,3.711553,[ 6 12] ; [11 67],[ 3.1875 14.8125] ; [13.8125 64.1875],0
b1,1,0.056168,3.647058,[ 5 14] ; [40 39],[ 8.7244898 10.2755102] ; [36.2755102 42.7244898],0
v2,1,0.079259,3.080035,[9 9] ; [21 53],[ 5.86956522 12.13043478] ; [24.13043478 49.86956522],0
p9,1,0.097228,2.750436,[12  7] ; [31 43],[ 8.78494624 10.21505376] ; [34.21505376 39.78494624],0
s3,1,0.109291,2.564437,[ 2 17] ; [22 56],[ 4.70103093 14.29896907] ; [19.29896907 58.70103093],0
v3,1,0.129462,2.298944,[ 7 12] ; [15 59],[ 4.49462366 14.50537634] ; [17.50537634 56.49462366],0
u1,1,0.176308,1.828477,[ 3 16] ; [ 5 74],[ 1.55102041 17.44897959] ; [ 6.44897959 72.55102041],0
a7,1,0.212153,1.556672,[13  6] ; [41 37],[10.57731959  8.42268041] ; [43.42268041 34.57731959],0
d1,1,0.243305,1.36134,[11  8] ; [34 45],[ 8.7244898 10.2755102] ; [36.2755102 42.7244898],0
r3,1,0.255599,1.292439,[15  4] ; [51 27],[12.92783505  6.07216495] ; [53.07216495 24.92783505],0
v4,1,0.255599,1.292439,[15  4] ; [51 27],[12.92783505  6.07216495] ; [53.07216495 24.92783505],0
p5,1,0.278549,1.174154,[ 1 18] ; [ 1 76],[ 0.39583333 18.60416667] ; [ 1.60416667 75.39583333],0
r4,1,0.279992,1.167127,[12  7] ; [39 40],[9.8877551 9.1122449] ; [41.1122449 37.8877551],0
b3,1,0.299316,1.077241,[3 8] ; [23 29],[4.53968254 6.46031746] ; [21.46031746 30.53968254],0
b2,1,0.299316,1.077241,[3 8] ; [23 29],[4.53968254 6.46031746] ; [21.46031746 30.53968254],0
r1,1,0.303015,1.060876,[12  7] ; [39 39],[9.98969072 9.01030928] ; [41.01030928 36.98969072],0
a6,1,0.312712,1.019186,[13  6] ; [44 35],[11.05102041  7.94897959] ; [45.94897959 33.05102041],0
r2,1,0.324234,0.971793,[16  2] ; [59 16],[14.51612903  3.48387097] ; [60.48387097 14.51612903],0
b4,1,0.334285,0.932225,[ 8 11] ; [43 36],[9.8877551 9.1122449] ; [41.1122449 37.8877551],0
s8,1,0.370356,0.802471,[ 3 16] ; [ 7 72],[ 1.93877551 17.06122449] ; [ 8.06122449 70.93877551],0
d3,1,0.386592,0.749636,[11  8] ; [37 42],[9.30612245 9.69387755] ; [38.69387755 40.30612245],0
a1,1,0.428101,0.627969,[ 1 18] ; [ 9 70],[ 1.93877551 17.06122449] ; [ 8.06122449 70.93877551],0
a2,1,0.438424,0.600404,[ 4 15] ; [11 68],[ 2.90816327 16.09183673] ; [12.09183673 66.90816327],0
n2,1,0.440794,0.594214,[6 2] ; [23 15],[5.04347826 2.95652174] ; [23.95652174 14.04347826],0
d5,1,0.473332,0.514186,[13  6] ; [47 32],[11.63265306  7.36734694] ; [48.36734694 30.63265306],0
n5,1,0.567986,0.326064,[11  8] ; [50 27],[12.07291667  6.92708333] ; [48.92708333 28.07291667],0
n4,1,0.615481,0.252271,[11  8] ; [50 28],[11.94845361  7.05154639] ; [49.05154639 28.94845361],0
n1,1,0.662889,0.190034,[3 5] ; [17 20],[3.55555556 4.44444444] ; [16.44444444 20.55555556],0
s2,1,0.717893,0.130521,[ 3 16] ; [10 69],[ 2.52040816 16.47959184] ; [10.47959184 68.52040816],0
b5,1,0.722836,0.125792,[10  9] ; [38 41],[9.30612245 9.69387755] ; [38.69387755 40.30612245],0
s4,1,0.723084,0.125557,[ 1 18] ; [ 6 73],[ 1.35714286 17.64285714] ; [ 5.64285714 73.35714286],0
s7,1,0.757401,0.095416,[ 3 14] ; [11 64],[ 2.58695652 14.41304348] ; [11.41304348 63.58695652],0
n3,1,0.763598,0.090456,[4 4] ; [19 15],[4.38095238 3.61904762] ; [18.61904762 15.38095238],0
a8,1,0.786028,0.073697,[ 1 16] ; [ 6 71],[ 1.26595745 15.73404255] ; [ 5.73404255 71.26595745],0
p11,1,0.809452,0.058145,[ 9 10] ; [35 44],[ 8.53061224 10.46938776] ; [35.46938776 43.53061224],0
s5,1,0.82311,0.049973,[ 1 18] ; [ 5 70],[ 1.21276596 17.78723404] ; [ 4.78723404 70.21276596],0
d4,1,0.832615,0.044669,[13  6] ; [56 23],[13.37755102  5.62244898] ; [55.62244898 23.37755102],0
v1,1,0.850134,0.035701,[ 4 15] ; [18 60],[ 4.30927835 14.69072165] ; [17.69072165 60.30927835],0
a4,1,0.850664,0.035446,[ 8 11] ; [31 47],[ 7.63917526 11.36082474] ; [31.36082474 46.63917526],0
u2,1,0.855494,0.033165,[3 4] ; [14 16],[3.21621622 3.78378378] ; [13.78378378 16.21621622],0
d2,1,0.880805,0.022485,[ 9 10] ; [35 42],[ 8.70833333 10.29166667] ; [35.29166667 41.70833333],0
n6,1,0.895617,0.017214,[10  8] ; [42 36],[9.75 8.25] ; [42.25 35.75],0
a3,1,0.896317,0.016982,[12  7] ; [48 30],[11.75257732  7.24742268] ; [48.24742268 29.75257732],0
a5,1,0.9412,0.005441,[11  8] ; [45 34],[10.85714286  8.14285714] ; [45.14285714 33.85714286],0
p1,1,0.958783,0.002671,[ 2 17] ; [ 8 71],[ 1.93877551 17.06122449] ; [ 8.06122449 70.93877551],0
u3,1,0.964419,0.00199,[3 4] ; [13 18],[2.94736842 4.05263158] ; [13.05263158 17.94736842],0
