Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,0.0,42.282119,[215  38] ; [33 36],[194.85714286  58.14285714] ; [53.14285714 15.85714286],1
d1,1,0.0,37.028201,[188  66] ; [24 45],[166.7120743  87.2879257] ; [45.2879257 23.7120743],1
d2,1,0.0,34.375759,[163  91] ; [17 52],[141.54798762 112.45201238] ; [38.45201238 30.54798762],1
a4,1,1e-06,24.671006,[144 109] ; [16 53],[125.71428571 127.28571429] ; [34.28571429 34.71428571],1
u1,1,1.2e-05,19.206424,[ 76 178] ; [ 3 66],[ 62.12383901 191.87616099] ; [16.87616099 52.12383901],1
d4,1,5e-05,16.458326,[228  25] ; [49 20],[217.64285714  35.35714286] ; [59.35714286  9.64285714],1
p10,1,0.00057,11.870224,[228  24] ; [50 17],[219.61128527  32.38871473] ; [58.38871473  8.61128527],1
p9,1,0.001819,9.723958,[236  17] ; [55 13],[229.35514019  23.64485981] ; [61.64485981  6.35514019],0
a6,1,0.002952,8.83705,[180  73] ; [36 33],[169.71428571  83.28571429] ; [46.28571429 22.71428571],0
d5,1,0.003954,8.304703,[225  28] ; [52 17],[217.64285714  35.35714286] ; [59.35714286  9.64285714],0
d3,1,0.007431,7.165612,[186  68] ; [39 30],[176.93498452  77.06501548] ; [48.06501548 20.93498452],0
s7,1,0.013467,6.106763,[169  73] ; [33 29],[160.80263158  81.19736842] ; [41.19736842 20.80263158],0
s8,1,0.014626,5.960927,[162  91] ; [33 36],[153.21428571  99.78571429] ; [41.78571429 27.21428571],0
b2,1,0.017585,5.636992,[75 93] ; [ 9 29],[68.50485437 99.49514563] ; [15.49514563 22.50485437],0
b3,1,0.017585,5.636992,[75 93] ; [ 9 29],[68.50485437 99.49514563] ; [15.49514563 22.50485437],0
s2,1,0.023916,5.100717,[178  75] ; [38 30],[170.24299065  82.75700935] ; [45.75700935 22.24299065],0
p11,1,0.047265,3.93592,[211  43] ; [50 19],[205.24458204  48.75541796] ; [55.75541796 13.24458204],0
s5,1,0.053868,3.716797,[126 121] ; [24 40],[119.1318328 127.8681672] ; [30.8681672 33.1318328],0
v2,1,0.054909,3.684833,[157  89] ; [33 32],[150.28938907  95.71061093] ; [39.71061093 25.28938907],0
