Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a8,1,0.001979,9.568878,[3 3] ; [ 10 100],[0.67241379 5.32758621] ; [12.32758621 97.67241379],0
s5,1,0.003208,8.685267,[4 2] ; [21 99],[1.19047619 4.80952381] ; [23.80952381 96.19047619],0
p1,1,0.009848,6.662115,[2 4] ; [  7 115],[0.421875 5.578125] ; [  8.578125 113.421875],0
v3,1,0.011402,6.4016,[5 1] ; [39 80],[2.112 3.888] ; [41.888 77.112],0
r2,1,0.016989,5.697542,[5 1] ; [121   2],[5.86046512 0.13953488] ; [120.13953488   2.86046512],0
s7,1,0.05864,3.575434,[4 2] ; [34 80],[1.9 4.1] ; [36.1 77.9],0
s3,1,0.086882,2.931214,[5 1] ; [58 64],[2.953125 3.046875] ; [60.046875 61.953125],0
p3,1,0.108087,2.58197,[4 2] ; [42 80],[2.15625 3.84375] ; [43.84375 78.15625],0
s2,1,0.115886,2.472065,[4 2] ; [42 78],[2.19047619 3.80952381] ; [43.80952381 76.19047619],0
p4,1,0.120761,2.407428,[4 1] ; [55 68],[2.3046875 2.6953125] ; [56.6953125 66.3046875],0
a5,1,0.126325,2.337097,[2 4] ; [79 44],[3.76744186 2.23255814] ; [77.23255814 45.76744186],0
a1,1,0.152353,2.048533,[1 5] ; [  5 118],[0.27906977 5.72093023] ; [  5.72093023 117.27906977],0
d4,1,0.164793,1.929689,[3 3] ; [92 30],[4.453125 1.546875] ; [90.546875 31.453125],0
s8,1,0.207532,1.588559,[3 3] ; [32 89],[1.65354331 4.34645669] ; [33.34645669 87.65354331],0
p11,1,0.222867,1.485815,[2 4] ; [72 51],[3.44186047 2.55813953] ; [70.55813953 52.44186047],0
s1,1,0.284222,1.146791,[1 5] ; [  7 114],[0.37795276 5.62204724] ; [  7.62204724 113.37795276],0
p6,1,0.35722,0.847643,[2 3] ; [27 94],[1.15079365 3.84920635] ; [27.84920635 93.15079365],0
a7,1,0.375135,0.786585,[3 3] ; [83 40],[4. 2.] ; [82. 41.],0
p8,1,0.400413,0.707086,[3 3] ; [41 82],[2.04651163 3.95348837] ; [41.95348837 81.04651163],0
a4,1,0.462133,0.540723,[3 3] ; [43 79],[2.15625 3.84375] ; [43.84375 78.15625],0
p2,1,0.479485,0.500035,[3 3] ; [79 44],[3.81395349 2.18604651] ; [78.18604651 44.81395349],0
a6,1,0.506817,0.440633,[3 3] ; [78 45],[3.76744186 2.23255814] ; [77.23255814 45.76744186],0
d1,1,0.507474,0.439272,[2 4] ; [58 65],[2.79069767 3.20930233] ; [57.20930233 65.79069767],0
v1,1,0.562761,0.334946,[3 3] ; [47 76],[2.3255814 3.6744186] ; [47.6744186 75.3255814],0
v2,1,0.617041,0.250048,[2 4] ; [52 67],[2.592 3.408] ; [51.408 67.592],0
b1,1,0.637035,0.22264,[4 2] ; [70 53],[3.44186047 2.55813953] ; [70.55813953 52.44186047],0
b5,1,0.637035,0.22264,[4 2] ; [70 53],[3.44186047 2.55813953] ; [70.55813953 52.44186047],0
d5,1,0.655827,0.198633,[4 2] ; [92 31],[4.46511628 1.53488372] ; [91.53488372 31.46511628],0
p7,1,0.687312,0.162011,[3 2] ; [62 60],[2.55905512 2.44094488] ; [62.44094488 59.55905512],0
a3,1,0.692658,0.156224,[4 2] ; [72 51],[3.53488372 2.46511628] ; [72.46511628 50.53488372],0
b2,1,0.708778,0.1395,[2 4] ; [20 56],[1.6097561 4.3902439] ; [20.3902439 55.6097561],0
b3,1,0.708778,0.1395,[2 4] ; [20 56],[1.6097561 4.3902439] ; [20.3902439 55.6097561],0
u3,1,0.715289,0.133051,[1 1] ; [32 19],[1.24528302 0.75471698] ; [31.75471698 19.24528302],0
d3,1,0.750347,0.10124,[4 2] ; [74 49],[3.62790698 2.37209302] ; [74.37209302 48.62790698],0
p10,1,0.755561,0.096917,[1 4] ; [32 90],[1.2992126 3.7007874] ; [31.7007874 90.2992126],0
b4,1,0.903063,0.014833,[4 2] ; [79 44],[3.86046512 2.13953488] ; [79.13953488 43.86046512],0
u1,1,0.935768,0.006495,[1 5] ; [ 19 104],[0.93023256 5.06976744] ; [ 19.06976744 103.93023256],0
u2,1,0.955731,0.003081,[1 1] ; [26 24],[1.03846154 0.96153846] ; [25.96153846 24.03846154],0
d2,1,0.984485,0.000378,[3 3] ; [61 62],[2.97674419 3.02325581] ; [61.02325581 61.97674419],0
