Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p11,1,2.8e-05,17.577195,[ 7 33] ; [27 16],[16.38554217 23.61445783] ; [17.61445783 25.38554217],1
v2,1,0.000113,14.908304,[ 5 34] ; [22 19],[13.1625 25.8375] ; [13.8375 27.1625],1
n6,1,0.000145,14.43981,[16 24] ; [34  8],[24.3902439 15.6097561] ; [25.6097561 16.3902439],1
p2,1,0.001262,10.397548,[11 29] ; [27 16],[18.31325301 21.68674699] ; [19.68674699 23.31325301],0
d4,1,0.004374,8.121487,[22 18] ; [36  7],[27.95180723 12.04819277] ; [30.04819277 12.95180723],0
p9,1,0.012621,6.22149,[13 24] ; [26 15],[18.5 18.5] ; [20.5 20.5],0
n3,1,0.01938,5.4669,[ 7 15] ; [13  6],[10.73170732 11.26829268] ; [9.26829268 9.73170732],0
d1,1,0.020342,5.382319,[14 26] ; [26 17],[19.27710843 20.72289157] ; [20.72289157 22.27710843],0
b4,1,0.03781,4.313554,[21 19] ; [32 11],[25.54216867 14.45783133] ; [27.45783133 15.54216867],0
s2,1,0.043607,4.071697,[ 5 35] ; [13 29],[ 8.7804878 31.2195122] ; [ 9.2195122 32.7804878],0
n5,1,0.045974,3.982554,[29 11] ; [22 21],[24.57831325 15.42168675] ; [26.42168675 16.57831325],0
p10,1,0.048925,3.877938,[12 27] ; [22 20],[16.37037037 22.62962963] ; [17.62962963 24.37037037],0
p6,1,0.060662,3.519199,[ 1 38] ; [ 6 36],[ 3.37037037 35.62962963] ; [ 3.62962963 38.37037037],0
b1,1,0.062409,3.472177,[24 16] ; [17 26],[19.75903614 20.24096386] ; [21.24096386 21.75903614],0
s6,1,0.07298,3.214693,[ 7 33] ; [15 28],[10.60240964 29.39759036] ; [11.39759036 31.60240964],0
a1,1,0.080381,3.057176,[ 8 32] ; [ 3 40],[ 5.30120482 34.69879518] ; [ 5.69879518 37.30120482],0
p4,1,0.098846,2.724072,[ 6 34] ; [13 30],[ 9.15662651 30.84337349] ; [ 9.84337349 33.15662651],0
d5,1,0.103324,2.653474,[23 17] ; [32 11],[26.5060241 13.4939759] ; [28.4939759 14.5060241],0
p8,1,0.125114,2.352107,[ 3 37] ; [ 8 34],[ 5.36585366 34.63414634] ; [ 5.63414634 36.36585366],0
