Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,0.0,27.028125,[85 11] ; [13 17],[74.66666667 21.33333333] ; [23.33333333  6.66666667],1
a4,1,4e-06,21.103333,[61 35] ; [ 5 26],[49.88976378 46.11023622] ; [16.11023622 14.88976378],1
d2,1,0.000295,13.105034,[64 31] ; [ 9 21],[55.48 39.52] ; [17.52 12.48],1
d1,1,0.000314,12.985141,[66 30] ; [10 21],[57.4488189 38.5511811] ; [18.5511811 12.4488189],1
d5,1,0.001899,9.644676,[87  9] ; [21 10],[81.63779528 14.36220472] ; [26.36220472  4.63779528],0
r1,1,0.002626,9.050706,[79 15] ; [18 13],[72.944 21.056] ; [24.056  6.944],0
r2,1,0.003495,8.529101,[91  2] ; [26  5],[87.75  5.25] ; [29.25  1.75],0
a6,1,0.004523,8.060893,[70 26] ; [14 17],[63.49606299 32.50393701] ; [20.50393701 10.49606299],0
n4,1,0.005483,7.71279,[73 21] ; [16 15],[66.928 27.072] ; [22.072  8.928],0
v2,1,0.009448,6.736202,[55 38] ; [10 21],[48.75 44.25] ; [16.25 14.75],0
u1,1,0.015991,5.803825,[26 70] ; [ 2 29],[21.16535433 74.83464567] ; [ 6.83464567 24.16535433],0
s3,1,0.022157,5.233419,[66 27] ; [15 16],[60.75 32.25] ; [20.25 10.75],0
b2,1,0.024469,5.061059,[27 36] ; [ 2 14],[23.12658228 39.87341772] ; [ 5.87341772 10.12658228],0
b3,1,0.024469,5.061059,[27 36] ; [ 2 14],[23.12658228 39.87341772] ; [ 5.87341772 10.12658228],0
s6,1,0.031224,4.640618,[84 12] ; [22  9],[80.12598425 15.87401575] ; [25.87401575  5.12598425],0
p7,1,0.038817,4.268867,[49 46] ; [ 9 21],[44.08 50.92] ; [13.92 16.08],0
b4,1,0.039603,4.234801,[58 38] ; [25  6],[62.74015748 33.25984252] ; [20.25984252 10.74015748],0
s8,1,0.043196,4.087711,[51 45] ; [10 21],[46.11023622 49.88976378] ; [14.88976378 16.11023622],0
n5,1,0.05302,3.743277,[69 25] ; [17 14],[64.672 29.328] ; [21.328  9.672],0
d4,1,0.075927,3.15,[88  8] ; [24  6],[85.33333333 10.66666667] ; [26.66666667  3.33333333],0
s2,1,0.084099,2.983845,[68 27] ; [17 14],[64.08730159 30.91269841] ; [20.91269841 10.08730159],0
v1,1,0.093434,2.814184,[51 43] ; [11 19],[47. 47.] ; [15. 15.],0
r4,1,0.12266,2.383021,[85 11] ; [24  7],[82.39370079 13.60629921] ; [26.60629921  4.39370079],0
r3,1,0.136022,2.22239,[90  5] ; [26  4],[88.16  6.84] ; [27.84  2.16],0
v3,1,0.166156,1.917285,[31 62] ; [ 6 24],[27.97560976 65.02439024] ; [ 9.02439024 20.97560976],0
