Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.002755,8.962949,[18 10] ; [90 12],[23.26153846  4.73846154] ; [84.73846154 17.26153846],0
s6,1,0.005362,7.753173,[24  3] ; [61 40],[17.9296875  9.0703125] ; [67.0703125 33.9296875],0
s1,1,0.008243,6.97982,[ 3 25] ; [  1 101],[ 0.86153846 27.13846154] ; [ 3.13846154 98.86153846],0
s5,1,0.013574,6.092708,[17  9] ; [38 61],[11.44 14.56] ; [43.56 55.44],0
n5,1,0.014841,5.935301,[17 11] ; [84 18],[21.75384615  6.24615385] ; [79.24615385 22.75384615],0
s2,1,0.0222,5.230016,[20  8] ; [48 54],[14.64615385 13.35384615] ; [53.35384615 48.64615385],0
s3,1,0.023274,5.147966,[21  7] ; [52 50],[15.72307692 12.27692308] ; [57.27692308 44.72307692],0
v2,1,0.025099,5.017061,[10 18] ; [59 40],[15.21259843 12.78740157] ; [53.78740157 45.21259843],0
p3,1,0.03148,4.626579,[20  8] ; [49 52],[14.97674419 13.02325581] ; [54.02325581 46.97674419],0
s7,1,0.034025,4.493431,[18  6] ; [50 48],[13.37704918 10.62295082] ; [54.62295082 43.37704918],0
p11,1,0.039048,4.258767,[17 11] ; [82 21],[21.16030534  6.83969466] ; [77.83969466 25.16030534],0
p1,1,0.041796,4.14344,[ 5 23] ; [ 6 97],[ 2.35114504 25.64885496] ; [ 8.64885496 94.35114504],0
p6,1,0.078081,3.104395,[15 12] ; [36 62],[11.016 15.984] ; [39.984 58.016],0
v1,1,0.079101,3.083283,[11 17] ; [58 42],[15.09375 12.90625] ; [53.90625 46.09375],0
d3,1,0.083683,2.991875,[23  5] ; [67 36],[19.23664122  8.76335878] ; [70.76335878 32.23664122],0
b5,1,0.087251,2.924378,[ 8 20] ; [48 55],[11.96946565 16.03053435] ; [44.03053435 58.96946565],0
r4,1,0.148288,2.089774,[26  2] ; [84 19],[23.51145038  4.48854962] ; [86.48854962 16.51145038],0
u3,1,0.159128,1.982492,[4 1] ; [ 8 10],[2.60869565 2.39130435] ; [9.39130435 8.60869565],0
p2,1,0.174872,1.840673,[19  9] ; [80 20],[21.65625  6.34375] ; [77.34375 22.65625],0
n6,1,0.252632,1.30869,[21  7] ; [86 16],[23.04615385  4.95384615] ; [83.95384615 18.04615385],0
b2,1,0.292845,1.106496,[ 6 12] ; [33 37],[ 7.97727273 10.02272727] ; [31.02272727 38.97727273],0
b3,1,0.292845,1.106496,[ 6 12] ; [33 37],[ 7.97727273 10.02272727] ; [31.02272727 38.97727273],0
s8,1,0.292911,1.106195,[17 11] ; [51 52],[14.53435115 13.46564885] ; [53.46564885 49.53435115],0
p4,1,0.301169,1.069011,[19  9] ; [57 43],[16.625 11.375] ; [59.375 40.625],0
a5,1,0.387202,0.74771,[25  3] ; [85 18],[23.51145038  4.48854962] ; [86.48854962 16.51145038],0
p8,1,0.392816,0.730207,[16 11] ; [50 50],[14.03149606 12.96850394] ; [51.96850394 48.03149606],0
p9,1,0.435018,0.609389,[21  6] ; [85 16],[22.359375  4.640625] ; [83.640625 17.359375],0
p7,1,0.477398,0.5048,[19  8] ; [63 37],[17.43307087  9.56692913] ; [64.56692913 35.43307087],0
r3,1,0.488719,0.479344,[25  3] ; [96  7],[25.86259542  2.13740458] ; [95.13740458  7.86259542],0
b4,1,0.491559,0.473112,[14 14] ; [59 44],[15.60305344 12.39694656] ; [57.39694656 45.60305344],0
p5,1,0.498147,0.458881,[ 3 25] ; [16 85],[ 4.12403101 23.87596899] ; [14.87596899 86.12403101],0
r2,1,0.531582,0.391366,[26  1] ; [93  7],[25.2992126  1.7007874] ; [93.7007874  6.2992126],0
n2,1,0.536158,0.382707,[8 4] ; [14 11],[7.13513514 4.86486486] ; [14.86486486 10.13513514],0
r1,1,0.605026,0.267482,[22  6] ; [76 27],[20.94656489  7.05343511] ; [77.05343511 25.94656489],0
b1,1,0.611,0.258722,[17 11] ; [57 46],[15.81679389 12.18320611] ; [58.18320611 44.81679389],0
n1,1,0.73173,0.117529,[6 6] ; [11 14],[5.51351351 6.48648649] ; [11.48648649 13.51351351],0
p12,1,0.778157,0.079367,[ 1 26] ; [ 5 95],[ 1.27559055 25.72440945] ; [ 4.72440945 95.27559055],0
a2,1,0.784646,0.074676,[ 3 25] ; [13 90],[ 3.41984733 24.58015267] ; [12.58015267 90.41984733],0
u1,1,0.787282,0.072814,[ 2 26] ; [ 9 94],[ 2.35114504 25.64885496] ; [ 8.64885496 94.35114504],0
a1,1,0.796267,0.066657,[ 2 26] ; [ 6 97],[ 1.70992366 26.29007634] ; [ 6.29007634 96.70992366],0
n3,1,0.806179,0.060201,[8 4] ; [15  9],[7.66666667 4.33333333] ; [15.33333333  8.66666667],0
d2,1,0.835066,0.043351,[23  5] ; [82 20],[22.61538462  5.38461538] ; [82.38461538 19.61538462],0
p10,1,0.866727,0.028163,[21  6] ; [77 24],[20.671875  6.328125] ; [77.328125 23.671875],0
v3,1,0.949766,0.003969,[11 16] ; [41 58],[11.14285714 15.85714286] ; [40.85714286 58.14285714],0
a4,1,0.956414,0.002987,[18 10] ; [65 37],[17.87692308 10.12307692] ; [65.12307692 36.87692308],0
a3,1,0.962482,0.002213,[23  5] ; [85 18],[23.08396947  4.91603053] ; [84.91603053 18.08396947],0
a6,1,0.983763,0.000414,[10 18] ; [37 66],[10.04580153 17.95419847] ; [36.95419847 66.04580153],0
v4,1,0.991552,0.000112,[25  3] ; [91 11],[24.98461538  3.01538462] ; [91.01538462 10.98461538],0
