Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,0.00627,7.47088,[11  2] ; [35 45],[6.43010753 6.56989247] ; [39.56989247 40.43010753],0
d1,1,0.047489,3.927993,[11  2] ; [45 36],[7.74468085 5.25531915] ; [48.25531915 32.74468085],0
s8,1,0.082052,3.023778,[11  2] ; [47 32],[8.19565217 4.80434783] ; [49.80434783 29.19565217],0
s5,1,0.159234,1.981488,[8 1] ; [52 27],[6.13636364 2.86363636] ; [53.86363636 25.13636364],0
a6,1,0.184498,1.761013,[10  3] ; [46 34],[7.82795699 5.17204301] ; [48.17204301 31.82795699],0
s2,1,0.195428,1.676212,[10  3] ; [47 34],[7.88297872 5.11702128] ; [49.11702128 31.88297872],0
s1,1,0.240238,1.379195,[ 2 11] ; [ 5 76],[ 0.96808511 12.03191489] ; [ 6.03191489 74.96808511],0
p6,1,0.242756,1.364517,[10  3] ; [48 32],[8.10752688 4.89247312] ; [49.89247312 30.10752688],0
s3,1,0.276465,1.184388,[10  3] ; [49 31],[8.24731183 4.75268817] ; [50.75268817 29.24731183],0
p7,1,0.279567,1.169194,[12  1] ; [63 16],[10.59782609  2.40217391] ; [64.40217391 14.59782609],0
v3,1,0.295787,1.093093,[6 7] ; [48 30],[7.71428571 5.28571429] ; [46.28571429 31.71428571],0
p12,1,0.296905,1.088044,[5 8] ; [20 61],[3.45744681 9.54255319] ; [21.54255319 59.45744681],0
b3,1,0.375808,0.784369,[3 6] ; [29 30],[4.23529412 4.76470588] ; [27.76470588 31.23529412],0
b2,1,0.375808,0.784369,[3 6] ; [29 30],[4.23529412 4.76470588] ; [27.76470588 31.23529412],0
r1,1,0.380692,0.768465,[12  1] ; [67 14],[10.92553191  2.07446809] ; [68.07446809 12.92553191],0
a8,1,0.387794,0.745846,[ 1 11] ; [14 62],[2.04545455 9.95454545] ; [12.95454545 63.04545455],0
v1,1,0.428858,0.625913,[10  3] ; [52 27],[8.76086957 4.23913043] ; [53.23913043 25.76086957],0
p11,1,0.450183,0.57019,[10  3] ; [69 12],[10.92553191  2.07446809] ; [68.07446809 12.92553191],0
a3,1,0.461916,0.541248,[11  2] ; [61 20],[9.95744681 3.04255319] ; [62.04255319 18.95744681],0
b5,1,0.527626,0.398962,[7 6] ; [36 45],[5.94680851 7.05319149] ; [37.05319149 43.94680851],0
u1,1,0.53141,0.391695,[ 3 10] ; [13 68],[ 2.21276596 10.78723404] ; [13.78723404 67.21276596],0
p3,1,0.562498,0.335398,[11  2] ; [62 18],[10.20430108  2.79569892] ; [62.79569892 17.20430108],0
a5,1,0.569147,0.324112,[9 4] ; [62 19],[9.81914894 3.18085106] ; [61.18085106 19.81914894],0
u2,1,0.67415,0.176786,[1 1] ; [13  7],[1.27272727 0.72727273] ; [12.72727273  7.27272727],0
u4,1,0.681263,0.168708,[ 1 12] ; [ 4 77],[ 0.69148936 12.30851064] ; [ 4.30851064 76.69148936],0
n6,1,0.689769,0.159336,[12  1] ; [76  4],[12.30107527  0.69892473] ; [75.69892473  4.30107527],0
p8,1,0.696048,0.152615,[11  2] ; [64 16],[10.48387097  2.51612903] ; [64.51612903 15.48387097],0
n5,1,0.710549,0.137729,[12  1] ; [72  9],[11.61702128  1.38297872] ; [72.38297872  8.61702128],0
p2,1,0.710549,0.137729,[12  1] ; [72  9],[11.61702128  1.38297872] ; [72.38297872  8.61702128],0
v2,1,0.728504,0.12049,[7 6] ; [46 32],[7.57142857 5.42857143] ; [45.42857143 32.57142857],0
s7,1,0.759131,0.094017,[9 4] ; [55 20],[9.45454545 3.54545455] ; [54.54545455 20.45454545],0
a1,1,0.760525,0.092898,[ 2 11] ; [10 71],[ 1.65957447 11.34042553] ; [10.34042553 70.65957447],0
d3,1,0.765849,0.08869,[9 4] ; [52 28],[8.52688172 4.47311828] ; [52.47311828 27.52688172],0
d4,1,0.770914,0.084786,[11  2] ; [65 15],[10.62365591  2.37634409] ; [65.37634409 14.62365591],0
b4,1,0.777282,0.080011,[7 6] ; [47 34],[7.46808511 5.53191489] ; [46.53191489 34.46808511],0
u3,1,0.783892,0.075214,[1 1] ; [12  8],[1.18181818 0.81818182] ; [11.81818182  8.18181818],0
n4,1,0.803783,0.06173,[12  1] ; [73  8],[11.75531915  1.24468085] ; [73.24468085  7.75531915],0
b1,1,0.811344,0.056974,[5 8] ; [34 47],[5.39361702 7.60638298] ; [33.60638298 47.39361702],0
a4,1,0.811344,0.056974,[5 8] ; [34 47],[5.39361702 7.60638298] ; [33.60638298 47.39361702],0
p1,1,0.933531,0.006956,[4 9] ; [24 57],[3.87234043 9.12765957] ; [24.12765957 56.87234043],0
a7,1,0.933531,0.006956,[9 4] ; [57 24],[9.12765957 3.87234043] ; [56.87234043 24.12765957],0
a2,1,0.951554,0.003691,[ 2 11] ; [13 68],[ 2.07446809 10.92553191] ; [12.92553191 68.07446809],0
d5,1,0.95776,0.002805,[10  3] ; [61 19],[9.92473118 3.07526882] ; [61.07526882 18.92473118],0
