Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p11,1,7.5e-05,15.687104,[16 19] ; [77 18],[25.03846154  9.96153846] ; [67.96153846 27.03846154],1
v4,1,0.000288,13.143951,[23 12] ; [87  8],[29.61538462  5.38461538] ; [80.38461538 14.61538462],1
p10,1,0.000601,11.773681,[18 16] ; [77 16],[25.43307087  8.56692913] ; [69.56692913 23.43307087],1
p4,1,0.000846,11.137841,[ 8 27] ; [53 42],[16.42307692 18.57692308] ; [44.57692308 50.42307692],1
p8,1,0.00103,10.772268,[ 6 28] ; [47 47],[14.078125 19.921875] ; [38.921875 55.078125],0
p9,1,0.001964,9.583317,[19 13] ; [81 14],[25.19685039  6.80314961] ; [74.80314961 20.19685039],0
p7,1,0.003452,8.551662,[10 25] ; [53 39],[17.36220472 17.63779528] ; [45.63779528 46.36220472],0
r3,1,0.003458,8.548427,[25 10] ; [86  8],[30.11627907  4.88372093] ; [80.88372093 13.11627907],0
d2,1,0.004217,8.187783,[19 16] ; [26 69],[12.11538462 22.88461538] ; [32.88461538 62.11538462],0
p3,1,0.004709,7.987966,[ 8 26] ; [49 46],[15.02325581 18.97674419] ; [41.97674419 53.02325581],0
s6,1,0.010123,6.613146,[12 23] ; [55 37],[18.46456693 16.53543307] ; [48.53543307 43.46456693],0
p6,1,0.010417,6.562104,[ 5 29] ; [36 57],[10.97637795 23.02362205] ; [30.02362205 62.97637795],0
p1,1,0.01411,6.024311,[ 6 29] ; [ 4 91],[ 2.69230769 32.30769231] ; [ 7.30769231 87.69230769],0
r4,1,0.017805,5.615191,[16 19] ; [65 30],[21.80769231 13.19230769] ; [59.19230769 35.80769231],0
a3,1,0.026436,4.927293,[27  8] ; [53 42],[21.53846154 13.46153846] ; [58.46153846 36.53846154],0
n2,1,0.031705,4.61437,[5 6] ; [21  5],[7.72972973 3.27027027] ; [18.27027027  7.72972973],0
n6,1,0.052844,3.748854,[22 12] ; [77 18],[26.09302326  7.90697674] ; [72.90697674 22.09302326],0
n3,1,0.061629,3.493007,[5 6] ; [20  6],[7.43243243 3.56756757] ; [17.56756757  8.43243243],0
s1,1,0.066317,3.371899,[ 4 31] ; [ 3 91],[ 1.89922481 33.10077519] ; [ 5.10077519 88.89922481],0
a4,1,0.076782,3.13174,[14 21] ; [23 72],[ 9.96153846 25.03846154] ; [27.03846154 67.96153846],0
b5,1,0.106352,2.607602,[28  7] ; [62 33],[24.23076923 10.76923077] ; [65.76923077 29.23076923],0
s2,1,0.106425,2.606516,[10 25] ; [42 53],[14. 21.] ; [38. 57.],0
s5,1,0.115049,2.483458,[ 5 29] ; [25 63],[ 8.36065574 25.63934426] ; [21.63934426 66.36065574],0
s7,1,0.131214,2.278079,[ 8 25] ; [35 55],[11.53658537 21.46341463] ; [31.46341463 58.53658537],0
r2,1,0.132288,2.265445,[24  9] ; [77 14],[26.87903226  6.12096774] ; [74.12096774 16.87903226],0
s3,1,0.150402,2.068173,[12 23] ; [46 49],[15.61538462 19.38461538] ; [42.38461538 52.61538462],0
a2,1,0.15529,2.019507,[ 7 28] ; [10 85],[ 4.57692308 30.42307692] ; [12.42307692 82.57692308],0
s8,1,0.160153,1.972781,[ 7 28] ; [31 64],[10.23076923 24.76923077] ; [27.76923077 67.23076923],0
v1,1,0.182288,1.778873,[11 22] ; [43 49],[14.256 18.744] ; [39.744 52.256],0
a5,1,0.219205,1.509565,[23 12] ; [51 44],[19.92307692 15.07692308] ; [54.07692308 40.92307692],0
u1,1,0.219322,1.5088,[ 4 31] ; [ 5 90],[ 2.42307692 32.57692308] ; [ 6.57692308 88.42307692],0
s4,1,0.26868,1.223474,[ 5 30] ; [22 73],[ 7.26923077 27.73076923] ; [19.73076923 75.26923077],0
a1,1,0.331866,0.941604,[ 4 31] ; [ 6 89],[ 2.69230769 32.30769231] ; [ 7.30769231 87.69230769],0
b1,1,0.334255,0.932342,[15 20] ; [32 63],[12.65384615 22.34615385] ; [34.34615385 60.65384615],0
d1,1,0.342853,0.899735,[18 17] ; [40 55],[15.61538462 19.38461538] ; [42.38461538 52.61538462],0
p5,1,0.365948,0.817379,[ 2 31] ; [11 84],[ 3.3515625 29.6484375] ; [ 9.6484375 85.3515625],0
n5,1,0.418059,0.655765,[20 15] ; [61 33],[21.97674419 13.02325581] ; [59.02325581 34.97674419],0
d3,1,0.425003,0.636441,[22 13] ; [66 28],[23.87596899 11.12403101] ; [64.12403101 29.87596899],0
u4,1,0.458395,0.549812,[ 1 34] ; [ 1 94],[ 0.53846154 34.46153846] ; [ 1.46153846 93.53846154],0
b4,1,0.5525,0.352857,[23 12] ; [57 38],[21.53846154 13.46153846] ; [58.46153846 36.53846154],0
u3,1,0.558678,0.341999,[3 5] ; [20 21],[3.75510204 4.24489796] ; [19.24489796 21.75510204],0
d4,1,0.571189,0.320698,[26  9] ; [75 20],[27.19230769  7.80769231] ; [73.80769231 21.19230769],0
n4,1,0.579565,0.306939,[21 14] ; [62 33],[22.34615385 12.65384615] ; [60.65384615 34.34615385],0
v3,1,0.678145,0.172222,[11 22] ; [28 67],[10.0546875 22.9453125] ; [28.9453125 66.0546875],0
b2,1,0.715889,0.132466,[11 14] ; [19 29],[10.2739726 14.7260274] ; [19.7260274 28.2739726],0
b3,1,0.715889,0.132466,[11 14] ; [19 29],[10.2739726 14.7260274] ; [19.7260274 28.2739726],0
a6,1,0.769736,0.085685,[23 12] ; [65 30],[23.69230769 11.30769231] ; [64.30769231 30.69230769],0
n1,1,0.776689,0.08045,[3 8] ; [ 8 17],[3.36111111 7.63888889] ; [ 7.63888889 17.36111111],0
u2,1,0.84957,0.035974,[4 4] ; [22 19],[4.24489796 3.75510204] ; [21.75510204 19.24489796],0
v2,1,0.890389,0.018992,[14 19] ; [39 56],[13.6640625 19.3359375] ; [39.3359375 55.6640625],0
a8,1,0.902605,0.014975,[ 4 30] ; [10 81],[ 3.808 30.192] ; [10.192 80.808],0
d5,1,0.971202,0.001303,[27  8] ; [73 22],[26.92307692  8.07692308] ; [73.07692308 21.92307692],0
