Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.029889,4.715651,[ 6 10] ; [16  6],[9.26315789 6.73684211] ; [12.73684211  9.26315789],0
d3,1,0.056846,3.627106,[7 9] ; [17  6],[9.84615385 6.15384615] ; [14.15384615  8.84615385],0
p4,1,0.065541,3.391304,[8 8] ; [ 5 18],[ 5.33333333 10.66666667] ; [ 7.66666667 15.33333333],0
d2,1,0.068561,3.317149,[ 4 12] ; [12 10],[6.73684211 9.26315789] ; [ 9.26315789 12.73684211],0
a6,1,0.068713,3.313494,[ 5 11] ; [14  9],[7.79487179 8.20512821] ; [11.20512821 11.79487179],0
d1,1,0.068713,3.313494,[ 5 11] ; [14  9],[7.79487179 8.20512821] ; [11.20512821 11.79487179],0
d5,1,0.07197,3.237498,[9 7] ; [19  4],[11.48717949  4.51282051] ; [16.51282051  6.48717949],0
s8,1,0.087569,2.918495,[ 6 10] ; [ 3 19],[ 3.78947368 12.21052632] ; [ 5.21052632 16.78947368],0
s3,1,0.092842,2.824387,[ 4 11] ; [12 10],[6.48648649 8.51351351] ; [ 9.51351351 12.48648649],0
p2,1,0.119551,2.423188,[12  4] ; [11 11],[9.68421053 6.31578947] ; [13.31578947  8.68421053],0
n1,1,0.259656,1.270588,[2 7] ; [ 8 10],[3.33333333 5.66666667] ; [ 6.66666667 11.33333333],0
s5,1,0.27009,1.216288,[ 2 14] ; [ 6 16],[ 3.36842105 12.63157895] ; [ 4.63157895 17.36842105],0
s4,1,0.305982,1.047938,[ 1 15] ; [ 4 19],[ 2.05128205 13.94871795] ; [ 2.94871795 20.05128205],0
u1,1,0.34734,0.883152,[ 2 14] ; [ 1 22],[ 1.23076923 14.76923077] ; [ 1.76923077 21.23076923],0
n6,1,0.376445,0.782279,[10  5] ; [12 11],[8.68421053 6.31578947] ; [13.31578947  9.68421053],0
s7,1,0.381768,0.765,[7 7] ; [ 7 13],[5.76470588 8.23529412] ; [ 8.23529412 11.76470588],0
b4,1,0.41107,0.675703,[13  3] ; [16  7],[11.8974359  4.1025641] ; [17.1025641  5.8974359],0
a3,1,0.428591,0.62664,[11  4] ; [14  9],[9.86842105 5.13157895] ; [15.13157895  7.86842105],0
u3,1,0.480478,0.497778,[2 3] ; [2 7],[1.42857143 3.57142857] ; [2.57142857 6.42857143],0
p11,1,0.500733,0.453383,[8 8] ; [ 9 14],[6.97435897 9.02564103] ; [10.02564103 12.97435897],0
b5,1,0.500733,0.453383,[8 8] ; [14  9],[9.02564103 6.97435897] ; [12.97435897 10.02564103],0
v3,1,0.514991,0.423913,[ 4 12] ; [ 8 15],[ 4.92307692 11.07692308] ; [ 7.07692308 15.92307692],0
s6,1,0.542234,0.371415,[ 5 11] ; [ 9 13],[ 5.89473684 10.10526316] ; [ 8.10526316 13.89473684],0
b2,1,0.558185,0.342857,[4 6] ; [ 4 10],[3.33333333 6.66666667] ; [4.66666667 9.33333333],0
b3,1,0.558185,0.342857,[4 6] ; [ 4 10],[3.33333333 6.66666667] ; [4.66666667 9.33333333],0
u2,1,0.576999,0.311111,[2 3] ; [5 4],[2.5 2.5] ; [4.5 4.5],0
a7,1,0.577894,0.309651,[8 8] ; [13  9],[8.84210526 7.15789474] ; [12.15789474  9.84210526],0
n2,1,0.579639,0.306818,[6 3] ; [10  8],[5.33333333 3.66666667] ; [10.66666667  7.33333333],0
b1,1,0.604667,0.268013,[9 7] ; [11 12],[8.20512821 7.79487179] ; [11.79487179 11.20512821],0
d4,1,0.610745,0.259091,[12  4] ; [18  4],[12.63157895  3.36842105] ; [17.36842105  4.63157895],0
p5,1,0.669512,0.182173,[ 3 13] ; [ 3 19],[ 2.52631579 13.47368421] ; [ 3.47368421 18.52631579],0
a1,1,0.700098,0.14837,[ 2 14] ; [ 2 21],[ 1.64102564 14.35897436] ; [ 2.35897436 20.64102564],0
p1,1,0.700098,0.14837,[ 2 14] ; [ 2 21],[ 1.64102564 14.35897436] ; [ 2.35897436 20.64102564],0
n5,1,0.708894,0.139384,[10  6] ; [13 10],[9.43589744 6.56410256] ; [13.56410256  9.43589744],0
p9,1,0.739979,0.110145,[8 7] ; [11 12],[7.5 7.5] ; [11.5 11.5],0
v2,1,0.742298,0.108117,[ 6 10] ; [ 9 12],[6.48648649 9.51351351] ; [ 8.51351351 12.48648649],0
a5,1,0.77297,0.083227,[9 7] ; [14  9],[9.43589744 6.56410256] ; [13.56410256  9.43589744],0
a4,1,0.801689,0.063082,[7 9] ; [11 12],[7.38461538 8.61538462] ; [10.61538462 12.38461538],0
p6,1,0.820119,0.051707,[ 3 13] ; [ 5 18],[ 3.28205128 12.71794872] ; [ 4.71794872 18.28205128],0
v1,1,0.861858,0.03028,[ 6 10] ; [ 8 15],[ 5.74358974 10.25641026] ; [ 8.25641026 14.74358974],0
p3,1,0.870754,0.026472,[ 4 12] ; [ 5 17],[ 3.78947368 12.21052632] ; [ 5.21052632 16.78947368],0
n3,1,0.872518,0.025748,[4 5] ; [ 7 10],[3.80769231 5.19230769] ; [7.19230769 9.80769231],0
r3,1,0.885855,0.020607,[8 8] ; [10 11],[7.78378378 8.21621622] ; [10.21621622 10.78378378],0
p7,1,0.893314,0.017986,[ 5 11] ; [ 7 14],[ 5.18918919 10.81081081] ; [ 6.81081081 14.18918919],0
a2,1,0.913396,0.011828,[ 3 13] ; [ 4 19],[ 2.87179487 13.12820513] ; [ 4.12820513 18.87179487],0
n4,1,0.918006,0.010598,[10  6] ; [14  9],[9.84615385 6.15384615] ; [14.15384615  8.84615385],0
p8,1,0.939048,0.005847,[ 4 12] ; [ 6 17],[ 4.1025641 11.8974359] ; [ 5.8974359 17.1025641],0
p10,1,0.957251,0.002873,[9 6] ; [14  9],[9.07894737 5.92105263] ; [13.92105263  9.07894737],0
s1,1,0.960173,0.002494,[ 2 14] ; [ 3 20],[ 2.05128205 13.94871795] ; [ 2.94871795 20.05128205],0
s2,1,0.96749,0.001661,[ 4 11] ; [ 6 16],[ 4.05405405 10.94594595] ; [ 5.94594595 16.05405405],0
