Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,6.8e-05,15.871241,[55 11] ; [4 9],[49.29113924 16.70886076] ; [9.70886076 3.29113924],1
n4,1,0.000271,13.262339,[53 13] ; [4 9],[47.62025316 18.37974684] ; [9.37974684 3.62025316],1
a5,1,0.000271,13.262339,[53 13] ; [4 9],[47.62025316 18.37974684] ; [9.37974684 3.62025316],1
p11,1,0.009648,6.698739,[53 13] ; [6 7],[49.29113924 16.70886076] ; [9.70886076 3.29113924],0
a3,1,0.014914,5.92664,[52 14] ; [6 7],[48.4556962 17.5443038] ; [9.5443038 3.4556962],0
p9,1,0.034727,4.45857,[62  4] ; [9 3],[60.07692308  5.92307692] ; [10.92307692  1.07692308],0
d2,1,0.05546,3.668202,[44 22] ; [5 8],[40.93670886 25.06329114] ; [8.06329114 4.93670886],0
p4,1,0.059708,3.545486,[48 18] ; [6 7],[45.11392405 20.88607595] ; [8.88607595 4.11392405],0
s5,1,0.10247,2.666667,[40 20] ; [5 7],[37.5 22.5] ; [7.5 4.5],0
p10,1,0.112568,2.517787,[60  6] ; [9 3],[58.38461538  7.61538462] ; [10.61538462  1.38461538],0
a4,1,0.171194,1.872459,[34 32] ; [4 9],[31.74683544 34.25316456] ; [6.25316456 6.74683544],0
p7,1,0.188185,1.731771,[49 15] ; [7 5],[47.15789474 16.84210526] ; [8.84210526 3.15789474],0
s6,1,0.211934,1.558168,[61  4] ; [10  2],[59.93506494  5.06493506] ; [11.06493506  0.93506494],0
r4,1,0.246087,1.345382,[62  4] ; [11  2],[60.98734177  5.01265823] ; [12.01265823  0.98734177],0
b5,1,0.264587,1.244594,[40 26] ; [10  3],[41.7721519 24.2278481] ; [8.2278481 4.7721519],0
d1,1,0.288811,1.125155,[50 16] ; [8 5],[48.4556962 17.5443038] ; [9.5443038 3.4556962],0
p8,1,0.303265,1.059783,[40 25] ; [6 7],[38.33333333 26.66666667] ; [7.66666667 5.33333333],0
d3,1,0.317373,0.999743,[47 19] ; [11  2],[48.4556962 17.5443038] ; [9.5443038 3.4556962],0
a2,1,0.317373,0.999743,[19 47] ; [ 2 11],[17.5443038 48.4556962] ; [3.4556962 9.5443038],0
u2,1,0.349575,0.875,[7 7] ; [5 2],[8. 6.] ; [4. 3.],0
v3,1,0.355908,0.85228,[24 42] ; [ 3 10],[22.55696203 43.44303797] ; [4.44303797 8.55696203],0
r1,1,0.374584,0.7884,[53 13] ; [9 4],[51.79746835 14.20253165] ; [10.20253165  2.79746835],0
s2,1,0.399746,0.709091,[54 11] ; [12  1],[55. 10.] ; [11.  2.],0
d4,1,0.409934,0.678993,[55 11] ; [12  1],[55.97468354 10.02531646] ; [11.02531646  1.97468354],0
r3,1,0.421497,0.646137,[64  2] ; [12  1],[63.49367089  2.50632911] ; [12.50632911  0.49367089],0
r2,1,0.429565,0.624,[63  2] ; [12  1],[62.5  2.5] ; [12.5  0.5],0
b1,1,0.448591,0.574211,[28 38] ; [7 6],[29.24050633 36.75949367] ; [5.75949367 7.24050633],0
v1,1,0.448591,0.574211,[38 28] ; [6 7],[36.75949367 29.24050633] ; [7.24050633 5.75949367],0
a7,1,0.467378,0.528167,[44 22] ; [10  3],[45.11392405 20.88607595] ; [8.88607595 4.11392405],0
d5,1,0.477663,0.504195,[56 10] ; [12  1],[56.81012658  9.18987342] ; [11.18987342  1.81012658],0
p5,1,0.477663,0.504195,[10 56] ; [ 1 12],[ 9.18987342 56.81012658] ; [ 1.81012658 11.18987342],0
p6,1,0.477796,0.503889,[33 32] ; [8 5],[34.16666667 30.83333333] ; [6.83333333 6.16666667],0
n1,1,0.481924,0.494505,[ 5 11] ; [2 2],[ 5.6 10.4] ; [1.4 2.6],0
s7,1,0.497124,0.461071,[53 12] ; [8 3],[52.17105263 12.82894737] ; [8.82894737 2.17105263],0
p3,1,0.512116,0.429741,[37 29] ; [6 7],[35.92405063 30.07594937] ; [7.07594937 5.92405063],0
n3,1,0.531168,0.392157,[14  2] ; [3 1],[13.6  2.4] ; [3.4 0.6],0
a6,1,0.558106,0.342994,[40 26] ; [9 4],[40.93670886 25.06329114] ; [8.06329114 4.93670886],0
v2,1,0.596114,0.280896,[32 32] ; [5 7],[31.15789474 32.84210526] ; [5.84210526 6.15789474],0
u1,1,0.600134,0.274794,[20 46] ; [ 3 10],[19.21518987 46.78481013] ; [3.78481013 9.21518987],0
a8,1,0.634633,0.225831,[ 3 58] ; [ 1 11],[ 3.34246575 57.65753425] ; [ 0.65753425 11.34246575],0
p2,1,0.781654,0.07682,[53 13] ; [10  3],[52.63291139 13.36708861] ; [10.36708861  2.63291139],0
n2,1,0.80725,0.059524,[11  5] ; [3 1],[11.2  4.8] ; [2.8 1.2],0
b2,1,0.821692,0.050791,[11 27] ; [2 6],[10.73913043 27.26086957] ; [2.26086957 5.73913043],0
b3,1,0.821692,0.050791,[11 27] ; [2 6],[10.73913043 27.26086957] ; [2.26086957 5.73913043],0
s3,1,0.891921,0.018462,[54 11] ; [11  2],[54.16666667 10.83333333] ; [10.83333333  2.16666667],0
b4,1,0.963092,0.002141,[36 30] ; [7 6],[35.92405063 30.07594937] ; [7.07594937 5.92405063],0
p1,1,0.982924,0.000458,[10 56] ; [ 2 11],[10.02531646 55.97468354] ; [ 1.97468354 11.02531646],0
