Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.0,38.369128,[54 57] ; [ 16 114],[32.2406639 78.7593361] ; [37.7593361 92.2406639],1
r1,1,1e-06,23.530569,[92 22] ; [68 65],[73.84615385 40.15384615] ; [86.15384615 46.84615385],1
v1,1,2e-06,22.901937,[63 50] ; [34 98],[44.73877551 68.26122449] ; [52.26122449 79.73877551],1
p11,1,2.2e-05,17.973268,[94 20] ; [77 57],[78.60483871 35.39516129] ; [92.39516129 41.60483871],1
r4,1,4.4e-05,16.694902,[99 15] ; [86 48],[85.04032258 28.95967742] ; [99.95967742 34.04032258],1
r3,1,8.3e-05,15.487865,[107   6] ; [102  31],[96.00406504 16.99593496] ; [112.99593496  20.00406504],1
p8,1,0.000404,12.513316,[58 54] ; [39 93],[44.52459016 67.47540984] ; [52.47540984 79.52459016],1
v4,1,0.000505,12.097141,[107   7] ; [104  29],[97.38461538 16.61538462] ; [113.61538462  19.38461538],1
d1,1,0.000649,11.630696,[69 45] ; [52 82],[55.62096774 58.37903226] ; [65.37903226 68.62096774],1
d4,1,0.000816,11.203352,[94 19] ; [86 48],[82.34817814 30.65182186] ; [97.65182186 36.34817814],1
s8,1,0.001907,9.636631,[20 94] ; [  7 127],[ 12.41129032 101.58870968] ; [ 14.58870968 119.41129032],0
p10,1,0.00248,9.155049,[82 31] ; [71 61],[70.56734694 42.43265306] ; [82.43265306 49.56734694],0
a5,1,0.003983,8.291361,[80 34] ; [70 64],[68.9516129 45.0483871] ; [81.0483871 52.9516129],0
n6,1,0.004061,8.256204,[91 23] ; [84 49],[80.76923077 33.23076923] ; [94.23076923 38.76923077],0
p7,1,0.004372,8.122533,[66 47] ; [53 79],[54.88571429 58.11428571] ; [64.11428571 67.88571429],0
p2,1,0.004687,7.996307,[89 24] ; [82 50],[78.86938776 34.13061224] ; [92.13061224 39.86938776],0
a3,1,0.008476,6.930139,[80 34] ; [71 61],[69.97560976 44.02439024] ; [81.02439024 50.97560976],0
p4,1,0.014673,5.955304,[52 59] ; [42 91],[42.76229508 68.23770492] ; [51.23770492 81.76229508],0
d5,1,0.015038,5.911973,[89 25] ; [85 48],[80.30769231 33.69230769] ; [93.69230769 39.30769231],0
r2,1,0.016257,5.77489,[104   8] ; [109  23],[97.7704918 14.2295082] ; [115.2295082  16.7704918],0
p9,1,0.016384,5.761216,[86 28] ; [80 51],[77.24081633 36.75918367] ; [88.75918367 42.24081633],0
n4,1,0.017927,5.603243,[82 32] ; [77 57],[73.08870968 40.91129032] ; [85.91129032 48.08870968],0
p3,1,0.026186,4.943668,[46 66] ; [37 97],[37.78861789 74.21138211] ; [45.21138211 88.78861789],0
d3,1,0.033915,4.498997,[74 40] ; [68 64],[65.80487805 48.19512195] ; [76.19512195 55.80487805],0
n3,1,0.038534,4.281284,[22  6] ; [24 20],[17.88888889 10.11111111] ; [28.11111111 15.88888889],0
p5,1,0.072567,3.223979,[  8 106] ; [  3 129],[  5.09756098 108.90243902] ; [  5.90243902 126.09756098],0
n2,1,0.11739,2.451809,[19  7] ; [25 21],[15.88888889 10.11111111] ; [28.11111111 17.88888889],0
a4,1,0.185841,1.750283,[47 67] ; [44 89],[42. 72.] ; [49. 84.],0
s1,1,0.199399,1.646769,[  3 110] ; [  8 124],[  5.07346939 107.92653061] ; [  5.92653061 126.07346939],0
a8,1,0.225947,1.466196,[ 7 99] ; [ 14 111],[ 9.63636364 96.36363636] ; [ 11.36363636 113.63636364],0
p6,1,0.239416,1.384027,[24 86] ; [ 21 111],[20.45454545 89.54545455] ; [ 24.54545455 107.45454545],0
a1,1,0.258659,1.275919,[  4 110] ; [  9 125],[  5.97580645 108.02419355] ; [  7.02419355 126.97580645],0
s5,1,0.262602,1.254989,[16 94] ; [ 13 119],[13.18181818 96.81818182] ; [ 15.81818182 116.18181818],0
p12,1,0.297782,1.084099,[  4 109] ; [  2 132],[  2.74493927 110.25506073] ; [  3.25506073 130.74493927],0
b5,1,0.335611,0.927126,[62 52] ; [81 53],[65.73387097 48.26612903] ; [77.26612903 56.73387097],0
a7,1,0.397634,0.715471,[78 35] ; [85 48],[74.87398374 38.12601626] ; [88.12601626 44.87398374],0
b4,1,0.399063,0.711148,[62 52] ; [80 54],[65.27419355 48.72580645] ; [76.72580645 57.27419355],0
p1,1,0.407265,0.68677,[ 13 101] ; [ 11 122],[ 11.07692308 102.92307692] ; [ 12.92307692 120.07692308],0
u2,1,0.441466,0.592468,[13 20] ; [30 33],[14.78125 18.21875] ; [28.21875 34.78125],0
a6,1,0.594842,0.282846,[76 38] ; [85 49],[74.00806452 39.99193548] ; [86.99193548 47.00806452],0
b1,1,0.640896,0.217572,[46 68] ; [58 76],[47.80645161 66.19354839] ; [56.19354839 77.80645161],0
b2,1,0.664512,0.188089,[26 44] ; [27 53],[24.73333333 45.26666667] ; [28.26666667 51.73333333],0
b3,1,0.664512,0.188089,[26 44] ; [27 53],[24.73333333 45.26666667] ; [28.26666667 51.73333333],0
d2,1,0.670038,0.181557,[51 62] ; [56 76],[49.35102041 63.64897959] ; [57.64897959 74.35102041],0
n1,1,0.711207,0.137074,[ 8 18] ; [12 33],[ 7.32394366 18.67605634] ; [12.67605634 32.32394366],0
a2,1,0.722782,0.125843,[18 96] ; [ 19 115],[17.00806452 96.99193548] ; [ 19.99193548 114.00806452],0
