Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.0,27.082372,[82 12] ; [10 16],[72.06666667 21.93333333] ; [19.93333333  6.06666667],1
r1,1,0.0,26.570696,[72 21] ; [ 6 20],[60.95798319 32.04201681] ; [17.04201681  8.95798319],1
p11,1,2e-06,22.331935,[60 34] ; [ 3 23],[49.35 44.65] ; [13.65 12.35],1
p2,1,0.000218,13.667284,[65 27] ; [ 8 18],[56.91525424 35.08474576] ; [16.08474576  9.91525424],1
s6,1,0.000283,13.182758,[44 50] ; [ 2 24],[36.03333333 57.96666667] ; [ 9.96666667 16.03333333],1
v2,1,0.000324,12.923402,[42 46] ; [ 2 23],[34.26548673 53.73451327] ; [ 9.73451327 15.26548673],1
a1,1,0.000392,12.568411,[ 4 90] ; [ 7 19],[ 8.61666667 85.38333333] ; [ 2.38333333 23.61666667],1
p4,1,0.000409,12.491314,[42 50] ; [ 2 24],[34.30508475 57.69491525] ; [ 9.69491525 16.30508475],1
d4,1,0.000499,12.120645,[73 21] ; [11 15],[65.8 28.2] ; [18.2  7.8],1
b5,1,0.000587,11.816694,[64 30] ; [ 8 18],[56.4 37.6] ; [15.6 10.4],1
p8,1,0.001852,9.690916,[38 54] ; [ 2 23],[31.45299145 60.54700855] ; [ 8.54700855 16.45299145],0
r2,1,0.003881,8.338465,[83 11] ; [16  9],[78.20168067 15.79831933] ; [20.79831933  4.20168067],0
s2,1,0.004542,8.053457,[29 64] ; [ 1 25],[23.44537815 69.55462185] ; [ 6.55462185 19.44537815],0
d5,1,0.008648,6.894121,[69 25] ; [12 14],[63.45 30.55] ; [17.55  8.45],0
b3,1,0.009087,6.805556,[12 42] ; [9 7],[16.2 37.8] ; [ 4.8 11.2],0
b2,1,0.009087,6.805556,[12 42] ; [9 7],[16.2 37.8] ; [ 4.8 11.2],0
p9,1,0.010207,6.598435,[60 33] ; [ 9 16],[54.38135593 38.61864407] ; [14.61864407 10.38135593],0
d3,1,0.010403,6.564631,[55 38] ; [ 8 18],[49.23529412 43.76470588] ; [13.76470588 12.23529412],0
p10,1,0.01498,5.918842,[51 41] ; [ 7 18],[45.60683761 46.39316239] ; [12.39316239 12.60683761],0
a6,1,0.016264,5.774141,[64 30] ; [11 15],[58.75 35.25] ; [16.25  9.75],0
p7,1,0.017062,5.689981,[44 45] ; [ 6 20],[38.69565217 50.30434783] ; [11.30434783 14.69565217],0
n5,1,0.020458,5.372357,[37 56] ; [17  9],[42.20168067 50.79831933] ; [11.79831933 14.20168067],0
p6,1,0.02768,4.84791,[20 67] ; [ 1 25],[16.16814159 70.83185841] ; [ 4.83185841 21.16814159],0
