Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,1e-06,24.222099,[116  24] ; [16 21],[104.40677966  35.59322034] ; [27.59322034  9.40677966],1
s2,1,8.9e-05,15.358063,[105  36] ; [15 22],[95.05617978 45.94382022] ; [24.94382022 12.05617978],1
s5,1,0.000211,13.728513,[67 70] ; [ 5 30],[57.34883721 79.65116279] ; [14.65116279 20.34883721],1
r4,1,0.00115,10.569021,[128  13] ; [26 11],[121.98876404  19.01123596] ; [32.01123596  4.98876404],0
n5,1,0.017575,5.638031,[110  30] ; [22 15],[104.40677966  35.59322034] ; [27.59322034  9.40677966],0
s8,1,0.023157,5.15667,[90 51] ; [16 21],[83.96629213 57.03370787] ; [22.03370787 14.96629213],0
p9,1,0.026452,4.926238,[122  17] ; [27 10],[117.67613636  21.32386364] ; [31.32386364  5.67613636],0
d5,1,0.029728,4.724939,[117  23] ; [25 12],[112.31638418  27.68361582] ; [29.68361582  7.31638418],0
s4,1,0.030308,4.691734,[44 96] ; [ 5 32],[ 38.75706215 101.24293785] ; [10.24293785 26.75706215],0
r1,1,0.037791,4.3144,[117  24] ; [25 12],[112.48314607  28.51685393] ; [29.51685393  7.48314607],0
r3,1,0.038663,4.275614,[134   6] ; [32  5],[131.29943503   8.70056497] ; [34.70056497  2.29943503],0
n6,1,0.079281,3.079583,[125  15] ; [29  8],[121.8079096  18.1920904] ; [32.1920904  4.8079096],0
u1,1,0.092923,2.822988,[ 33 108] ; [ 4 33],[ 29.30898876 111.69101124] ; [ 7.69101124 29.30898876],0
a6,1,0.108099,2.581799,[92 48] ; [19 18],[87.79661017 52.20338983] ; [23.20338983 13.79661017],0
n1,1,0.119669,2.421652,[16 23] ; [8 4],[18.35294118 20.64705882] ; [5.64705882 6.35294118],0
d1,1,0.128985,2.304675,[88 53] ; [18 19],[83.96629213 57.03370787] ; [22.03370787 14.96629213],0
a2,1,0.154037,2.031813,[ 39 102] ; [ 6 31],[ 35.64606742 105.35393258] ; [ 9.35393258 27.64606742],0
p5,1,0.175633,1.83419,[ 19 122] ; [ 2 35],[ 16.63483146 124.36516854] ; [ 4.36516854 32.63483146],0
v4,1,0.237439,1.395734,[135   5] ; [34  3],[133.67231638   6.32768362] ; [35.32768362  1.67231638],0
b2,1,0.241413,1.372325,[32 59] ; [12 13],[34.51724138 56.48275862] ; [ 9.48275862 15.51724138],0
b3,1,0.241413,1.372325,[32 59] ; [12 13],[34.51724138 56.48275862] ; [ 9.48275862 15.51724138],0
d3,1,0.257409,1.282638,[97 43] ; [22 15],[94.12429379 45.87570621] ; [24.87570621 12.12429379],0
b5,1,0.281291,1.160842,[75 66] ; [16 21],[72.08426966 68.91573034] ; [18.91573034 18.08426966],0
r2,1,0.325453,0.966904,[134   6] ; [33  3],[132.84090909   7.15909091] ; [34.15909091  1.84090909],0
