Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,1.7e-05,18.544671,[18 23] ; [50  9],[27.88 13.12] ; [40.12 18.88],1
s7,1,0.000135,14.576668,[12 30] ; [39 19],[21.42 20.58] ; [29.58 28.42],1
s8,1,0.005675,7.650599,[ 9 33] ; [29 31],[15.64705882 26.35294118] ; [22.35294118 37.64705882],0
s5,1,0.025639,4.980181,[ 8 33] ; [24 35],[13.12 27.88] ; [18.88 40.12],0
d4,1,0.063707,3.438161,[31 11] ; [52  7],[34.51485149  7.48514851] ; [48.48514851 10.51485149],0
a7,1,0.087798,2.914286,[32 10] ; [36 24],[28. 14.] ; [40. 20.],0
v2,1,0.09159,2.846196,[16 26] ; [32 26],[20.16 21.84] ; [27.84 30.16],0
n1,1,0.095069,2.786378,[11  6] ; [ 7 12],[8.5 8.5] ; [9.5 9.5],0
r3,1,0.103685,2.647926,[36  6] ; [57  3],[38.29411765  3.70588235] ; [54.70588235  5.29411765],0
a5,1,0.162948,1.946652,[23 19] ; [41 19],[26.35294118 15.64705882] ; [37.64705882 22.35294118],0
u1,1,0.187813,1.734694,[ 6 36] ; [15 45],[ 8.64705882 33.35294118] ; [12.35294118 47.64705882],0
d1,1,0.192214,1.700562,[19 23] ; [35 25],[22.23529412 19.76470588] ; [31.76470588 28.23529412],0
d2,1,0.195202,1.677915,[18 24] ; [33 26],[21.20792079 20.79207921] ; [29.79207921 29.20792079],0
a4,1,0.209952,1.571761,[14 27] ; [28 32],[17.04950495 23.95049505] ; [24.95049505 35.04950495],0
a3,1,0.225132,1.471355,[21 20] ; [38 22],[23.95049505 17.04950495] ; [35.04950495 24.95049505],0
s4,1,0.240383,1.378346,[ 7 34] ; [16 43],[ 9.43 31.57] ; [13.57 45.43],0
d5,1,0.25934,1.272277,[31 11] ; [49 10],[33.26732673  8.73267327] ; [46.73267327 12.26732673],0
n5,1,0.273396,1.199627,[24 18] ; [40 19],[26.61386139 15.38613861] ; [37.38613861 21.61386139],0
p1,1,0.32129,0.983687,[ 2 40] ; [ 6 53],[ 3.32673267 38.67326733] ; [ 4.67326733 54.32673267],0
u4,1,0.323826,0.973432,[ 1 41] ; [ 4 56],[ 2.05882353 39.94117647] ; [ 2.94117647 57.05882353],0
p5,1,0.332833,0.937842,[ 2 40] ; [ 6 54],[ 3.29411765 38.70588235] ; [ 4.70588235 55.29411765],0
v4,1,0.340166,0.909804,[36  6] ; [55  5],[37.47058824  4.52941176] ; [53.52941176  6.47058824],0
b5,1,0.345329,0.890548,[31 11] ; [39 21],[28.82352941 13.17647059] ; [41.17647059 18.82352941],0
n6,1,0.386509,0.749897,[28 14] ; [44 15],[29.94059406 12.05940594] ; [42.05940594 16.94059406],0
p8,1,0.452674,0.563948,[14 28] ; [24 35],[15.8019802 26.1980198] ; [22.1980198 36.8019802],0
b1,1,0.462763,0.539205,[20 22] ; [33 27],[21.82352941 20.17647059] ; [31.17647059 28.82352941],0
p4,1,0.462763,0.539205,[20 22] ; [33 27],[21.82352941 20.17647059] ; [31.17647059 28.82352941],0
s1,1,0.482584,0.493018,[ 2 40] ; [ 5 55],[ 2.88235294 39.11764706] ; [ 4.11764706 55.88235294],0
v1,1,0.486583,0.484074,[17 25] ; [28 31],[18.71287129 23.28712871] ; [26.28712871 32.71287129],0
p3,1,0.544522,0.367224,[15 27] ; [25 35],[16.47058824 25.52941176] ; [23.52941176 36.47058824],0
r2,1,0.550531,0.356366,[37  5] ; [55  5],[37.88235294  4.11764706] ; [54.11764706  5.88235294],0
n2,1,0.559339,0.34085,[11  6] ; [14  5],[11.80555556  5.19444444] ; [13.19444444  5.80555556],0
b2,1,0.562497,0.335399,[ 8 21] ; [13 25],[ 9.08955224 19.91044776] ; [11.91044776 26.08955224],0
b3,1,0.562497,0.335399,[ 8 21] ; [13 25],[ 9.08955224 19.91044776] ; [11.91044776 26.08955224],0
a8,1,0.589402,0.291279,[ 5 31] ; [10 45],[ 5.93406593 30.06593407] ; [ 9.06593407 45.93406593],0
p6,1,0.61028,0.259767,[10 32] ; [17 43],[11.11764706 30.88235294] ; [15.88235294 44.11764706],0
n3,1,0.636831,0.22291,[12  5] ; [12  7],[11.33333333  5.66666667] ; [12.66666667  6.33333333],0
a6,1,0.647264,0.209367,[24 18] ; [31 28],[22.87128713 19.12871287] ; [32.12871287 26.87128713],0
v3,1,0.680726,0.16931,[13 28] ; [20 36],[13.94845361 27.05154639] ; [19.05154639 36.94845361],0
p2,1,0.696799,0.151823,[25 17] ; [38 22],[25.94117647 16.05882353] ; [37.05882353 22.94117647],0
r4,1,0.698386,0.150157,[33  9] ; [49 11],[33.76470588  8.23529412] ; [48.23529412 11.76470588],0
n4,1,0.71287,0.135427,[27 15] ; [40 19],[27.86138614 14.13861386] ; [39.13861386 19.86138614],0
p9,1,0.736381,0.113333,[17 25] ; [25 32],[17.81818182 24.18181818] ; [24.18181818 32.81818182],0
r1,1,0.741283,0.109002,[31 11] ; [46 14],[31.70588235 10.29411765] ; [45.29411765 14.70588235],0
b4,1,0.748976,0.102394,[26 16] ; [39 21],[26.76470588 15.23529412] ; [38.23529412 21.76470588],0
p12,1,0.797897,0.065571,[ 1 41] ; [ 1 59],[ 0.82352941 41.17647059] ; [ 1.17647059 58.82352941],0
p11,1,0.868381,0.027462,[21 21] ; [29 31],[20.58823529 21.41176471] ; [29.41176471 30.58823529],0
d3,1,0.871462,0.02618,[27 15] ; [37 22],[26.61386139 15.38613861] ; [37.38613861 21.61386139],0
u2,1,0.878828,0.023243,[10 10] ; [10 11],[ 9.75609756 10.24390244] ; [10.24390244 10.75609756],0
u3,1,0.915594,0.011233,[14  7] ; [15  7],[14.1627907  6.8372093] ; [14.8372093  7.1627907],0
