Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.00225,9.333333,[ 2 10] ; [12  4],[6. 6.] ; [8. 8.],0
s8,1,0.015297,5.881944,[ 2 10] ; [10  6],[5.14285714 6.85714286] ; [6.85714286 9.14285714],0
s7,1,0.022243,5.226667,[3 6] ; [12  3],[5.625 3.375] ; [9.375 5.625],0
s4,1,0.040078,4.214583,[ 1 11] ; [7 9],[3.42857143 8.57142857] ; [ 4.57142857 11.42857143],0
n3,1,0.048328,3.898526,[5 1] ; [2 5],[3.23076923 2.76923077] ; [3.76923077 3.23076923],0
p3,1,0.062942,3.45812,[4 8] ; [11  5],[6.42857143 5.57142857] ; [8.57142857 7.42857143],0
d4,1,0.073896,3.194296,[5 7] ; [12  4],[7.28571429 4.71428571] ; [9.71428571 6.28571429],0
b1,1,0.180101,1.796791,[9 3] ; [8 8],[7.28571429 4.71428571] ; [9.71428571 6.28571429],0
b5,1,0.184054,1.764583,[7 5] ; [13  3],[8.57142857 3.42857143] ; [11.42857143  4.57142857],0
d2,1,0.305507,1.05,[3 9] ; [7 9],[4.28571429 7.71428571] ; [ 5.71428571 10.28571429],0
a5,1,0.314736,1.010695,[6 6] ; [11  5],[7.28571429 4.71428571] ; [9.71428571 6.28571429],0
a6,1,0.314736,1.010695,[6 6] ; [11  5],[7.28571429 4.71428571] ; [9.71428571 6.28571429],0
u1,1,0.377822,0.777778,[ 2 10] ; [ 1 15],[ 1.28571429 10.71428571] ; [ 1.71428571 14.28571429],0
p9,1,0.377822,0.777778,[8 4] ; [13  3],[9. 3.] ; [12.  4.],0
p5,1,0.377822,0.777778,[ 2 10] ; [ 1 15],[ 1.28571429 10.71428571] ; [ 1.71428571 14.28571429],0
v4,1,0.377822,0.777778,[10  2] ; [11  5],[9. 3.] ; [12.  4.],0
r1,1,0.377822,0.777778,[4 8] ; [ 3 13],[3. 9.] ; [ 4. 12.],0
n2,1,0.416448,0.660317,[4 2] ; [6 1],[4.61538462 1.38461538] ; [5.38461538 1.61538462],0
n1,1,0.428537,0.626786,[3 3] ; [2 5],[2.30769231 3.69230769] ; [2.69230769 4.30769231],0
p2,1,0.435678,0.607639,[11  1] ; [13  3],[10.28571429  1.71428571] ; [13.71428571  2.28571429],0
d3,1,0.483522,0.490909,[4 7] ; [8 8],[4.88888889 6.11111111] ; [7.11111111 8.88888889],0
b4,1,0.508332,0.4375,[6 6] ; [ 6 10],[5.14285714 6.85714286] ; [6.85714286 9.14285714],0
r2,1,0.596613,0.280135,[7 4] ; [11  4],[7.61538462 3.38461538] ; [10.38461538  4.61538462],0
b3,1,0.610689,0.259174,[2 3] ; [3 8],[1.5625 3.4375] ; [3.4375 7.5625],0
b2,1,0.610689,0.259174,[2 3] ; [3 8],[1.5625 3.4375] ; [3.4375 7.5625],0
r3,1,0.629063,0.233333,[8 4] ; [12  4],[8.57142857 3.42857143] ; [11.42857143  4.57142857],0
p11,1,0.629063,0.233333,[8 4] ; [12  4],[8.57142857 3.42857143] ; [11.42857143  4.57142857],0
a7,1,0.66171,0.191453,[7 5] ; [8 8],[6.42857143 5.57142857] ; [8.57142857 7.42857143],0
n5,1,0.675422,0.175325,[9 2] ; [12  4],[8.55555556 2.44444444] ; [12.44444444  3.55555556],0
u3,1,0.735317,0.114286,[1 4] ; [2 5],[1.25 3.75] ; [1.75 5.25],0
p8,1,0.742787,0.107692,[6 6] ; [9 7],[6.42857143 5.57142857] ; [8.57142857 7.42857143],0
a3,1,0.742787,0.107692,[6 6] ; [9 7],[6.42857143 5.57142857] ; [8.57142857 7.42857143],0
a2,1,0.755189,0.097222,[ 2 10] ; [ 2 14],[ 1.71428571 10.28571429] ; [ 2.28571429 13.71428571],0
d1,1,0.819872,0.051852,[4 8] ; [ 6 10],[4.28571429 7.71428571] ; [ 5.71428571 10.28571429],0
n6,1,0.819872,0.051852,[8 4] ; [10  6],[7.71428571 4.28571429] ; [10.28571429  5.71428571],0
n4,1,0.823218,0.049911,[7 5] ; [10  6],[7.28571429 4.71428571] ; [9.71428571 6.28571429],0
a4,1,0.823218,0.049911,[5 7] ; [ 6 10],[4.71428571 7.28571429] ; [6.28571429 9.71428571],0
p12,1,0.83224,0.044872,[ 1 11] ; [ 1 15],[ 0.85714286 11.14285714] ; [ 1.14285714 14.85714286],0
u2,1,0.852876,0.034392,[4 2] ; [5 2],[4.15384615 1.84615385] ; [4.84615385 2.15384615],0
p4,1,0.907008,0.013645,[8 4] ; [11  5],[8.14285714 3.85714286] ; [10.85714286  5.14285714],0
v2,1,0.93021,0.00767,[6 5] ; [9 7],[6.11111111 4.88888889] ; [8.88888889 7.11111111],0
v1,1,0.93021,0.00767,[5 7] ; [6 9],[4.88888889 7.11111111] ; [6.11111111 8.88888889],0
p10,1,0.952092,0.00361,[7 4] ; [10  6],[6.92592593 4.07407407] ; [10.07407407  5.92592593],0
p7,1,0.972542,0.001185,[8 3] ; [11  4],[8.03846154 2.96153846] ; [10.96153846  4.03846154],0
d5,1,1.0,0.0,[9 3] ; [12  4],[9. 3.] ; [12.  4.],0
v3,1,1.0,0.0,[3 9] ; [ 4 12],[3. 9.] ; [ 4. 12.],0
