Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.0,37.02086,[80 10] ; [131 118],[56.01769912 33.98230088] ; [154.98230088  94.01769912],1
s2,1,0.0,33.9212,[65 26] ; [ 89 159],[41.33923304 49.66076696] ; [112.66076696 135.33923304],1
s8,1,6e-06,20.349878,[52 39] ; [ 76 174],[34.15835777 56.84164223] ; [ 93.84164223 156.15835777],1
s4,1,1.6e-05,18.562453,[22 68] ; [ 18 229],[10.68249258 79.31750742] ; [ 29.31750742 217.68249258],1
s3,1,2.4e-05,17.876272,[62 25] ; [110 135],[45.07228916 41.92771084] ; [126.92771084 118.07228916],1
s7,1,2.5e-05,17.778049,[58 34] ; [ 88 148],[40.95121951 51.04878049] ; [105.04878049 130.95121951],1
p7,1,0.000119,14.803434,[60 28] ; [108 136],[44.53012048 43.46987952] ; [123.46987952 120.53012048],1
p12,1,0.000267,13.287334,[12 80] ; [  7 241],[ 5.14117647 86.85882353] ; [ 13.85882353 234.14117647],1
p5,1,0.000606,11.758961,[12 80] ; [  8 241],[ 5.39589443 86.60410557] ; [ 14.60410557 234.39589443],1
p6,1,0.002814,8.924117,[34 56] ; [ 53 192],[23.37313433 66.62686567] ; [ 63.62686567 181.37313433],0
v4,1,0.010697,6.514999,[87  3] ; [216  32],[80.68047337  9.31952663] ; [222.31952663  25.68047337],0
r4,1,0.0135,6.102371,[84  8] ; [200  50],[76.39766082 15.60233918] ; [207.60233918  42.39766082],0
p4,1,0.02127,5.304521,[44 46] ; [ 87 161],[34.8816568 55.1183432] ; [ 96.1183432 151.8816568],0
p10,1,0.027296,4.872015,[74 17] ; [171  76],[65.96153846 25.03846154] ; [179.03846154  67.96153846],0
v1,1,0.027551,4.855919,[52 39] ; [106 137],[43.04790419 47.95209581] ; [114.95209581 128.04790419],0
d2,1,0.052733,3.752362,[51 39] ; [111 137],[43.13609467 46.86390533] ; [118.86390533 129.13609467],0
a5,1,0.054987,3.682494,[73 19] ; [172  78],[65.90643275 26.09356725] ; [179.09356725  70.90643275],0
p1,1,0.060793,3.515623,[10 81] ; [ 13 236],[ 6.15588235 84.84411765] ; [ 16.84411765 232.15588235],0
p8,1,0.06377,3.436509,[40 49] ; [ 83 162],[32.7754491 56.2245509] ; [ 90.2245509 154.7754491],0
n6,1,0.066169,3.375594,[80 10] ; [200  49],[74.33628319 15.66371681] ; [205.66371681  43.33628319],0
p9,1,0.07802,3.105673,[74 15] ; [181  64],[67.9491018 21.0508982] ; [187.0508982  57.9491018],0
p2,1,0.080453,3.055727,[76 16] ; [183  66],[69.87683284 22.12316716] ; [189.12316716  59.87683284],0
r1,1,0.086887,2.931118,[76 15] ; [186  63],[70.12352941 20.87647059] ; [191.87647059  57.12352941],0
n3,1,0.089572,2.882057,[20  5] ; [41 26],[16.57608696  8.42391304] ; [44.42391304 22.57608696],0
r2,1,0.114681,2.488502,[86  4] ; [220  24],[82.45508982  7.54491018] ; [223.54491018  20.45508982],0
v3,1,0.118611,2.435564,[37 53] ; [ 77 164],[30.99697885 59.00302115] ; [ 83.00302115 157.99697885],0
a4,1,0.157958,1.993671,[47 45] ; [105 142],[41.25073746 50.74926254] ; [110.74926254 136.25073746],0
a6,1,0.172107,1.864493,[54 38] ; [166  83],[59.35483871 32.64516129] ; [160.64516129  88.35483871],0
n5,1,0.174111,1.847184,[79 11] ; [203  46],[74.86725664 15.13274336] ; [207.13274336  41.86725664],0
d1,1,0.183482,1.769195,[56 36] ; [132 118],[50.57309942 41.42690058] ; [137.42690058 112.57309942],0
d5,1,0.186661,1.743774,[76 16] ; [189  60],[71.49560117 20.50439883] ; [193.50439883  55.49560117],0
d4,1,0.200398,1.639472,[76 15] ; [192  57],[71.72941176 19.27058824] ; [196.27058824  52.72941176],0
b1,1,0.211958,1.558001,[38 54] ; [ 85 165],[33.0877193 58.9122807] ; [ 89.9122807 160.0877193],0
a2,1,0.225415,1.469562,[24 68] ; [ 50 200],[19.90643275 72.09356725] ; [ 54.09356725 195.90643275],0
b5,1,0.290909,1.115411,[52 40] ; [157  93],[56.22222222 35.77777778] ; [152.77777778  97.22222222],0
b2,1,0.329086,0.952492,[24 36] ; [ 49 100],[20.9569378 39.0430622] ; [52.0430622 96.9569378],0
b3,1,0.329086,0.952492,[24 36] ; [ 49 100],[20.9569378 39.0430622] ; [52.0430622 96.9569378],0
a3,1,0.367341,0.81264,[67 25] ; [168  80],[63.58823529 28.41176471] ; [171.41176471  76.58823529],0
n2,1,0.40347,0.697959,[20  5] ; [50 20],[18.42105263  6.57894737] ; [51.57894737 18.42105263],0
b4,1,0.437639,0.602465,[58 34] ; [146 104],[54.87719298 37.12280702] ; [149.12280702 100.87719298],0
a8,1,0.479854,0.499195,[16 64] ; [ 38 192],[13.93548387 66.06451613] ; [ 40.06451613 189.93548387],0
r3,1,0.529262,0.395809,[83  7] ; [224  25],[81.50442478  8.49557522] ; [225.49557522  23.50442478],0
u3,1,0.546237,0.364102,[13 12] ; [37 45],[11.68224299 13.31775701] ; [38.31775701 43.68224299],0
s1,1,0.563127,0.334319,[ 5 85] ; [ 10 235],[ 4.02985075 85.97014925] ; [ 10.97014925 234.02985075],0
v2,1,0.610922,0.258834,[46 43] ; [115 122],[43.95398773 45.04601227] ; [117.04601227 119.95398773],0
u1,1,0.630861,0.230895,[14 78] ; [ 33 217],[12.64327485 79.35672515] ; [ 34.35672515 215.64327485],0
a1,1,0.645611,0.211478,[ 4 88] ; [ 14 236],[ 4.84210526 87.15789474] ; [ 13.15789474 236.84210526],0
p11,1,0.694341,0.154426,[70 22] ; [185  65],[68.59649123 23.40350877] ; [186.40350877  63.59649123],0
u2,1,0.695675,0.153011,[11 12] ; [43 39],[11.82857143 11.17142857] ; [42.17142857 39.82857143],0
a7,1,0.756365,0.09626,[61 30] ; [172  78],[62.17888563 28.82111437] ; [170.82111437  79.17888563],0
n1,1,0.841354,0.040065,[11 13] ; [30 39],[10.58064516 13.41935484] ; [30.41935484 38.58064516],0
d3,1,0.884353,0.021157,[61 31] ; [163  86],[60.4340176 31.5659824] ; [163.5659824  85.4340176],0
