Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.0,41.167416,[ 51 100] ; [45  8],[71.05882353 79.94117647] ; [24.94117647 28.05882353],1
p4,1,0.0,36.344531,[ 46 105] ; [42 12],[64.8195122 86.1804878] ; [23.1804878 30.8195122],1
p3,1,4.2e-05,16.794447,[ 40 111] ; [31 23],[52.29756098 98.70243902] ; [18.70243902 35.29756098],1
p8,1,4.7e-05,16.575799,[52 98] ; [36 18],[64.70588235 85.29411765] ; [23.29411765 30.70588235],1
r3,1,0.000408,12.496636,[116  35] ; [53  1],[124.48292683  26.51707317] ; [44.51707317  9.48292683],1
p2,1,0.000976,10.87334,[95 56] ; [47  7],[104.59512195  46.40487805] ; [37.40487805 16.59512195],1
r4,1,0.001269,10.387559,[104  48] ; [49  5],[112.89320388  39.10679612] ; [40.10679612 13.89320388],0
v4,1,0.002051,9.503745,[123  29] ; [53  1],[129.86407767  22.13592233] ; [46.13592233  7.86407767],0
p9,1,0.010556,6.538528,[95 52] ; [45  9],[102.3880597  44.6119403] ; [37.6119403 16.3880597],0
n3,1,0.013069,6.159712,[27 26] ; [13  2],[31.17647059 21.82352941] ; [8.82352941 6.17647059],0
p10,1,0.018743,5.52529,[89 61] ; [41 12],[96.0591133 53.9408867] ; [33.9408867 19.0591133],0
n6,1,0.019002,5.501376,[110  40] ; [48  6],[116.17647059  33.82352941] ; [41.82352941 12.17647059],0
p11,1,0.022383,5.215778,[92 60] ; [42 12],[98.87378641 53.12621359] ; [35.12621359 18.87378641],0
r2,1,0.024594,5.052274,[123  28] ; [50  3],[128.05392157  22.94607843] ; [44.94607843  8.05392157],0
s8,1,0.033112,4.539995,[ 25 126] ; [16 37],[ 30.34803922 120.65196078] ; [10.65196078 42.34803922],0
s5,1,0.041815,4.142679,[ 22 127] ; [14 37],[ 26.82 122.18] ; [ 9.18 41.82],0
p1,1,0.067907,3.332898,[ 10 141] ; [ 8 46],[ 13.25853659 137.74146341] ; [ 4.74146341 49.25853659],0
s6,1,0.068541,3.317622,[52 98] ; [25 26],[57.46268657 92.53731343] ; [19.53731343 31.46268657],0
a7,1,0.086379,2.940595,[95 57] ; [40 13],[100.09756098  51.90243902] ; [34.90243902 18.09756098],0
u3,1,0.087618,2.917598,[30 35] ; [13  6],[33.27380952 31.72619048] ; [9.72619048 9.27380952],0
s2,1,0.101649,2.679479,[ 15 135] ; [10 44],[ 18.38235294 131.61764706] ; [ 6.61764706 47.38235294],0
d1,1,0.114216,2.494897,[60 92] ; [28 26],[64.93203883 87.06796117] ; [23.06796117 30.93203883],0
s7,1,0.118218,2.44077,[ 29 115] ; [16 36],[ 33.06122449 110.93877551] ; [11.93877551 40.06122449],0
p5,1,0.146109,2.112411,[  8 143] ; [ 6 48],[ 10.31219512 140.68780488] ; [ 3.68780488 50.31219512],0
b3,1,0.21644,1.527818,[30 57] ; [15 17],[32.89915966 54.10084034] ; [12.10084034 19.89915966],0
b2,1,0.21644,1.527818,[30 57] ; [15 17],[32.89915966 54.10084034] ; [12.10084034 19.89915966],0
d5,1,0.251625,1.31426,[105  47] ; [41 12],[108.25365854  43.74634146] ; [37.74634146 15.25365854],0
u2,1,0.278783,1.173013,[30 35] ; [12  8],[32.11764706 32.88235294] ; [ 9.88235294 10.11764706],0
n4,1,0.298978,1.078749,[95 57] ; [38 16],[98.13592233 53.86407767] ; [34.86407767 19.13592233],0
r1,1,0.317832,0.997848,[89 62] ; [36 18],[92.07317073 58.92682927] ; [32.92682927 21.07317073],0
d3,1,0.341283,0.905604,[82 70] ; [32 20],[84.94117647 67.05882353] ; [29.05882353 22.94117647],0
b4,1,0.358163,0.844326,[87 65] ; [27 27],[84.11650485 67.88349515] ; [29.88349515 24.11650485],0
a4,1,0.358897,0.84175,[ 51 100] ; [22 32],[53.77073171 97.22926829] ; [19.22926829 34.77073171],0
d4,1,0.3875,0.746772,[106  46] ; [41 13],[108.46601942  43.53398058] ; [38.53398058 15.46601942],0
s4,1,0.394112,0.726219,[ 19 132] ; [ 9 43],[ 20.82758621 130.17241379] ; [ 7.17241379 44.82758621],0
a3,1,0.404722,0.694252,[87 64] ; [34 19],[89.56372549 61.43627451] ; [31.43627451 21.56372549],0
d2,1,0.479283,0.500495,[61 89] ; [19 35],[58.82352941 91.17647059] ; [21.17647059 32.82352941],0
a8,1,0.513794,0.426332,[ 13 131] ; [ 6 43],[ 14.1761658 129.8238342] ; [ 4.8238342 44.1761658],0
a1,1,0.533582,0.387566,[  9 143] ; [ 2 52],[  8.11650485 143.88349515] ; [ 2.88349515 51.11650485],0
v1,1,0.603887,0.269173,[ 47 103] ; [19 35],[ 48.52941176 101.47058824] ; [17.47058824 36.52941176],0
n2,1,0.661858,0.191275,[31 24] ; [10  6],[31.76056338 23.23943662] ; [9.23943662 6.76056338],0
p12,1,0.693117,0.155731,[  4 147] ; [ 2 52],[  4.4195122 146.5804878] ; [ 1.5804878 52.4195122],0
a2,1,0.697959,0.150604,[ 23 129] ; [ 7 47],[ 22.13592233 129.86407767] ; [ 7.86407767 46.13592233],0
v3,1,0.756927,0.095802,[ 25 125] ; [10 44],[ 25.73529412 124.26470588] ; [ 9.26470588 44.73529412],0
b5,1,0.789435,0.071313,[96 56] ; [33 21],[95.18446602 56.81553398] ; [33.81553398 20.18446602],0
b1,1,0.796053,0.066801,[65 87] ; [22 32],[64.19417476 87.80582524] ; [22.80582524 31.19417476],0
a6,1,0.87021,0.026697,[92 60] ; [32 22],[91.49514563 60.50485437] ; [32.50485437 21.49514563],0
u1,1,0.874494,0.024949,[ 13 139] ; [ 5 49],[ 13.2815534 138.7184466] ; [ 4.7184466 49.2815534],0
n5,1,0.897531,0.016585,[99 53] ; [34 19],[98.61463415 53.38536585] ; [34.38536585 18.61463415],0
n1,1,0.950486,0.003856,[17 36] ; [ 5 11],[16.89855072 36.10144928] ; [ 5.10144928 10.89855072],0
a5,1,0.964093,0.002027,[98 54] ; [35 19],[98.13592233 53.86407767] ; [34.86407767 19.13592233],0
