Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v1,1,0.007314,7.194235,[15 60] ; [13 15],[20.38834951 54.61165049] ; [ 7.61165049 20.38834951],0
v2,1,0.009327,6.759148,[24 50] ; [17 11],[29.74509804 44.25490196] ; [11.25490196 16.74509804],0
n4,1,0.019908,5.419936,[40 35] ; [22  6],[45.14563107 29.85436893] ; [16.85436893 11.14563107],0
d4,1,0.01998,5.413661,[49 26] ; [24  3],[53.67647059 21.32352941] ; [19.32352941  7.67647059],0
n2,1,0.034625,4.463563,[18 18] ; [8 1],[20.8 15.2] ; [5.2 3.8],0
n6,1,0.041396,4.159749,[45 29] ; [23  5],[49.33333333 24.66666667] ; [18.66666667  9.33333333],0
n5,1,0.072273,3.230622,[36 39] ; [19  9],[40.04854369 34.95145631] ; [14.95145631 13.04854369],0
b5,1,0.076156,3.145094,[39 36] ; [20  8],[42.96116505 32.03883495] ; [16.03883495 11.96116505],0
r2,1,0.076479,3.13819,[57 17] ; [25  2],[60.07920792 13.92079208] ; [21.92079208  5.07920792],0
s7,1,0.077049,3.126085,[ 9 62] ; [ 7 18],[11.83333333 59.16666667] ; [ 4.16666667 20.83333333],0
p10,1,0.086816,2.932437,[11 64] ; [ 8 19],[13.97058824 61.02941176] ; [ 5.02941176 21.97058824],0
s2,1,0.09006,2.873295,[ 7 67] ; [ 6 21],[ 9.52475248 64.47524752] ; [ 3.47524752 23.52475248],0
s8,1,0.137198,2.20911,[ 6 68] ; [ 5 22],[ 8.05940594 65.94059406] ; [ 2.94059406 24.05940594],0
d3,1,0.148865,2.083847,[39 36] ; [19  9],[42.23300971 32.76699029] ; [15.76699029 12.23300971],0
a3,1,0.157952,1.993726,[36 38] ; [18 10],[39.17647059 34.82352941] ; [14.82352941 13.17647059],0
s4,1,0.166584,1.91342,[10 65] ; [ 1 26],[ 8.08823529 66.91176471] ; [ 2.91176471 24.08823529],0
v4,1,0.186035,1.748744,[55 20] ; [24  4],[57.52427184 17.47572816] ; [21.47572816  6.52427184],0
n1,1,0.203126,1.619753,[10 27] ; [4 4],[11.51111111 25.48888889] ; [2.48888889 5.51111111],0
s6,1,0.206534,1.595557,[18 56] ; [10 17],[20.51485149 53.48514851] ; [ 7.48514851 19.51485149],0
u3,1,0.281825,1.158266,[16 23] ; [6 4],[17.51020408 21.48979592] ; [4.48979592 5.51020408],0
a7,1,0.33922,0.913377,[45 30] ; [19  8],[47.05882353 27.94117647] ; [16.94117647 10.05882353],0
p1,1,0.343931,0.895724,[ 4 70] ; [ 3 25],[ 5.07843137 68.92156863] ; [ 1.92156863 26.07843137],0
b4,1,0.394512,0.72499,[44 31] ; [19  9],[45.87378641 29.12621359] ; [17.12621359 10.87378641],0
p8,1,0.403144,0.698929,[18 57] ; [ 9 19],[19.66019417 55.33980583] ; [ 7.33980583 20.66019417],0
p6,1,0.417355,0.657752,[13 60] ; [ 3 24],[11.68 61.32] ; [ 4.32 22.68],0
a6,1,0.448055,0.575568,[42 33] ; [18 10],[43.68932039 31.31067961] ; [16.31067961 11.68932039],0
p5,1,0.463942,0.536367,[ 1 74] ; [ 1 27],[ 1.45631068 73.54368932] ; [ 0.54368932 27.45631068],0
d5,1,0.490763,0.474852,[51 24] ; [21  7],[52.42718447 22.57281553] ; [19.57281553  8.42718447],0
s5,1,0.523141,0.407696,[12 62] ; [ 3 24],[10.99009901 63.00990099] ; [ 4.00990099 22.99009901],0
r3,1,0.559539,0.340504,[54 21] ; [21  6],[55.14705882 19.85294118] ; [19.85294118  7.14705882],0
b1,1,0.586495,0.295851,[42 33] ; [14 14],[40.77669903 34.22330097] ; [15.22330097 12.77669903],0
b2,1,0.589255,0.29151,[13 33] ; [ 6 11],[13.87301587 32.12698413] ; [ 5.12698413 11.87301587],0
b3,1,0.589255,0.29151,[13 33] ; [ 6 11],[13.87301587 32.12698413] ; [ 5.12698413 11.87301587],0
r4,1,0.604231,0.268662,[44 31] ; [18 10],[45.14563107 29.85436893] ; [16.85436893 11.14563107],0
p7,1,0.623068,0.241579,[29 46] ; [ 9 18],[27.94117647 47.05882353] ; [10.05882353 16.94117647],0
