Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0,66.961794,[128   9] ; [10 22],[111.86982249  25.13017751] ; [26.13017751  5.86982249],1
p11,1,5.5e-05,16.25812,[108  29] ; [15 19],[98.54385965 38.45614035] ; [24.45614035  9.54385965],1
n6,1,0.000234,13.537262,[116  18] ; [20 14],[108.47619048  25.52380952] ; [27.52380952  6.47619048],1
p2,1,0.000252,13.400187,[115  21] ; [19 15],[107.2  28.8] ; [26.8  7.2],1
n5,1,0.000253,13.389079,[106  29] ; [16 18],[97.4556213 37.5443787] ; [24.5443787  9.4556213],1
v4,1,0.007385,7.176924,[129   6] ; [28  6],[125.41420118   9.58579882] ; [31.58579882  2.41420118],0
n4,1,0.010711,6.512695,[103  34] ; [18 16],[96.94152047 40.05847953] ; [24.05847953  9.94152047],0
r3,1,0.029083,4.762722,[130   6] ; [29  5],[127.2   8.8] ; [31.8  2.2],0
r4,1,0.054301,3.703414,[122  15] ; [26  8],[118.57309942  18.42690058] ; [29.42690058  4.57309942],0
p8,1,0.077646,3.113488,[71 65] ; [12 22],[66.4 69.6] ; [16.6 17.4],0
a3,1,0.079483,3.075445,[87 50] ; [16 18],[82.52046784 54.47953216] ; [20.47953216 13.52046784],0
a5,1,0.082303,3.018828,[83 54] ; [15 19],[78.51461988 58.48538012] ; [19.48538012 14.51461988],0
s8,1,0.099486,2.713768,[74 63] ; [13 21],[69.70175439 67.29824561] ; [17.29824561 16.70175439],0
p7,1,0.0998,2.708731,[94 39] ; [19 15],[89.99401198 43.00598802] ; [23.00598802 10.99401198],0
p4,1,0.156346,2.009217,[75 62] ; [14 20],[71.30409357 65.69590643] ; [17.69590643 16.30409357],0
s6,1,0.21713,1.52324,[111  23] ; [25  9],[108.47619048  25.52380952] ; [27.52380952  6.47619048],0
s4,1,0.218074,1.517002,[ 30 105] ; [11 23],[ 32.75147929 102.24852071] ; [ 8.24852071 25.75147929],0
d5,1,0.246663,1.342105,[79 57] ; [16 18],[76. 60.] ; [19. 15.],0
b3,1,0.264508,1.245006,[28 48] ; [ 5 16],[25.8556701 50.1443299] ; [ 7.1443299 13.8556701],0
b2,1,0.264508,1.245006,[28 48] ; [ 5 16],[25.8556701 50.1443299] ; [ 7.1443299 13.8556701],0
a4,1,0.295368,1.094989,[ 36 101] ; [ 6 28],[ 33.64912281 103.35087719] ; [ 8.35087719 25.64912281],0
r2,1,0.318738,0.994118,[126   9] ; [30  4],[124.61538462  10.38461538] ; [31.38461538  2.61538462],0
a6,1,0.337892,0.918414,[77 60] ; [16 18],[74.50877193 62.49122807] ; [18.49122807 15.50877193],0
v1,1,0.355579,0.853446,[71 63] ; [15 19],[68.5952381 65.4047619] ; [17.4047619 16.5952381],0
u2,1,0.357243,0.847561,[26 22] ; [ 7 10],[24.36923077 23.63076923] ; [8.63076923 8.36923077],0
p3,1,0.466407,0.530474,[59 78] ; [17 17],[60.88888889 76.11111111] ; [15.11111111 18.88888889],0
b1,1,0.466407,0.530474,[59 78] ; [17 17],[60.88888889 76.11111111] ; [15.11111111 18.88888889],0
s7,1,0.520247,0.413404,[84 48] ; [19 14],[82.4 49.6] ; [20.6 12.4],0
p6,1,0.525287,0.403501,[52 84] ; [11 23],[50.4 85.6] ; [12.6 21.4],0
s1,1,0.540433,0.374738,[  8 127] ; [ 3 31],[  8.78698225 126.21301775] ; [ 2.21301775 31.78698225],0
b5,1,0.551677,0.354321,[81 56] ; [22 12],[82.52046784 54.47953216] ; [20.47953216 13.52046784],0
n3,1,0.587042,0.294987,[21  8] ; [5 3],[20.37837838  8.62162162] ; [5.62162162 2.37837838],0
a7,1,0.598908,0.276646,[86 49] ; [20 14],[84.67455621 50.32544379] ; [21.32544379 12.67455621],0
v3,1,0.601381,0.272918,[52 84] ; [11 22],[50.69822485 85.30177515] ; [12.30177515 20.69822485],0
n2,1,0.607221,0.264241,[27  2] ; [7 1],[26.64864865  2.35135135] ; [7.35135135 0.64864865],0
a8,1,0.6317,0.229763,[ 22 107] ; [ 7 27],[ 22.95092025 106.04907975] ; [ 6.04907975 27.95092025],0
d3,1,0.639388,0.219544,[54 82] ; [15 19],[55.2 80.8] ; [13.8 20.2],0
s3,1,0.669981,0.181624,[116  20] ; [28  6],[115.2  20.8] ; [28.8  5.2],0
u3,1,0.720549,0.127968,[29 19] ; [10  8],[28.36363636 19.63636364] ; [10.63636364  7.36363636],0
v2,1,0.726789,0.122081,[64 67] ; [15 18],[63.10365854 67.89634146] ; [15.89634146 17.10365854],0
s5,1,0.726954,0.121927,[59 75] ; [13 19],[58.12048193 75.87951807] ; [13.87951807 18.12048193],0
r1,1,0.778636,0.079016,[100  37] ; [24 10],[99.34502924 37.65497076] ; [24.65497076  9.34502924],0
n1,1,0.786351,0.073469,[12 16] ; [3 5],[11.66666667 16.33333333] ; [3.33333333 4.66666667],0
p5,1,0.798217,0.065359,[ 14 122] ; [ 3 31],[ 13.6 122.4] ; [ 3.4 30.6],0
b4,1,0.850862,0.035351,[79 58] ; [19 15],[78.51461988 58.48538012] ; [19.48538012 14.51461988],0
p1,1,0.851303,0.03514,[ 11 125] ; [ 3 30],[ 11.26627219 124.73372781] ; [ 2.73372781 30.26627219],0
d2,1,0.899886,0.015827,[ 19 118] ; [ 5 29],[ 19.22807018 117.77192982] ; [ 4.77192982 29.22807018],0
d4,1,0.977524,0.000794,[89 48] ; [22 12],[88.92982456 48.07017544] ; [22.07017544 11.92982456],0
