Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,4e-06,21.243977,[30 48] ; [38  9],[42.432 35.568] ; [25.568 21.432],1
p2,1,2.7e-05,17.592441,[47 33] ; [48  4],[57.57575758 22.42424242] ; [37.42424242 14.57575758],1
p11,1,0.006035,7.539865,[54 26] ; [46  6],[60.60606061 19.39393939] ; [39.39393939 12.60606061],0
p9,1,0.031553,4.622635,[64 15] ; [49  3],[68.14503817 10.85496183] ; [44.85496183  7.14503817],0
b5,1,0.062751,3.463148,[53 27] ; [26 26],[47.87878788 32.12121212] ; [31.12121212 20.87878788],0
d4,1,0.101536,2.68125,[69 11] ; [39 13],[65.45454545 14.54545455] ; [42.54545455  9.45454545],0
d5,1,0.111103,2.538462,[70 10] ; [40 12],[66.66666667 13.33333333] ; [43.33333333  8.66666667],0
p10,1,0.113961,2.498414,[63 16] ; [46  5],[66.23846154 12.76153846] ; [42.76153846  8.23846154],0
p3,1,0.122736,2.382055,[22 58] ; [21 31],[26.06060606 53.93939394] ; [16.93939394 35.06060606],0
a4,1,0.1672,1.907868,[39 41] ; [19 33],[35.15151515 44.84848485] ; [22.84848485 29.15151515],0
b4,1,0.178213,1.812463,[48 32] ; [25 27],[44.24242424 35.75757576] ; [28.75757576 23.24242424],0
n5,1,0.184083,1.764347,[58 20] ; [33 19],[54.6 23.4] ; [36.4 15.6],0
s3,1,0.203149,1.619591,[55 25] ; [41 11],[58.18181818 21.81818182] ; [37.81818182 14.18181818],0
a2,1,0.315202,1.008753,[18 62] ; [ 8 44],[15.75757576 64.24242424] ; [10.24242424 41.75757576],0
v2,1,0.320145,0.988355,[48 26] ; [28 22],[45.35483871 28.64516129] ; [30.64516129 19.35483871],0
n4,1,0.339588,0.911987,[62 17] ; [37 15],[59.70229008 19.29770992] ; [39.29770992 12.70229008],0
s1,1,0.344026,0.895372,[ 2 77] ; [ 3 49],[ 3.01526718 75.98473282] ; [ 1.98473282 50.01526718],0
p6,1,0.379601,0.771994,[17 63] ; [14 36],[19.07692308 60.92307692] ; [11.92307692 38.07692308],0
r4,1,0.390154,0.738462,[72  8] ; [49  3],[73.33333333  6.66666667] ; [47.66666667  4.33333333],0
d2,1,0.393676,0.727556,[43 37] ; [24 28],[40.60606061 39.39393939] ; [26.39393939 25.60606061],0
b2,1,0.409105,0.681402,[22 36] ; [15 17],[23.84444444 34.15555556] ; [13.15555556 18.84444444],0
b3,1,0.409105,0.681402,[22 36] ; [15 17],[23.84444444 34.15555556] ; [13.15555556 18.84444444],0
u1,1,0.425667,0.634615,[15 65] ; [ 7 45],[13.33333333 66.66666667] ; [ 8.66666667 43.33333333],0
a7,1,0.461036,0.543378,[52 28] ; [37 15],[53.93939394 26.06060606] ; [35.06060606 16.93939394],0
a3,1,0.471056,0.519499,[61 19] ; [36 15],[59.23664122 20.76335878] ; [37.76335878 13.23664122],0
n2,1,0.471097,0.519401,[19  6] ; [12  2],[19.87179487  5.12820513] ; [11.12820513  2.87179487],0
u3,1,0.49169,0.472827,[15  4] ; [11  5],[14.11428571  4.88571429] ; [11.88571429  4.11428571],0
s4,1,0.496434,0.462552,[13 66] ; [11 41],[14.47328244 64.52671756] ; [ 9.52671756 42.47328244],0
n1,1,0.501206,0.452381,[13 11] ; [6 8],[12. 12.] ; [7. 7.],0
a5,1,0.532008,0.390555,[56 24] ; [39 13],[57.57575758 22.42424242] ; [37.42424242 14.57575758],0
u2,1,0.532723,0.389194,[12  6] ; [9 7],[11.11764706  6.88235294] ; [9.88235294 6.11764706],0
r2,1,0.580141,0.306007,[76  3] ; [48  3],[75.35384615  3.64615385] ; [48.64615385  2.35384615],0
p5,1,0.59738,0.278965,[ 3 76] ; [ 3 49],[ 3.61832061 75.38167939] ; [ 2.38167939 49.61832061],0
v3,1,0.627208,0.235865,[35 40] ; [22 30],[33.66141732 41.33858268] ; [23.33858268 28.66141732],0
s5,1,0.641894,0.216274,[29 46] ; [21 28],[30.24193548 44.75806452] ; [19.75806452 29.24193548],0
p1,1,0.667436,0.184615,[ 6 74] ; [ 5 47],[ 6.66666667 73.33333333] ; [ 4.33333333 47.66666667],0
d1,1,0.679395,0.170808,[46 34] ; [28 24],[44.84848485 35.15151515] ; [29.15151515 22.84848485],0
b1,1,0.702263,0.146129,[35 45] ; [21 31],[33.93939394 46.06060606] ; [22.06060606 29.93939394],0
p12,1,0.707225,0.141064,[ 6 73] ; [ 3 48],[ 5.46923077 73.53076923] ; [ 3.53076923 47.46923077],0
r1,1,0.726279,0.122556,[65 14] ; [44  8],[65.73282443 13.26717557] ; [43.26717557  8.73282443],0
r3,1,0.755822,0.096703,[76  4] ; [50  2],[76.36363636  3.63636364] ; [49.63636364  2.36363636],0
n3,1,0.760652,0.092796,[16  8] ; [10  4],[16.42105263  7.57894737] ; [9.57894737 4.42105263],0
a8,1,0.841474,0.040003,[12 63] ; [ 8 38],[12.39669421 62.60330579] ; [ 7.60330579 38.39669421],0
v4,1,0.847192,0.037134,[76  4] ; [49  3],[75.75757576  4.24242424] ; [49.24242424  2.75757576],0
s7,1,0.856676,0.032619,[57 21] ; [38 13],[57.44186047 20.55813953] ; [37.55813953 13.44186047],0
v1,1,0.880289,0.022681,[40 36] ; [27 23],[40.41269841 35.58730159] ; [26.58730159 23.41269841],0
d3,1,0.92129,0.009763,[47 33] ; [31 21],[47.27272727 32.72727273] ; [30.72727273 21.27272727],0
s6,1,0.930155,0.007682,[64 15] ; [41 10],[63.80769231 15.19230769] ; [41.19230769  9.80769231],0
n6,1,0.95143,0.00371,[65 14] ; [43  9],[65.12977099 13.87022901] ; [42.87022901  9.12977099],0
s2,1,0.963857,0.002053,[52 28] ; [34 18],[52.12121212 27.87878788] ; [33.87878788 18.12121212],0
a6,1,0.977448,0.000799,[50 30] ; [32 19],[50.07633588 29.92366412] ; [31.92366412 19.07633588],0
