Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,0.002604,9.066161,[36 13] ; [ 6 12],[30.71641791 18.28358209] ; [11.28358209  6.71641791],0
v2,1,0.007532,7.141417,[27 22] ; [ 3 14],[22.27272727 26.72727273] ; [7.72727273 9.27272727],0
r4,1,0.01539,5.871255,[46  3] ; [13  5],[43.14925373  5.85074627] ; [15.85074627  2.14925373],0
p4,1,0.035286,4.431287,[33 16] ; [ 7 11],[29.25373134 19.74626866] ; [10.74626866  7.25373134],0
a5,1,0.046016,3.981018,[37 12] ; [9 9],[33.64179104 15.35820896] ; [12.35820896  5.64179104],0
v3,1,0.047494,3.92781,[21 28] ; [ 3 15],[17.55223881 31.44776119] ; [ 6.44776119 11.55223881],0
p6,1,0.067504,3.342685,[23 26] ; [ 4 14],[19.74626866 29.25373134] ; [ 7.25373134 10.74626866],0
n1,1,0.07626,3.142857,[9 5] ; [2 6],[7. 7.] ; [4. 4.],0
d2,1,0.116509,2.463631,[18 31] ; [ 3 15],[15.35820896 33.64179104] ; [ 5.64179104 12.35820896],0
r2,1,0.116854,2.458995,[47  1] ; [16  2],[45.81818182  2.18181818] ; [17.18181818  0.81818182],0
a6,1,0.142349,2.152379,[34 15] ; [9 9],[31.44776119 17.55223881] ; [11.55223881  6.44776119],0
d3,1,0.142349,2.152379,[15 34] ; [9 9],[17.55223881 31.44776119] ; [ 6.44776119 11.55223881],0
a3,1,0.142349,2.152379,[34 15] ; [9 9],[31.44776119 17.55223881] ; [11.55223881  6.44776119],0
p8,1,0.198077,1.656499,[24 25] ; [12  6],[26.32835821 22.67164179] ; [9.67164179 8.32835821],0
v1,1,0.208799,1.579733,[27 21] ; [ 7 11],[24.72727273 23.27272727] ; [9.27272727 8.72727273],0
v4,1,0.262614,1.254922,[46  2] ; [15  2],[45.04615385  2.95384615] ; [15.95384615  1.04615385],0
u1,1,0.281725,1.158748,[ 2 47] ; [ 2 16],[ 2.92537313 46.07462687] ; [ 1.07462687 16.92537313],0
p3,1,0.287724,1.130242,[23 25] ; [ 6 12],[21.09090909 26.90909091] ; [ 7.90909091 10.09090909],0
s3,1,0.305385,1.050529,[31 17] ; [14  4],[32.72727273 15.27272727] ; [12.27272727  5.72727273],0
r3,1,0.313143,1.017371,[45  4] ; [15  3],[43.88059701  5.11940299] ; [16.11940299  1.88059701],0
a7,1,0.326472,0.96284,[31 18] ; [9 9],[29.25373134 19.74626866] ; [10.74626866  7.25373134],0
u3,1,0.3411,0.906294,[7 8] ; [6 3],[8.125 6.875] ; [4.875 4.125],0
r1,1,0.388766,0.742797,[37 11] ; [12  6],[35.63636364 12.36363636] ; [13.36363636  4.63636364],0
p1,1,0.477264,0.505109,[ 9 40] ; [ 2 16],[ 8.04477612 40.95522388] ; [ 2.95522388 15.04477612],0
p2,1,0.477264,0.505109,[40  9] ; [16  2],[40.95522388  8.04477612] ; [15.04477612  2.95522388],0
s2,1,0.493693,0.468468,[31 18] ; [13  5],[32.17910448 16.82089552] ; [11.82089552  6.17910448],0
p11,1,0.499445,0.456115,[34 15] ; [14  4],[35.10447761 13.89552239] ; [12.89552239  5.10447761],0
s1,1,0.506253,0.441803,[ 3 45] ; [ 2 16],[ 3.63636364 44.36363636] ; [ 1.36363636 16.63636364],0
p9,1,0.576932,0.311221,[41  8] ; [14  4],[40.2238806  8.7761194] ; [14.7761194  3.2238806],0
p7,1,0.593108,0.285516,[32 17] ; [13  5],[32.91044776 16.08955224] ; [12.08955224  5.91044776],0
n6,1,0.595394,0.281999,[41  8] ; [16  2],[41.68656716  7.31343284] ; [15.31343284  2.68656716],0
s5,1,0.607098,0.264423,[18 30] ; [ 8 10],[18.90909091 29.09090909] ; [ 7.09090909 10.90909091],0
n2,1,0.651291,0.204276,[12  3] ; [7 1],[12.39130435  2.60869565] ; [6.60869565 1.39130435],0
b5,1,0.659911,0.193632,[27 22] ; [11  7],[27.79104478 21.20895522] ; [10.20895522  7.79104478],0
u2,1,0.67329,0.177778,[7 8] ; [5 4],[7.5 7.5] ; [4.5 4.5],0
b4,1,0.71044,0.137837,[22 27] ; [9 9],[22.67164179 26.32835821] ; [8.32835821 9.67164179],0
d1,1,0.718818,0.129628,[ 4 45] ; [ 1 17],[ 3.65671642 45.34328358] ; [ 1.34328358 16.65671642],0
b1,1,0.77035,0.085216,[21 28] ; [ 7 11],[20.47761194 28.52238806] ; [ 7.52238806 10.47761194],0
s6,1,0.777763,0.079657,[38 10] ; [14  3],[38.4  9.6] ; [13.6  3.4],0
n3,1,0.781867,0.076667,[12  3] ; [6 2],[11.73913043  3.26086957] ; [6.26086957 1.73913043],0
p12,1,0.795959,0.066864,[ 2 47] ; [ 1 17],[ 2.19402985 46.80597015] ; [ 0.80597015 17.19402985],0
n4,1,0.814581,0.055,[36 12] ; [14  4],[36.36363636 11.63636364] ; [13.63636364  4.36363636],0
n5,1,0.845053,0.038194,[39  9] ; [15  3],[39.27272727  8.72727273] ; [14.72727273  3.27272727],0
p10,1,0.877633,0.023707,[42  6] ; [16  2],[42.18181818  5.81818182] ; [15.81818182  2.18181818],0
a2,1,0.914322,0.011575,[ 5 44] ; [ 2 16],[ 5.11940299 43.88059701] ; [ 1.88059701 16.11940299],0
a4,1,0.918689,0.010421,[13 36] ; [ 5 13],[13.1641791 35.8358209] ; [ 4.8358209 13.1641791],0
d5,1,0.940967,0.005484,[25 24] ; [9 9],[24.86567164 24.13432836] ; [9.13432836 8.86567164],0
