Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,0.0,34.152445,[204 105] ; [12 40],[184.88642659 124.11357341] ; [31.11357341 20.88642659],1
p7,1,0.0,29.141723,[235  70] ; [20 30],[219.08450704  85.91549296] ; [35.91549296 14.08450704],1
p4,1,0.000659,11.60156,[224  88] ; [25 27],[213.42857143  98.57142857] ; [35.57142857 16.42857143],1
p3,1,0.002134,9.430617,[197 116] ; [21 31],[186.94246575 126.05753425] ; [31.05753425 20.94246575],0
a3,1,0.037145,4.343737,[255  57] ; [36 16],[249.42857143  62.57142857] ; [41.57142857 10.42857143],0
a7,1,0.060274,3.529825,[226  86] ; [31 21],[220.28571429  91.71428571] ; [36.71428571 15.28571429],0
s4,1,0.066346,3.37118,[ 56 256] ; [15 37],[ 60.85714286 251.14285714] ; [10.14285714 41.85714286],0
p6,1,0.072185,3.232629,[155 155] ; [19 33],[149.00552486 160.99447514] ; [24.99447514 27.00552486],0
p10,1,0.115827,2.472857,[289  22] ; [45  7],[286.15426997  24.84573003] ; [47.84573003  4.15426997],0
b1,1,0.195526,1.675481,[115 198] ; [24 28],[119.19726027 193.80273973] ; [19.80273973 32.19726027],0
u4,1,0.208204,1.583868,[ 12 301] ; [ 4 48],[ 13.72054795 299.27945205] ; [ 2.27945205 49.72054795],0
n2,1,0.228446,1.450512,[42 19] ; [15  3],[44.01265823 16.98734177] ; [12.98734177  5.01265823],0
p5,1,0.229879,1.441609,[ 54 258] ; [ 5 43],[ 51.13333333 260.86666667] ; [ 7.86666667 40.13333333],0
b4,1,0.235065,1.409947,[171 142] ; [33 19],[174.9369863 138.0630137] ; [29.0630137 22.9369863],0
a8,1,0.237827,1.393431,[ 55 230] ; [ 6 43],[ 52.0508982 232.9491018] ; [ 8.9491018 40.0508982],0
r1,1,0.247274,1.338642,[264  46] ; [41 11],[261.1878453  48.8121547] ; [43.8121547  8.1878453],0
b3,1,0.255829,1.29119,[ 97 109] ; [17 28],[ 93.56175299 112.43824701] ; [20.43824701 24.56175299],0
b2,1,0.255829,1.29119,[ 97 109] ; [17 28],[ 93.56175299 112.43824701] ; [20.43824701 24.56175299],0
d4,1,0.271028,1.211538,[270  42] ; [42 10],[267.42857143  44.57142857] ; [44.57142857  7.42857143],0
d3,1,0.27731,1.180225,[222  91] ; [33 19],[218.67123288  94.32876712] ; [36.32876712 15.67123288],0
b5,1,0.281473,1.159962,[186 127] ; [35 17],[189.51506849 123.48493151] ; [31.48493151 20.51506849],0
v3,1,0.292108,1.109878,[147 155] ; [19 28],[143.64469914 158.35530086] ; [22.35530086 24.64469914],0
n1,1,0.333,0.937196,[26 35] ; [10  8],[27.79746835 33.20253165] ; [8.20253165 9.79746835],0
