Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,5e-05,16.45584,[7 5] ; [ 2 34],[2.25 9.75] ; [ 6.75 29.25],1
b5,1,0.006841,7.314286,[9 3] ; [11 25],[5. 7.] ; [15. 21.],0
p3,1,0.00729,7.2,[5 7] ; [ 3 33],[ 2. 10.] ; [ 6. 30.],0
p8,1,0.022295,5.222646,[4 7] ; [ 3 33],[1.63829787 9.36170213] ; [ 5.36170213 30.63829787],0
s1,1,0.033586,4.515679,[4 8] ; [ 3 33],[ 1.75 10.25] ; [ 5.25 30.75],0
s3,1,0.051731,3.784451,[6 6] ; [ 7 27],[3.39130435 8.60869565] ; [ 9.60869565 24.39130435],0
b3,1,0.061444,3.497976,[1 7] ; [12 12],[3.25 4.75] ; [ 9.75 14.25],0
b2,1,0.061444,3.497976,[1 7] ; [12 12],[3.25 4.75] ; [ 9.75 14.25],0
n4,1,0.105645,2.618182,[6 6] ; [27  9],[8.25 3.75] ; [24.75 11.25],0
n3,1,0.177895,1.815126,[5 2] ; [ 7 10],[3.5 3.5] ; [8.5 8.5],0
r2,1,0.194329,1.684492,[4 7] ; [20 14],[5.86666667 5.13333333] ; [18.13333333 15.86666667],0
v2,1,0.204249,1.611731,[ 1 11] ; [ 9 26],[2.55319149 9.44680851] ; [ 7.44680851 27.55319149],0
p2,1,0.271016,1.211595,[5 6] ; [10 26],[3.5106383 7.4893617] ; [11.4893617 24.5106383],0
d5,1,0.315624,1.006993,[5 7] ; [21 15],[6.5 5.5] ; [19.5 16.5],0
r4,1,0.371093,0.8,[ 1 11] ; [ 7 29],[ 2. 10.] ; [ 6. 30.],0
d1,1,0.383637,0.759013,[3 9] ; [14 22],[4.25 7.75] ; [12.75 23.25],0
p11,1,0.394198,0.725953,[6 6] ; [13 23],[4.75 7.25] ; [14.25 21.75],0
b1,1,0.400953,0.705467,[8 4] ; [19 17],[6.75 5.25] ; [20.25 15.75],0
a6,1,0.404248,0.695652,[7 5] ; [16 20],[5.75 6.25] ; [17.25 18.75],0
s4,1,0.413133,0.669767,[ 2 10] ; [ 3 33],[ 1.25 10.75] ; [ 3.75 32.25],0
s7,1,0.475289,0.509653,[ 1 10] ; [ 6 27],[1.75 9.25] ; [ 5.25 27.75],0
r1,1,0.4795,0.5,[3 9] ; [13 23],[4. 8.] ; [12. 24.],0
d3,1,0.498962,0.457143,[6 6] ; [14 22],[5. 7.] ; [15. 21.],0
p9,1,0.52412,0.405778,[6 6] ; [13 20],[5.06666667 6.93333333] ; [13.93333333 19.06666667],0
u2,1,0.531168,0.392157,[1 3] ; [ 2 14],[0.6 3.4] ; [ 2.4 13.6],0
p10,1,0.560306,0.339175,[5 7] ; [11 23],[4.17391304 7.82608696] ; [11.82608696 22.17391304],0
a3,1,0.561824,0.336556,[8 4] ; [20 15],[7.14893617 4.85106383] ; [20.85106383 14.14893617],0
a8,1,0.561835,0.336537,[2 9] ; [ 4 31],[1.43478261 9.56521739] ; [ 4.56521739 30.43478261],0
n1,1,0.568261,0.3256,[3 4] ; [10  8],[3.64 3.36] ; [9.36 8.64],0
a5,1,0.616769,0.250435,[7 5] ; [18 18],[6.25 5.75] ; [18.75 17.25],0
s2,1,0.63891,0.22017,[ 2 10] ; [ 4 31],[ 1.53191489 10.46808511] ; [ 4.46808511 30.53191489],0
a4,1,0.646091,0.210864,[5 7] ; [12 23],[4.34042553 7.65957447] ; [12.65957447 22.34042553],0
d2,1,0.667569,0.184458,[6 6] ; [15 20],[5.36170213 6.63829787] ; [15.63829787 19.36170213],0
r3,1,0.679125,0.171113,[5 7] ; [17 18],[5.61702128 6.38297872] ; [16.38297872 18.61702128],0
n5,1,0.730647,0.118519,[7 5] ; [23 13],[7.5 4.5] ; [22.5 13.5],0
s8,1,0.730647,0.118519,[ 1 11] ; [ 2 34],[ 0.75 11.25] ; [ 2.25 33.75],0
b4,1,0.730647,0.118519,[7 5] ; [23 13],[7.5 4.5] ; [22.5 13.5],0
n2,1,0.748233,0.103022,[4 3] ; [9 9],[3.64 3.36] ; [9.36 8.64],0
a2,1,0.785009,0.074419,[ 1 11] ; [ 4 32],[ 1.25 10.75] ; [ 3.75 32.25],0
n6,1,0.829333,0.046465,[4 7] ; [14 21],[4.30434783 6.69565217] ; [13.69565217 21.30434783],0
d4,1,0.861675,0.030361,[8 4] ; [23 13],[7.75 4.25] ; [23.25 12.75],0
a7,1,0.867518,0.027826,[6 6] ; [17 19],[5.75 6.25] ; [17.25 18.75],0
v1,1,0.960944,0.002398,[3 9] ; [ 9 26],[3.06382979 8.93617021] ; [ 8.93617021 26.06382979],0
