Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,4e-06,21.467597,[37 24] ; [86  8],[48.40645161 12.59354839] ; [74.59354839 19.40645161],1
r3,1,0.000116,14.860141,[39 22] ; [85 10],[48.48717949 12.51282051] ; [75.51282051 19.48717949],1
p7,1,0.000724,11.427381,[16 45] ; [51 44],[26.19871795 34.80128205] ; [40.80128205 54.19871795],1
r4,1,0.000767,11.319758,[31 30] ; [73 22],[40.66666667 20.33333333] ; [63.33333333 31.66666667],1
p9,1,0.001073,10.69761,[11 48] ; [41 51],[20.31788079 38.68211921] ; [31.68211921 60.31788079],0
p4,1,0.001552,10.016082,[13 48] ; [44 51],[22.28846154 38.71153846] ; [34.71153846 60.28846154],0
p11,1,0.004214,8.189274,[21 40] ; [55 40],[29.71794872 31.28205128] ; [46.28205128 48.71794872],0
s7,1,0.007029,7.265667,[ 8 50] ; [30 59],[14.99319728 43.00680272] ; [23.00680272 65.99319728],0
s3,1,0.00878,6.867114,[16 43] ; [46 49],[23.75324675 35.24675325] ; [38.24675325 56.75324675],0
p8,1,0.012865,6.187523,[10 50] ; [33 61],[16.75324675 43.24675325] ; [26.24675325 67.75324675],0
s8,1,0.016458,5.753233,[ 5 55] ; [22 72],[10.51948052 49.48051948] ; [16.48051948 77.51948052],0
s1,1,0.018745,5.525141,[ 8 53] ; [ 3 91],[ 4.32903226 56.67096774] ; [ 6.67096774 87.32903226],0
s2,1,0.038628,4.277159,[12 49] ; [33 61],[17.70967742 43.29032258] ; [27.29032258 66.70967742],0
p6,1,0.041009,4.175629,[ 9 50] ; [28 66],[14.26797386 44.73202614] ; [22.73202614 71.26797386],0
p3,1,0.046551,3.96154,[13 47] ; [35 60],[18.58064516 41.41935484] ; [29.41935484 65.58064516],0
b5,1,0.051646,3.787185,[33 28] ; [66 29],[38.71153846 22.28846154] ; [60.28846154 34.71153846],0
d3,1,0.054344,3.702108,[27 34] ; [57 38],[32.84615385 28.15384615] ; [51.15384615 43.84615385],0
r1,1,0.078753,3.090459,[33 28] ; [64 30],[38.17419355 22.82580645] ; [58.82580645 35.17419355],0
a1,1,0.083708,2.991401,[ 7 54] ; [ 4 91],[ 4.30128205 56.69871795] ; [ 6.69871795 88.30128205],0
a7,1,0.097064,2.753131,[31 30] ; [61 34],[35.97435897 25.02564103] ; [56.02564103 38.97435897],0
s6,1,0.097982,2.738081,[20 40] ; [44 50],[24.93506494 35.06493506] ; [39.06493506 54.93506494],0
n3,1,0.12641,2.33605,[16 17] ; [24 12],[19.13043478 13.86956522] ; [20.86956522 15.13043478],0
v1,1,0.129679,2.296348,[13 47] ; [31 63],[17.14285714 42.85714286] ; [26.85714286 67.14285714],0
u4,1,0.136093,2.221588,[ 3 58] ; [ 1 94],[ 1.56410256 59.43589744] ; [ 2.43589744 92.56410256],0
n6,1,0.172561,1.860557,[33 27] ; [62 32],[37.01298701 22.98701299] ; [57.98701299 36.01298701],0
n2,1,0.186135,1.747943,[17 17] ; [23 12],[19.71014493 14.28985507] ; [20.28985507 14.71014493],0
b1,1,0.201629,1.630537,[34 27] ; [43 52],[30.10897436 30.89102564] ; [46.89102564 48.10897436],0
