Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.0,59.530396,[133  26] ; [68 94],[99.56074766 59.43925234] ; [101.43925234  60.56074766],1
v1,1,5.7e-05,16.189882,[118  41] ; [84 76],[100.68338558  58.31661442] ; [101.31661442  58.68338558],1
a1,1,0.002783,8.944548,[ 15 145] ; [  3 163],[  8.83435583 151.16564417] ; [  9.16564417 156.83435583],0
s6,1,0.008908,6.841193,[129  31] ; [148  15],[137.21362229  22.78637771] ; [139.78637771  23.21362229],0
p5,1,0.017552,5.640283,[ 34 126] ; [ 19 146],[ 26.09230769 133.90769231] ; [ 26.90769231 138.09230769],0
n4,1,0.019187,5.484375,[143  17] ; [132  33],[135.38461538  24.61538462] ; [139.61538462  25.38461538],0
s4,1,0.031418,4.629974,[ 23 137] ; [ 39 125],[ 30.61728395 129.38271605] ; [ 31.38271605 132.61728395],0
p3,1,0.039601,4.234881,[100  60] ; [85 81],[90.79754601 69.20245399] ; [94.20245399 71.79754601],0
u4,1,0.046966,3.946604,[  8 152] ; [  2 164],[  4.90797546 155.09202454] ; [  5.09202454 160.90797546],0
n5,1,0.054203,3.706432,[138  22] ; [128  36],[131.35802469  28.64197531] ; [134.64197531  29.35802469],0
p12,1,0.076121,3.145831,[ 25 134] ; [ 15 148],[ 19.7515528 139.2484472] ; [ 20.2484472 142.7515528],0
n2,1,0.098262,2.733534,[23  4] ; [29 14],[20.05714286  6.94285714] ; [31.94285714 11.05714286],0
d3,1,0.126144,2.339327,[122  38] ; [114  52],[115.82822086  44.17177914] ; [120.17177914  45.82822086],0
s7,1,0.131056,2.279951,[122  29] ; [117  42],[116.41612903  34.58387097] ; [122.58387097  36.41612903],0
n6,1,0.134909,2.235083,[146  13] ; [143  22],[141.82407407  17.17592593] ; [147.17592593  17.82407407],0
p8,1,0.162605,1.94983,[101  56] ; [93 71],[94.8847352 62.1152648] ; [99.1152648 64.8847352],0
s5,1,0.177023,1.82244,[79 77] ; [68 90],[73.03184713 82.96815287] ; [73.96815287 84.03184713],0
a7,1,0.17782,1.815748,[107  52] ; [123  43],[112.52307692  46.47692308] ; [117.47692308  48.52307692],0
d1,1,0.230652,1.436835,[114  46] ; [108  58],[108.95705521  51.04294479] ; [113.04294479  52.95705521],0
d4,1,0.252768,1.307942,[141  18] ; [140  26],[137.47384615  21.52615385] ; [143.52615385  22.47384615],0
s1,1,0.279953,1.167317,[  6 152] ; [  3 162],[  4.40247678 153.59752322] ; [  4.59752322 160.40247678],0
b5,1,0.286919,1.134023,[90 70] ; [103  63],[94.72392638 65.27607362] ; [98.27607362 67.72392638],0
a4,1,0.319699,0.990177,[84 76] ; [78 88],[79.50920245 80.49079755] ; [82.49079755 83.50920245],0
d5,1,0.319932,0.989225,[141  18] ; [141  25],[137.96307692  21.03692308] ; [144.03692308  21.96307692],0
r4,1,0.337929,0.918273,[157   3] ; [160   6],[155.58282209   4.41717791] ; [161.41717791   4.58282209],0
r3,1,0.337929,0.918273,[157   3] ; [160   6],[155.58282209   4.41717791] ; [161.41717791   4.58282209],0
p11,1,0.341406,0.905144,[132  28] ; [130  36],[128.58895706  31.41104294] ; [133.41104294  32.58895706],0
p6,1,0.358222,0.844116,[69 90] ; [80 85],[73.12037037 85.87962963] ; [75.87962963 89.12037037],0
p1,1,0.38251,0.76262,[ 17 142] ; [ 13 152],[ 14.72222222 144.27777778] ; [ 15.27777778 149.72222222],0
s3,1,0.400549,0.706678,[111  45] ; [125  41],[114.33540373  41.66459627] ; [121.66459627  44.33540373],0
