Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p5,1,1e-06,24.000385,[ 15 266] ; [18 58],[ 25.97478992 255.02521008] ; [ 7.02521008 68.97478992],1
s6,1,5.4e-05,16.319647,[118 163] ; [50 23],[133.3559322 147.6440678] ; [34.6440678 38.3559322],1
p12,1,0.000444,12.338421,[  7 272] ; [ 9 66],[ 12.61016949 266.38983051] ; [ 3.38983051 71.61016949],1
b5,1,0.001183,10.517269,[177 105] ; [32 44],[164.63128492 117.36871508] ; [44.36871508 31.63128492],0
s4,1,0.004616,8.024242,[ 19 261] ; [13 62],[ 25.23943662 254.76056338] ; [ 6.76056338 68.23943662],0
a7,1,0.006143,7.507763,[214  68] ; [45 30],[204.58823529  77.41176471] ; [54.41176471 20.58823529],0
a6,1,0.009113,6.800462,[210  72] ; [45 31],[200.86592179  81.13407821] ; [54.13407821 21.86592179],0
s8,1,0.018946,5.506454,[ 67 214] ; [28 47],[ 74.98595506 206.01404494] ; [20.01404494 54.98595506],0
d2,1,0.023309,5.145343,[113 169] ; [41 34],[121.64705882 160.35294118] ; [32.35294118 42.64705882],0
p3,1,0.031215,4.641114,[120 161] ; [43 33],[128.29971989 152.70028011] ; [34.70028011 41.29971989],0
p7,1,0.03655,4.371259,[159 116] ; [54 22],[166.88034188 108.11965812] ; [46.11965812 29.88034188],0
p1,1,0.045543,3.998409,[ 15 265] ; [ 9 67],[ 18.87640449 261.12359551] ; [ 5.12359551 70.87640449],0
n6,1,0.068412,3.320718,[218  64] ; [66 10],[223.70949721  58.29050279] ; [60.29050279 15.70949721],0
b2,1,0.092499,2.830338,[ 51 115] ; [21 27],[ 55.85046729 110.14953271] ; [16.14953271 31.85046729],0
b3,1,0.092499,2.830338,[ 51 115] ; [21 27],[ 55.85046729 110.14953271] ; [16.14953271 31.85046729],0
a8,1,0.094357,2.798423,[ 25 223] ; [12 57],[ 28.94637224 219.05362776] ; [ 8.05362776 60.94637224],0
p10,1,0.100778,2.693183,[205  74] ; [62 13],[210.43220339  68.56779661] ; [56.56779661 18.43220339],0
s3,1,0.106943,2.598832,[ 69 209] ; [12 63],[ 63.79036827 214.20963173] ; [17.20963173 57.79036827],0
