Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.000396,12.54902,[ 1 33] ; [3 3],[ 3.4 30.6] ; [0.6 5.4],1
s7,1,0.001105,10.64342,[ 3 28] ; [4 2],[ 5.86486486 25.13513514] ; [1.13513514 4.86486486],0
r1,1,0.003933,8.314619,[ 8 26] ; [5 1],[11.05 22.95] ; [1.95 4.05],0
u3,1,0.019133,5.489279,[ 2 17] ; [2 1],[ 3.45454545 15.54545455] ; [0.54545455 2.45454545],0
r4,1,0.023056,5.164248,[ 4 30] ; [3 3],[ 5.95 28.05] ; [1.05 4.95],0
s6,1,0.033518,4.519141,[ 8 26] ; [4 2],[10.2 23.8] ; [1.8 4.2],0
n1,1,0.034703,4.459722,[ 2 14] ; [2 1],[ 3.36842105 12.63157895] ; [0.63157895 2.36842105],0
p9,1,0.054522,3.696644,[13 19] ; [5 1],[15.15789474 16.84210526] ; [2.84210526 3.15789474],0
p2,1,0.056591,3.634577,[14 20] ; [5 1],[16.15 17.85] ; [2.85 3.15],0
p8,1,0.080175,3.061354,[ 6 28] ; [3 3],[ 7.65 26.35] ; [1.35 4.65],0
n5,1,0.14812,2.091503,[22 12] ; [2 4],[20.4 13.6] ; [3.6 2.4],0
p5,1,0.154963,2.022704,[ 1 33] ; [1 5],[ 1.7 32.3] ; [0.3 5.7],0
b1,1,0.194,1.686977,[21 13] ; [2 4],[19.55 14.45] ; [3.45 2.55],0
a5,1,0.194,1.686977,[13 21] ; [4 2],[14.45 19.55] ; [2.55 3.45],0
b3,1,0.238149,1.391519,[ 7 15] ; [2 1],[ 7.92 14.08] ; [1.08 1.92],0
b2,1,0.238149,1.391519,[ 7 15] ; [2 1],[ 7.92 14.08] ; [1.08 1.92],0
p7,1,0.246235,1.344538,[ 9 25] ; [3 3],[10.2 23.8] ; [1.8 4.2],0
a6,1,0.252904,1.30719,[14 20] ; [1 5],[12.75 21.25] ; [2.25 3.75],0
n6,1,0.338962,0.914354,[15 18] ; [4 2],[16.07692308 16.92307692] ; [2.92307692 3.07692308],0
s5,1,0.355149,0.854973,[ 2 32] ; [1 5],[ 2.55 31.45] ; [0.45 5.55],0
v4,1,0.375825,0.784314,[16 18] ; [4 2],[17. 17.] ; [3. 3.],0
a7,1,0.375825,0.784314,[16 18] ; [4 2],[17. 17.] ; [3. 3.],0
n4,1,0.45102,0.568087,[17 17] ; [4 2],[17.85 16.15] ; [3.15 2.85],0
n2,1,0.465693,0.532176,[7 9] ; [2 1],[7.57894737 8.42105263] ; [1.42105263 1.57894737],0
d1,1,0.490657,0.475086,[ 7 27] ; [2 4],[ 7.65 26.35] ; [1.35 4.65],0
d3,1,0.492717,0.470588,[12 22] ; [3 3],[12.75 21.25] ; [2.25 3.75],0
v2,1,0.494739,0.466204,[10 23] ; [1 5],[ 9.30769231 23.69230769] ; [1.69230769 4.30769231],0
b4,1,0.519184,0.415514,[24 10] ; [5 1],[24.65  9.35] ; [4.35 1.65],0
s1,1,0.554916,0.348584,[ 3 31] ; [1 5],[ 3.4 30.6] ; [0.6 5.4],0
p1,1,0.554916,0.348584,[ 3 31] ; [1 5],[ 3.4 30.6] ; [0.6 5.4],0
d4,1,0.622251,0.242716,[19 15] ; [4 2],[19.55 14.45] ; [3.45 2.55],0
u2,1,0.650041,0.205848,[10  9] ; [2 1],[10.36363636  8.63636364] ; [1.63636364 1.36363636],0
s2,1,0.737828,0.112045,[ 4 30] ; [1 5],[ 4.25 29.75] ; [0.75 5.25],0
b5,1,0.789452,0.071301,[19 15] ; [3 3],[18.7 15.3] ; [3.3 2.7],0
d5,1,0.789452,0.071301,[15 19] ; [3 3],[15.3 18.7] ; [2.7 3.3],0
v1,1,0.824778,0.04902,[ 7 27] ; [1 5],[ 6.8 27.2] ; [1.2 4.8],0
a3,1,0.837224,0.042208,[15 18] ; [3 3],[15.23076923 17.76923077] ; [2.76923077 3.23076923],0
d2,1,0.846758,0.037348,[10 24] ; [2 4],[10.2 23.8] ; [1.8 4.2],0
s3,1,0.929113,0.007914,[ 6 27] ; [1 5],[ 5.92307692 27.07692308] ; [1.07692308 4.92307692],0
a8,1,0.948801,0.004123,[ 5 27] ; [1 5],[ 5.05263158 26.94736842] ; [0.94736842 5.05263158],0
a4,1,0.953534,0.003395,[ 6 28] ; [1 5],[ 5.95 28.05] ; [1.05 4.95],0
