Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,1.8e-05,18.352591,[12 34] ; [21  6],[20.79452055 25.20547945] ; [12.20547945 14.79452055],1
s3,1,0.000221,13.642285,[13 34] ; [20  8],[20.68 26.32] ; [12.32 15.68],1
s8,1,0.000545,11.95601,[ 5 41] ; [13 15],[11.18918919 34.81081081] ; [ 6.81081081 21.18918919],1
s7,1,0.016848,5.712089,[ 6 38] ; [10 16],[10.05714286 33.94285714] ; [ 5.94285714 20.05714286],0
s5,1,0.020003,5.411604,[ 9 36] ; [12 14],[13.30985915 31.69014085] ; [ 7.69014085 18.30985915],0
n5,1,0.033641,4.512879,[23 23] ; [ 7 21],[18.64864865 27.35135135] ; [11.35135135 16.64864865],0
p3,1,0.047088,3.942244,[10 37] ; [12 16],[13.78666667 33.21333333] ; [ 8.21333333 19.78666667],0
r3,1,0.048051,3.908213,[35 12] ; [26  2],[38.22666667  8.77333333] ; [22.77333333  5.22666667],0
p10,1,0.068217,3.325415,[21 26] ; [18  9],[24.77027027 22.22972973] ; [14.22972973 12.77027027],0
p4,1,0.074865,3.172995,[15 31] ; [15 13],[18.64864865 27.35135135] ; [11.35135135 16.64864865],0
v1,1,0.074865,3.172995,[15 31] ; [15 13],[18.64864865 27.35135135] ; [11.35135135 16.64864865],0
b3,1,0.093075,2.820369,[ 8 12] ; [ 3 16],[ 5.64102564 14.35897436] ; [ 5.35897436 13.64102564],0
b2,1,0.093075,2.820369,[ 8 12] ; [ 3 16],[ 5.64102564 14.35897436] ; [ 5.35897436 13.64102564],0
p6,1,0.095752,2.774917,[ 7 38] ; [ 9 19],[ 9.8630137 35.1369863] ; [ 6.1369863 21.8630137],0
n1,1,0.104277,2.638879,[ 5 17] ; [6 6],[ 7.11764706 14.88235294] ; [3.88235294 8.11764706],0
s4,1,0.130299,2.288941,[ 8 39] ; [ 9 19],[10.65333333 36.34666667] ; [ 6.34666667 21.65333333],0
p2,1,0.160421,1.970256,[28 19] ; [12 16],[25.06666667 21.93333333] ; [14.93333333 13.06666667],0
a4,1,0.176873,1.823708,[13 34] ; [12 16],[15.66666667 31.33333333] ; [ 9.33333333 18.66666667],0
a5,1,0.179155,1.804617,[21 26] ; [17 11],[23.81333333 23.18666667] ; [14.18666667 13.81333333],0
v2,1,0.179527,1.801532,[13 32] ; [12 15],[15.625 29.375] ; [ 9.375 17.625],0
d5,1,0.196501,1.668189,[23 24] ; [18 10],[25.69333333 21.30666667] ; [15.30666667 12.69333333],0
a1,1,0.255131,1.294986,[ 3 44] ; [ 4 24],[ 4.38666667 42.61333333] ; [ 2.61333333 25.38666667],0
a8,1,0.281342,1.160597,[ 2 43] ; [ 3 24],[ 3.125 41.875] ; [ 1.875 25.125],0
r4,1,0.315829,1.00614,[30 17] ; [21  7],[31.96 15.04] ; [19.04  8.96],0
v4,1,0.316445,1.003581,[37  9] ; [25  3],[38.54054054  7.45945946] ; [23.45945946  4.54054054],0
b5,1,0.354894,0.855881,[27 20] ; [13 15],[25.06666667 21.93333333] ; [14.93333333 13.06666667],0
p9,1,0.392464,0.731293,[26 20] ; [18  9],[27.7260274 18.2739726] ; [16.2739726 10.7260274],0
p8,1,0.398653,0.712386,[14 33] ; [11 17],[15.66666667 31.33333333] ; [ 9.33333333 18.66666667],0
u2,1,0.403917,0.696635,[13 10] ; [5 7],[11.82857143 11.17142857] ; [6.17142857 5.82857143],0
n2,1,0.41835,0.654947,[16  6] ; [11  2],[16.97142857  5.02857143] ; [10.02857143  2.97142857],0
r2,1,0.452318,0.564837,[37 10] ; [24  4],[38.22666667  8.77333333] ; [22.77333333  5.22666667],0
p1,1,0.503642,0.447255,[ 3 44] ; [ 3 25],[ 3.76 43.24] ; [ 2.24 25.76],0
d1,1,0.537394,0.380392,[12 35] ; [ 9 19],[13.16 33.84] ; [ 7.84 20.16],0
d3,1,0.565166,0.330838,[17 30] ; [12 16],[18.17333333 28.82666667] ; [10.82666667 17.17333333],0
a2,1,0.590368,0.289771,[ 2 45] ; [ 2 26],[ 2.50666667 44.49333333] ; [ 1.49333333 26.50666667],0
s1,1,0.600183,0.27472,[ 3 44] ; [ 1 27],[ 2.50666667 44.49333333] ; [ 1.49333333 26.50666667],0
n6,1,0.611161,0.258488,[28 19] ; [15 13],[26.94666667 20.05333333] ; [16.05333333 11.94666667],0
d2,1,0.647268,0.209362,[16 31] ; [11 17],[16.92 30.08] ; [10.08 17.92],0
r1,1,0.655151,0.199468,[26 21] ; [14 14],[25.06666667 21.93333333] ; [14.93333333 13.06666667],0
a3,1,0.677427,0.173036,[24 22] ; [16 12],[24.86486486 21.13513514] ; [15.13513514 12.86486486],0
b1,1,0.697746,0.150827,[24 23] ; [13 15],[23.18666667 23.81333333] ; [13.81333333 14.18666667],0
u3,1,0.728434,0.120554,[12 11] ; [7 5],[12.48571429 10.51428571] ; [6.51428571 5.48571429],0
n3,1,0.761069,0.092463,[14  7] ; [8 5],[13.58823529  7.41176471] ; [8.41176471 4.58823529],0
p11,1,0.787306,0.072798,[30 17] ; [17 11],[29.45333333 17.54666667] ; [17.54666667 10.45333333],0
p7,1,0.814526,0.055033,[25 21] ; [16 12],[25.48648649 20.51351351] ; [15.51351351 12.48648649],0
d4,1,0.815881,0.054217,[30 16] ; [19  9],[30.45945946 15.54054054] ; [18.54054054  9.45945946],0
a6,1,0.822956,0.050062,[18 29] ; [10 18],[17.54666667 29.45333333] ; [10.45333333 17.54666667],0
b4,1,0.87769,0.023685,[26 21] ; [16 12],[26.32 20.68] ; [15.68 12.32],0
v3,1,0.932597,0.007154,[ 7 38] ; [ 4 23],[ 6.875 38.125] ; [ 4.125 22.875],0
