Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.002524,9.122762,[39  9] ; [4 7],[34.98305085 13.01694915] ; [8.01694915 2.98305085],0
p6,1,0.003594,8.478453,[34 12] ; [3 8],[29.85964912 16.14035088] ; [7.14035088 3.85964912],0
p7,1,0.006002,7.549751,[44  3] ; [7 4],[41.32758621  5.67241379] ; [9.67241379 1.32758621],0
s7,1,0.019804,5.429067,[34 10] ; [4 6],[30.96296296 13.03703704] ; [7.03703704 2.96296296],0
s3,1,0.027527,4.857436,[30 17] ; [3 8],[26.74137931 20.25862069] ; [6.25862069 4.74137931],0
b5,1,0.033783,4.505642,[18 30] ; [8 3],[21.15254237 26.84745763] ; [4.84745763 6.15254237],0
s8,1,0.040292,4.205534,[32 14] ; [4 7],[29.05263158 16.94736842] ; [6.94736842 4.05263158],0
s2,1,0.053187,3.738049,[28 19] ; [3 8],[25.12068966 21.87931034] ; [5.87931034 5.12068966],0
p12,1,0.053976,3.71343,[19 29] ; [ 1 10],[16.27118644 31.72881356] ; [3.72881356 7.27118644],0
p3,1,0.062164,3.478691,[41  6] ; [7 4],[38.89655172  8.10344828] ; [9.10344828 1.89655172],0
p4,1,0.100824,2.692456,[45  2] ; [9 2],[43.75862069  3.24137931] ; [10.24137931  0.75862069],0
s5,1,0.118822,2.432783,[35 10] ; [6 5],[32.94642857 12.05357143] ; [8.05357143 2.94642857],0
d2,1,0.121483,2.398103,[22 25] ; [8 3],[24.31034483 22.68965517] ; [5.68965517 5.31034483],0
p1,1,0.135941,2.223317,[15 33] ; [ 1 10],[13.01694915 34.98305085] ; [2.98305085 8.01694915],0
a4,1,0.146267,2.110751,[20 28] ; [2 9],[17.89830508 30.10169492] ; [4.10169492 6.89830508],0
d3,1,0.206389,1.596579,[29 18] ; [9 2],[30.79310345 16.20689655] ; [7.20689655 3.79310345],0
n6,1,0.209445,1.575256,[44  3] ; [9 2],[42.94827586  4.05172414] ; [10.05172414  0.94827586],0
r2,1,0.209445,1.575256,[44  3] ; [9 2],[42.94827586  4.05172414] ; [10.05172414  0.94827586],0
v4,1,0.254552,1.298149,[46  1] ; [10  1],[45.37931034  1.62068966] ; [10.62068966  0.37931034],0
a7,1,0.2748,1.192629,[38 10] ; [7 4],[36.61016949 11.38983051] ; [8.38983051 2.61016949],0
n5,1,0.329678,0.950162,[44  4] ; [9 2],[43.11864407  4.88135593] ; [9.88135593 1.11864407],0
a3,1,0.367082,0.813519,[38 10] ; [10  1],[39.05084746  8.94915254] ; [8.94915254 2.05084746],0
s4,1,0.397393,0.7162,[ 5 43] ; [2 8],[ 5.79310345 42.20689655] ; [1.20689655 8.79310345],0
a5,1,0.444476,0.584699,[36 12] ; [7 4],[34.98305085 13.01694915] ; [8.01694915 2.98305085],0
s6,1,0.549337,0.358506,[38  9] ; [8 3],[37.27586207  9.72413793] ; [8.72413793 2.27586207],0
n4,1,0.619557,0.246491,[42  6] ; [9 2],[41.49152542  6.50847458] ; [9.50847458 1.49152542],0
a1,1,0.631278,0.230332,[ 7 41] ; [ 1 10],[ 6.50847458 41.49152542] ; [1.49152542 9.50847458],0
d4,1,0.639128,0.219884,[41  6] ; [9 2],[40.51724138  6.48275862] ; [9.48275862 1.51724138],0
b3,1,0.654317,0.200501,[22 16] ; [5 5],[21.375 16.625] ; [5.625 4.375],0
b2,1,0.654317,0.200501,[22 16] ; [5 5],[21.375 16.625] ; [5.625 4.375],0
b4,1,0.720684,0.127839,[29 19] ; [6 5],[28.47457627 19.52542373] ; [6.52542373 4.47457627],0
p11,1,0.735321,0.114282,[45  3] ; [10  1],[44.74576271  3.25423729] ; [10.25423729  0.74576271],0
b1,1,0.743373,0.107185,[15 33] ; [4 7],[15.45762712 32.54237288] ; [3.54237288 7.45762712],0
v1,1,0.843781,0.038832,[38 10] ; [9 2],[38.23728814  9.76271186] ; [8.76271186 2.23728814],0
u1,1,0.843781,0.038832,[10 38] ; [2 9],[ 9.76271186 38.23728814] ; [2.23728814 8.76271186],0
r1,1,0.903842,0.014595,[40  8] ; [9 2],[39.86440678  8.13559322] ; [9.13559322 1.86440678],0
a6,1,0.905263,0.014165,[29 18] ; [7 4],[29.17241379 17.82758621] ; [6.82758621 4.17241379],0
d5,1,0.926915,0.008414,[39  8] ; [9 2],[38.89655172  8.10344828] ; [9.10344828 1.89655172],0
p2,1,0.935144,0.006622,[44  4] ; [10  1],[43.93220339  4.06779661] ; [10.06779661  0.93220339],0
d1,1,0.943956,0.004942,[30 18] ; [7 4],[30.10169492 17.89830508] ; [6.89830508 4.10169492],0
