Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p1,1,5e-05,16.446595,[  9 289] ; [10 55],[ 15.59779614 282.40220386] ; [ 3.40220386 61.59779614],1
p7,1,6.7e-05,15.899437,[124 168] ; [43 18],[138.14164306 153.85835694] ; [28.85835694 32.14164306],1
s7,1,0.000632,11.678858,[ 94 194] ; [35 28],[105.84615385 182.15384615] ; [23.15384615 39.84615385],1
s2,1,0.00754,7.139535,[118 180] ; [37 27],[127.59668508 170.40331492] ; [27.40331492 36.59668508],0
s8,1,0.021015,5.325546,[ 95 204] ; [30 34],[102.96143251 196.03856749] ; [22.03856749 41.96143251],0
b3,1,0.059977,3.53803,[ 50 110] ; [18 20],[ 54.94949495 105.05050505] ; [13.05050505 24.94949495],0
b2,1,0.059977,3.53803,[ 50 110] ; [18 20],[ 54.94949495 105.05050505] ; [13.05050505 24.94949495],0
s5,1,0.078152,3.102912,[ 70 221] ; [21 39],[ 75.44444444 215.55555556] ; [15.55555556 44.44444444],0
p3,1,0.07927,3.079804,[ 62 237] ; [20 45],[ 67.35714286 231.64285714] ; [14.64285714 50.35714286],0
b5,1,0.087383,2.921928,[188 112] ; [48 17],[193.97260274 106.02739726] ; [42.02739726 22.97260274],0
p8,1,0.093925,2.805779,[ 93 204] ; [27 37],[ 98.72576177 198.27423823] ; [21.27423823 42.72576177],0
b4,1,0.122464,2.385525,[179 121] ; [32 33],[173.42465753 126.57534247] ; [37.57534247 27.42465753],0
v1,1,0.130991,2.280716,[120 171] ; [33 31],[125.41690141 165.58309859] ; [27.58309859 36.41690141],0
s3,1,0.175836,1.832471,[144 153] ; [37 27],[148.91135734 148.08864266] ; [32.08864266 31.91135734],0
n4,1,0.215007,1.537391,[197 102] ; [48 17],[201.25  97.75] ; [43.75 21.25],0
p11,1,0.235725,1.405982,[216  84] ; [42 23],[212.05479452  87.94520548] ; [45.94520548 19.05479452],0
v2,1,0.259719,1.270255,[139 143] ; [36 27],[143.04347826 138.95652174] ; [31.95652174 31.04347826],0
r4,1,0.273962,1.196799,[257  43] ; [59  6],[259.7260274  40.2739726] ; [56.2739726  8.7260274],0
