Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,6e-06,20.414894,[11 22] ; [34  6],[20.34246575 12.65753425] ; [24.65753425 15.34246575],1
n6,1,0.000308,13.021194,[17 16] ; [35  4],[23.83333333  9.16666667] ; [28.16666667 10.83333333],1
p11,1,0.008717,6.879832,[13 20] ; [28 12],[18.53424658 14.46575342] ; [22.46575342 17.53424658],0
r2,1,0.036003,4.396975,[26  7] ; [38  2],[28.93150685  4.06849315] ; [35.06849315  4.93150685],0
a7,1,0.037699,4.318565,[19 14] ; [32  8],[23.05479452  9.94520548] ; [27.94520548 12.05479452],0
r1,1,0.068484,3.318992,[20 13] ; [32  8],[23.50684932  9.49315068] ; [28.49315068 11.50684932],0
r4,1,0.110582,2.545881,[24  9] ; [35  5],[26.67123288  6.32876712] ; [32.32876712  7.67123288],0
n1,1,0.119467,2.424298,[ 3 10] ; [5 4],[4.72727273 8.27272727] ; [3.27272727 5.72727273],0
s7,1,0.122976,2.379009,[ 8 23] ; [17 22],[11.07142857 19.92857143] ; [13.92857143 25.07142857],0
u3,1,0.139883,2.179243,[12  7] ; [ 7 11],[9.75675676 9.24324324] ; [9.24324324 8.75675676],0
p10,1,0.146102,2.112485,[ 6 27] ; [13 26],[ 8.70833333 24.29166667] ; [10.29166667 28.70833333],0
s8,1,0.171946,1.865899,[ 7 26] ; [14 25],[ 9.625 23.375] ; [11.375 27.625],0
a5,1,0.173429,1.853052,[18 15] ; [28 12],[20.79452055 12.20547945] ; [25.20547945 14.79452055],0
u1,1,0.248672,1.330747,[ 4 29] ; [ 9 31],[ 5.87671233 27.12328767] ; [ 7.12328767 32.87671233],0
s3,1,0.266715,1.233566,[16 17] ; [24 15],[18.33333333 14.66666667] ; [21.66666667 17.33333333],0
a3,1,0.284789,1.144092,[14 19] ; [22 18],[16.2739726 16.7260274] ; [19.7260274 20.2739726],0
b2,1,0.290338,1.118052,[ 4 19] ; [ 9 21],[ 5.64150943 17.35849057] ; [ 7.35849057 22.64150943],0
b3,1,0.290338,1.118052,[ 4 19] ; [ 9 21],[ 5.64150943 17.35849057] ; [ 7.35849057 22.64150943],0
v4,1,0.297605,1.084897,[28  5] ; [37  3],[29.38356164  3.61643836] ; [35.61643836  4.38356164],0
a8,1,0.317009,1.001246,[ 1 31] ; [ 3 30],[ 1.96923077 30.03076923] ; [ 2.03076923 30.96923077],0
n3,1,0.340144,0.90989,[8 5] ; [8 2],[9.04347826 3.95652174] ; [6.95652174 3.04347826],0
r3,1,0.352383,0.864858,[31  2] ; [35  5],[29.83561644  3.16438356] ; [36.16438356  3.83561644],0
s5,1,0.373277,0.792728,[ 9 24] ; [ 7 31],[ 7.43661972 25.56338028] ; [ 8.56338028 29.43661972],0
s6,1,0.410024,0.678731,[18 15] ; [25 14],[19.70833333 13.29166667] ; [23.29166667 15.70833333],0
b4,1,0.491771,0.472648,[18 15] ; [25 15],[19.43835616 13.56164384] ; [23.56164384 16.43835616],0
a2,1,0.522593,0.408772,[ 4 29] ; [ 7 33],[ 4.97260274 28.02739726] ; [ 6.02739726 33.97260274],0
