Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,0.0,25.77342,[41 31] ; [64  4],[54. 18.] ; [51. 17.],1
r4,1,7.3e-05,15.724188,[37 36] ; [56 12],[48.14893617 24.85106383] ; [44.85106383 23.14893617],1
p10,1,9.1e-05,15.320451,[23 47] ; [45 23],[34.49275362 35.50724638] ; [33.50724638 34.49275362],1
p9,1,0.000142,14.476786,[24 43] ; [46 21],[35. 32.] ; [35. 32.],1
n6,1,0.000596,11.789588,[36 36] ; [53 15],[45.77142857 26.22857143] ; [43.22857143 24.77142857],1
v2,1,0.00873,6.877298,[22 48] ; [33 28],[29.38931298 40.61068702] ; [25.61068702 35.38931298],0
v4,1,0.019123,5.490196,[48 24] ; [57 11],[54. 18.] ; [51. 17.],0
s8,1,0.020784,5.344814,[13 59] ; [24 44],[19.02857143 52.97142857] ; [17.97142857 50.02857143],0
s6,1,0.022773,5.185769,[24 47] ; [36 32],[30.64748201 40.35251799] ; [29.35251799 38.64748201],0
b4,1,0.043023,4.09451,[36 37] ; [45 23],[41.93617021 31.06382979] ; [39.06382979 28.93617021],0
p12,1,0.043665,4.069487,[ 1 71] ; [ 6 62],[ 3.6 68.4] ; [ 3.4 64.6],0
s2,1,0.048494,3.892766,[19 54] ; [28 39],[24.50714286 48.49285714] ; [22.49285714 44.50714286],0
v1,1,0.048494,3.892766,[19 54] ; [28 39],[24.50714286 48.49285714] ; [22.49285714 44.50714286],0
a1,1,0.056824,3.627738,[10 63] ; [ 3 65],[ 6.73049645 66.26950355] ; [ 6.26950355 61.73049645],0
v3,1,0.063792,3.435959,[17 52] ; [25 38],[21.95454545 47.04545455] ; [20.04545455 42.95454545],0
u3,1,0.072389,3.227996,[ 9 17] ; [16 11],[12.26415094 13.73584906] ; [12.73584906 14.26415094],0
n2,1,0.089521,2.882969,[21 16] ; [18  5],[24.05 12.95] ; [14.95  8.05],0
d5,1,0.096168,2.767974,[51 21] ; [39 29],[46.28571429 25.71428571] ; [43.71428571 24.28571429],0
s7,1,0.112418,2.519896,[18 48] ; [27 40],[22.33082707 43.66917293] ; [22.66917293 44.33082707],0
u2,1,0.125763,2.344036,[ 9 17] ; [15 12],[11.77358491 14.22641509] ; [12.22641509 14.77358491],0
p5,1,0.142867,2.1468,[ 1 72] ; [ 4 63],[ 2.60714286 70.39285714] ; [ 2.39285714 64.60714286],0
n5,1,0.185089,1.756282,[42 30] ; [47 21],[45.77142857 26.22857143] ; [43.22857143 24.77142857],0
s1,1,0.186446,1.745479,[ 9 63] ; [ 4 63],[ 6.73381295 65.26618705] ; [ 6.26618705 60.73381295],0
r1,1,0.191927,1.702763,[41 31] ; [46 22],[44.74285714 27.25714286] ; [42.25714286 25.74285714],0
b1,1,0.209355,1.575884,[41 32] ; [31 37],[37.27659574 35.72340426] ; [34.72340426 33.27659574],0
a6,1,0.276289,1.185252,[39 33] ; [43 25],[42.17142857 29.82857143] ; [39.82857143 28.17142857],0
r2,1,0.281503,1.159822,[57 13] ; [59  8],[59.27007299 10.72992701] ; [56.72992701 10.27007299],0
s3,1,0.293236,1.104704,[26 45] ; [30 36],[29.02189781 41.97810219] ; [26.97810219 39.02189781],0
s5,1,0.296572,1.089545,[11 58] ; [15 50],[13.3880597 55.6119403] ; [12.6119403 52.3880597],0
n4,1,0.409674,0.679747,[45 27] ; [47 21],[47.31428571 24.68571429] ; [44.68571429 23.31428571],0
a7,1,0.428704,0.626333,[46 26] ; [39 29],[43.71428571 28.28571429] ; [41.28571429 26.71428571],0
a3,1,0.470392,0.521056,[47 24] ; [41 27],[44.94964029 26.05035971] ; [43.05035971 24.94964029],0
u1,1,0.495167,0.46528,[ 7 66] ; [ 9 59],[ 8.28368794 64.71631206] ; [ 7.71631206 60.28368794],0
p6,1,0.495352,0.46488,[10 61] ; [ 7 61],[ 8.68345324 62.31654676] ; [ 8.31654676 59.68345324],0
p3,1,0.550938,0.35564,[12 60] ; [14 54],[13.37142857 58.62857143] ; [12.62857143 55.37142857],0
d2,1,0.587374,0.294464,[34 37] ; [29 38],[32.41304348 38.58695652] ; [30.58695652 36.41304348],0
d4,1,0.592829,0.285948,[50 22] ; [50 18],[51.42857143 20.57142857] ; [48.57142857 19.42857143],0
a5,1,0.603903,0.269149,[45 28] ; [39 29],[43.4893617 29.5106383] ; [40.5106383 27.4893617],0
n3,1,0.651185,0.204409,[18 16] ; [13  9],[18.82142857 15.17857143] ; [12.17857143  9.82142857],0
a8,1,0.653892,0.201028,[ 8 62] ; [ 6 60],[ 7.20588235 62.79411765] ; [ 6.79411765 59.20588235],0
a2,1,0.66179,0.191357,[15 58] ; [12 56],[13.9787234 59.0212766] ; [13.0212766 54.9787234],0
p1,1,0.675447,0.175296,[ 7 66] ; [ 8 60],[ 7.76595745 65.23404255] ; [ 7.23404255 60.76595745],0
p8,1,0.679643,0.170529,[10 63] ; [11 57],[10.87234043 62.12765957] ; [10.12765957 57.87234043],0
