Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.0,31.359003,[105   9] ; [79 50],[86.32098765 27.67901235] ; [97.67901235 31.32098765],1
p4,1,0.0,30.016526,[97 17] ; [69 63],[76.92682927 37.07317073] ; [89.07317073 42.92682927],1
p8,1,1e-06,24.456139,[89 26] ; [61 70],[70.12195122 44.87804878] ; [79.87804878 51.12195122],1
p3,1,0.000183,13.99858,[82 32] ; [65 69],[67.57258065 46.42741935] ; [79.42741935 54.57258065],1
p10,1,0.000502,12.10902,[110   5] ; [108  25],[101.08870968  13.91129032] ; [116.91129032  16.08870968],1
n4,1,0.001114,10.628246,[104  11] ; [99 34],[94.13306452 20.86693548] ; [108.86693548  24.13306452],0
p9,1,0.00115,10.568583,[111   4] ; [110  21],[103.31300813  11.68699187] ; [117.68699187  13.31300813],0
s7,1,0.00148,10.10302,[85 25] ; [74 54],[73.48739496 36.51260504] ; [85.51260504 42.48739496],0
p5,1,0.003106,8.744357,[34 81] ; [ 19 115],[24.47791165 90.52208835] ; [ 28.52208835 105.47791165],0
v1,1,0.005124,7.835065,[81 34] ; [70 62],[70.30364372 44.69635628] ; [80.69635628 51.30364372],0
s2,1,0.005931,7.571251,[90 25] ; [82 50],[80.08097166 34.91902834] ; [91.91902834 40.08097166],0
s8,1,0.027975,4.829578,[77 37] ; [71 61],[68.58536585 45.41463415] ; [79.41463415 52.58536585],0
p1,1,0.028304,4.809453,[20 94] ; [ 11 122],[14.30769231 99.69230769] ; [ 16.69230769 116.30769231],0
n5,1,0.049213,3.868085,[100  15] ; [102  30],[94.048583 20.951417] ; [107.951417  24.048583],0
s4,1,0.075793,3.152888,[33 79] ; [ 26 106],[27.08196721 84.91803279] ; [ 31.91803279 100.08196721],0
r4,1,0.090018,2.874048,[113   2] ; [126   8],[110.3815261   4.6184739] ; [128.6184739   5.3815261],0
s6,1,0.102152,2.671613,[103  10] ; [112  21],[98.7601626 14.2398374] ; [116.2398374  16.7601626],0
p12,1,0.105401,2.62185,[20 94] ; [ 14 120],[15.62903226 98.37096774] ; [ 18.37096774 115.62903226],0
d3,1,0.11207,2.524787,[87 27] ; [90 44],[81.36290323 32.63709677] ; [95.63709677 38.36290323],0
p2,1,0.127727,2.319917,[103  12] ; [111  23],[98.83534137 16.16465863] ; [115.16465863  18.83534137],0
a1,1,0.14463,2.127992,[  8 107] ; [  4 130],[  5.54216867 109.45783133] ; [  6.45783133 127.54216867],0
n6,1,0.158321,1.990192,[106   7] ; [117  15],[102.85306122  10.14693878] ; [120.14693878  11.85306122],0
a6,1,0.169239,1.889672,[69 44] ; [93 41],[74.11336032 38.88663968] ; [87.88663968 46.11336032],0
v2,1,0.223584,1.481218,[65 50] ; [84 47],[69.65447154 45.34552846] ; [79.34552846 51.65447154],0
n3,1,0.239645,1.382683,[14  6] ; [26  5],[15.68627451  4.31372549] ; [24.31372549  6.68627451],0
a4,1,0.252172,1.311232,[65 50] ; [66 68],[60.50200803 54.49799197] ; [70.49799197 63.50200803],0
u2,1,0.401718,0.703176,[13 11] ; [11 15],[11.52 12.48] ; [12.48 13.52],0
u1,1,0.403349,0.69832,[31 84] ; [ 30 104],[28.17269076 86.82730924] ; [ 32.82730924 101.17269076],0
v4,1,0.417763,0.656599,[112   3] ; [126   6],[110.8097166   4.1902834] ; [127.1902834   4.8097166],0
b2,1,0.427049,0.630835,[34 39] ; [33 49],[31.55483871 41.44516129] ; [35.44516129 46.55483871],0
b3,1,0.427049,0.630835,[34 39] ; [33 49],[31.55483871 41.44516129] ; [35.44516129 46.55483871],0
d1,1,0.452355,0.564744,[79 36] ; [86 48],[76.20481928 38.79518072] ; [88.79518072 45.20481928],0
n1,1,0.461396,0.542505,[12  9] ; [14 16],[10.70588235 10.29411765] ; [15.29411765 14.70588235],0
s3,1,0.472486,0.516155,[82 32] ; [88 42],[79.42622951 34.57377049] ; [90.57377049 39.42622951],0
u4,1,0.474044,0.512535,[  2 113] ; [  1 133],[  1.38554217 113.61445783] ; [  1.61445783 132.38554217],0
b4,1,0.507067,0.440115,[70 45] ; [76 58],[67.42971888 47.57028112] ; [78.57028112 55.42971888],0
r2,1,0.5427,0.370558,[112   3] ; [130   2],[112.67206478   2.32793522] ; [129.32793522   2.67206478],0
s1,1,0.586514,0.295822,[  3 112] ; [  5 125],[  3.75510204 111.24489796] ; [  4.24489796 125.75510204],0
b5,1,0.590149,0.290112,[64 51] ; [70 64],[61.8875502 53.1124498] ; [72.1124498 61.8875502],0
r3,1,0.610155,0.259949,[111   3] ; [127   5],[110.29268293   3.70731707] ; [127.70731707   4.29268293],0
u3,1,0.656776,0.197463,[16  8] ; [17 11],[15.23076923  8.76923077] ; [17.76923077 10.23076923],0
a5,1,0.659689,0.193902,[96 19] ; [109  25],[94.67871486 20.32128514] ; [110.32128514  23.67871486],0
a2,1,0.706011,0.142294,[36 79] ; [39 95],[34.63855422 80.36144578] ; [40.36144578 93.63855422],0
p11,1,0.728876,0.120147,[93 22] ; [106  28],[91.90763052 23.09236948] ; [107.09236948  26.90763052],0
d4,1,0.769483,0.085879,[98 15] ; [117  16],[98.7601626 14.2398374] ; [116.2398374  16.7601626],0
d2,1,0.781236,0.077122,[64 50] ; [77 56],[65.07692308 48.92307692] ; [75.92307692 57.07692308],0
