Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,2e-06,22.423939,[64 35] ; [ 6 28],[52.10526316 46.89473684] ; [17.89473684 16.10526316],1
v4,1,8.5e-05,15.438062,[84 14] ; [18 16],[75.72727273 22.27272727] ; [26.27272727  7.72727273],1
a3,1,0.001672,9.878194,[60 39] ; [10 24],[52.10526316 46.89473684] ; [17.89473684 16.10526316],0
d1,1,0.006288,7.465769,[40 59] ; [ 5 29],[33.4962406 65.5037594] ; [11.5037594 22.4962406],0
u3,1,0.010041,6.627538,[17 22] ; [ 3 21],[12.38095238 26.61904762] ; [ 7.61904762 16.38095238],0
d5,1,0.016535,5.745075,[66 32] ; [15 19],[60.13636364 37.86363636] ; [20.86363636 13.13636364],0
a4,1,0.021635,5.274936,[35 63] ; [ 5 29],[29.6969697 68.3030303] ; [10.3030303 23.6969697],0
p10,1,0.022938,5.173228,[63 34] ; [14 19],[57.45384615 39.54615385] ; [19.54615385 13.45384615],0
r3,1,0.02725,4.874902,[82 17] ; [22 12],[77.41353383 21.58646617] ; [26.58646617  7.41353383],0
a8,1,0.035649,4.413793,[ 6 90] ; [ 6 26],[ 9. 87.] ; [ 3. 29.],0
s7,1,0.03568,4.412315,[31 65] ; [ 4 27],[26.45669291 69.54330709] ; [ 8.54330709 22.45669291],0
p12,1,0.071964,3.23764,[ 2 97] ; [ 3 31],[ 3.72180451 95.27819549] ; [ 1.27819549 32.72180451],0
d2,1,0.102758,2.662202,[41 56] ; [ 9 25],[37.02290076 59.97709924] ; [12.97709924 21.02290076],0
s2,1,0.11004,2.55364,[35 64] ; [ 7 27],[31.26315789 67.73684211] ; [10.73684211 23.26315789],0
v3,1,0.1148,2.486874,[20 76] ; [ 3 31],[16.98461538 79.01538462] ; [ 6.01538462 27.98461538],0
a2,1,0.119917,2.41841,[12 87] ; [ 1 33],[ 9.67669173 89.32330827] ; [ 3.32330827 30.67669173],0
d3,1,0.122897,2.380013,[52 45] ; [13 21],[48.12977099 48.87022901] ; [16.87022901 17.12977099],0
a6,1,0.168458,1.896613,[60 39] ; [16 18],[56.57142857 42.42857143] ; [19.42857143 14.57142857],0
p6,1,0.18012,1.79663,[29 67] ; [ 6 27],[26.04651163 69.95348837] ; [ 8.95348837 24.04651163],0
n5,1,0.214304,1.542113,[58 41] ; [24 10],[61.03759398 37.96240602] ; [20.96240602 13.03759398],0
a5,1,0.216373,1.528266,[50 49] ; [13 21],[46.89473684 52.10526316] ; [16.10526316 17.89473684],0
u2,1,0.223129,1.484135,[15 24] ; [13 11],[17.33333333 21.66666667] ; [10.66666667 13.33333333],0
s5,1,0.223325,1.482879,[20 74] ; [ 4 30],[17.625 76.375] ; [ 6.375 27.625],0
n2,1,0.232181,1.427451,[28 11] ; [7 6],[26.25 12.75] ; [8.75 4.25],0
b1,1,0.235372,1.408101,[38 61] ; [17 17],[40.93984962 58.06015038] ; [14.06015038 19.93984962],0
p7,1,0.237507,1.395329,[48 48] ; [13 21],[45.04615385 50.95384615] ; [15.95384615 18.04615385],0
a7,1,0.269205,1.220791,[54 44] ; [15 19],[51.22727273 46.77272727] ; [17.77272727 16.22727273],0
n6,1,0.273765,1.197785,[73 25] ; [22 12],[70.53030303 27.46969697] ; [24.46969697  9.53030303],0
p9,1,0.277102,1.181248,[67 29] ; [19 13],[64.5 31.5] ; [21.5 10.5],0
p1,1,0.299194,1.077781,[12 86] ; [ 2 32],[10.39393939 87.60606061] ; [ 3.60606061 30.39393939],0
b4,1,0.301659,1.066845,[54 45] ; [22 12],[56.57142857 42.42857143] ; [19.42857143 14.57142857],0
p11,1,0.308033,1.039092,[65 34] ; [19 15],[62.52631579 36.47368421] ; [21.47368421 12.52631579],0
d4,1,0.319647,0.990391,[62 37] ; [18 16],[59.54887218 39.45112782] ; [20.45112782 13.54887218],0
v2,1,0.361976,0.831028,[25 71] ; [ 6 27],[23.06976744 72.93023256] ; [ 7.93023256 25.06976744],0
s3,1,0.418016,0.655887,[37 60] ; [10 23],[35.06923077 61.93076923] ; [11.93076923 21.06923077],0
p8,1,0.418016,0.655887,[37 60] ; [10 23],[35.06923077 61.93076923] ; [11.93076923 21.06923077],0
s8,1,0.427278,0.63021,[24 75] ; [ 6 28],[22.33082707 76.66917293] ; [ 7.66917293 26.33082707],0
p2,1,0.454115,0.56036,[64 33] ; [20 14],[62.19847328 34.80152672] ; [21.80152672 12.19847328],0
a1,1,0.458843,0.548716,[10 89] ; [ 2 32],[ 8.93233083 90.06766917] ; [ 3.06766917 30.93233083],0
b3,1,0.535093,0.38471,[20 35] ; [ 7 17],[18.79746835 36.20253165] ; [ 8.20253165 15.79746835],0
