Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,2e-06,23.004976,[49 17] ; [ 92 134],[31.86986301 34.13013699] ; [109.13013699 116.86986301],1
p8,1,0.001636,9.919138,[32 33] ; [ 66 166],[21.44781145 43.55218855] ; [ 76.55218855 155.44781145],0
b1,1,0.002816,8.923189,[37 30] ; [ 83 154],[26.44736842 40.55263158] ; [ 93.55263158 143.44736842],0
a5,1,0.003624,8.462999,[56 11] ; [154  83],[46.28289474 20.71710526] ; [163.71710526  73.28289474],0
s5,1,0.011578,6.374445,[26 39] ; [ 55 173],[17.96928328 47.03071672] ; [ 63.03071672 164.96928328],0
s8,1,0.011581,6.37386,[33 33] ; [ 78 158],[24.25827815 41.74172185] ; [ 86.74172185 149.25827815],0
p6,1,0.013712,6.074907,[17 47] ; [ 32 202],[10.52348993 53.47651007] ; [ 38.47651007 195.52348993],0
v1,1,0.016928,5.703849,[39 27] ; [ 99 134],[30.46153846 35.53846154] ; [107.53846154 125.46153846],0
v3,1,0.017973,5.598827,[30 35] ; [ 69 158],[22.03767123 42.96232877] ; [ 76.96232877 150.03767123],0
a7,1,0.030855,4.661031,[39 28] ; [170  66],[46.21452145 20.78547855] ; [162.78547855  73.21452145],0
a3,1,0.046723,3.955342,[53 13] ; [159  76],[46.48504983 19.51495017] ; [165.51495017  69.48504983],0
v2,1,0.052486,3.760204,[43 23] ; [113 106],[36.12631579 29.87368421] ; [119.87368421  99.12631579],0
r4,1,0.054665,3.692265,[65  2] ; [212  25],[61.04934211  5.95065789] ; [215.95065789  21.04934211],0
d3,1,0.06087,3.513522,[35 32] ; [153  83],[41.5709571 25.4290429] ; [146.4290429  89.5709571],0
s7,1,0.065009,3.404745,[32 31] ; [ 86 141],[25.63448276 37.36551724] ; [ 92.36551724 134.63448276],0
b2,1,0.081698,3.030795,[20 24] ; [38 85],[15.28143713 28.71856287] ; [42.71856287 80.28143713],0
b3,1,0.081698,3.030795,[20 24] ; [38 85],[15.28143713 28.71856287] ; [42.71856287 80.28143713],0
p1,1,0.097423,2.747226,[ 5 62] ; [  7 228],[ 2.66225166 64.33774834] ; [  9.33774834 225.66225166],0
b4,1,0.104703,2.632408,[33 34] ; [143  94],[38.78947368 28.21052632] ; [137.21052632  99.78947368],0
n1,1,0.113637,2.5029,[6 3] ; [33 51],[3.77419355 5.22580645] ; [35.22580645 48.77419355],0
n4,1,0.127163,2.326795,[51 15] ; [160  77],[45.96039604 20.03960396] ; [165.03960396  71.96039604],0
u1,1,0.133345,2.25312,[13 54] ; [ 29 208],[ 9.25657895 57.74342105] ; [ 32.74342105 204.25657895],0
v4,1,0.170429,1.879169,[65  2] ; [215  18],[62.53333333  4.46666667] ; [217.46666667  15.53333333],0
n3,1,0.178278,1.811917,[8 1] ; [55 27],[6.23076923 2.76923077] ; [56.76923077 25.23076923],0
p5,1,0.248931,1.329292,[ 4 63] ; [  7 228],[ 2.44039735 64.55960265] ; [  8.55960265 226.44039735],0
u3,1,0.255788,1.291412,[10  4] ; [43 35],[8.06521739 5.93478261] ; [44.93478261 33.06521739],0
a2,1,0.287601,1.130818,[17 50] ; [ 46 191],[13.88486842 53.11513158] ; [ 49.11513158 187.88486842],0
a1,1,0.335532,0.927429,[ 4 63] ; [  8 229],[ 2.64473684 64.35526316] ; [  9.35526316 227.64473684],0
d2,1,0.358104,0.84453,[31 36] ; [ 94 141],[27.73178808 39.26821192] ; [ 97.26821192 137.73178808],0
a4,1,0.449854,0.571021,[31 36] ; [ 97 139],[28.30363036 38.69636964] ; [ 99.69636964 136.30363036],0
p2,1,0.505643,0.443072,[50 17] ; [167  70],[47.82565789 19.17434211] ; [169.17434211  67.82565789],0
u2,1,0.516395,0.421087,[6 7] ; [43 34],[7.07777778 5.92222222] ; [41.92222222 35.07777778],0
p10,1,0.58407,0.2997,[48 18] ; [162  72],[46.2 19.8] ; [163.8  70.2],0
s4,1,0.589629,0.290924,[ 8 59] ; [ 34 200],[ 9.34883721 57.65116279] ; [ 32.65116279 201.34883721],0
n5,1,0.625377,0.238383,[44 22] ; [149  86],[42.31893688 23.68106312] ; [150.68106312  84.31893688],0
p11,1,0.670456,0.18107,[49 18] ; [167  70],[47.60526316 19.39473684] ; [168.39473684  68.60526316],0
s3,1,0.696337,0.152311,[34 33] ; [124 108],[35.40468227 31.59531773] ; [122.59531773 109.40468227],0
n2,1,0.701359,0.147062,[7 2] ; [61 24],[6.5106383 2.4893617] ; [61.4893617 23.5106383],0
a8,1,0.725691,0.123105,[ 9 53] ; [ 36 184],[ 9.89361702 52.10638298] ; [ 35.10638298 184.89361702],0
p9,1,0.73276,0.116593,[49 16] ; [170  62],[47.92929293 17.07070707] ; [171.07070707  60.92929293],0
r3,1,0.760391,0.093005,[62  5] ; [219  15],[62.54817276  4.45182724] ; [218.45182724  15.54817276],0
b5,1,0.777901,0.079555,[40 27] ; [146  91],[40.99342105 26.00657895] ; [145.00657895  91.99342105],0
d5,1,0.837388,0.042121,[50 17] ; [179  57],[50.6369637 16.3630363] ; [178.3630363  57.6369637],0
s6,1,0.86278,0.029872,[37 28] ; [136  98],[37.60869565 27.39130435] ; [135.39130435  98.60869565],0
p12,1,0.866932,0.028075,[ 3 62] ; [ 12 222],[ 3.26086957 61.73913043] ; [ 11.73913043 222.26086957],0
a6,1,0.901248,0.015397,[45 21] ; [159  77],[44.58278146 21.41721854] ; [159.41721854  76.58278146],0
d4,1,0.912059,0.012197,[54 13] ; [190  44],[54.31229236 12.68770764] ; [189.68770764  44.31229236],0
d1,1,0.912247,0.012145,[35 32] ; [122 115],[34.60197368 32.39802632] ; [122.39802632 114.60197368],0
s1,1,0.928269,0.008104,[ 3 64] ; [ 11 221],[ 3.13712375 63.86287625] ; [ 10.86287625 221.13712375],0
s2,1,0.964452,0.001986,[29 38] ; [102 132],[29.15946844 37.84053156] ; [101.84053156 132.15946844],0
n6,1,0.998277,5e-06,[50 16] ; [178  57],[49.99335548 16.00664452] ; [178.00664452  56.99335548],0
