Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a4,1,1e-06,23.736456,[34 29] ; [ 6 48],[21.53846154 41.46153846] ; [18.46153846 35.53846154],1
d1,1,1.2e-05,19.126817,[43 22] ; [14 40],[31.13445378 33.86554622] ; [25.86554622 28.13445378],1
u1,1,0.000127,14.679147,[18 47] ; [ 1 53],[10.37815126 54.62184874] ; [ 8.62184874 45.37815126],1
a6,1,0.000482,12.184897,[46 19] ; [21 33],[36.59663866 28.40336134] ; [30.40336134 23.59663866],1
d2,1,0.000496,12.129231,[40 24] ; [16 37],[30.63247863 33.36752137] ; [25.36752137 27.63247863],1
a3,1,0.001812,9.731095,[45 20] ; [22 32],[36.59663866 28.40336134] ; [30.40336134 23.59663866],0
r2,1,0.002283,9.306679,[63  2] ; [42 11],[57.83898305  7.16101695] ; [47.16101695  5.83898305],0
v1,1,0.003983,8.291495,[31 34] ; [12 42],[23.48739496 41.51260504] ; [19.51260504 34.48739496],0
d5,1,0.004024,8.27293,[53 12] ; [31 23],[45.88235294 19.11764706] ; [38.11764706 15.88235294],0
d4,1,0.0058,7.611283,[54 11] ; [32 21],[47.37288136 17.62711864] ; [38.62711864 14.37288136],0
r4,1,0.006293,7.464557,[56  9] ; [35 19],[49.70588235 15.29411765] ; [41.29411765 12.70588235],0
d3,1,0.006386,7.438053,[45 20] ; [24 30],[37.68907563 27.31092437] ; [31.31092437 22.68907563],0
r1,1,0.007134,7.239013,[54 11] ; [33 21],[47.5210084 17.4789916] ; [39.4789916 14.5210084],0
v4,1,0.015497,5.859091,[62  3] ; [44 10],[57.89915966  7.10084034] ; [48.10084034  5.89915966],0
n4,1,0.023157,5.156667,[52 13] ; [33 21],[46.42857143 18.57142857] ; [38.57142857 15.42857143],0
p8,1,0.025419,4.995105,[27 38] ; [12 42],[21.30252101 43.69747899] ; [17.69747899 36.30252101],0
b1,1,0.042097,4.131314,[41 24] ; [24 30],[35.50420168 29.49579832] ; [29.49579832 24.50420168],0
s5,1,0.120809,2.406807,[17 46] ; [ 8 45],[13.57758621 49.42241379] ; [11.42241379 41.57758621],0
n5,1,0.19515,1.678303,[47 18] ; [33 21],[43.69747899 21.30252101] ; [36.30252101 17.69747899],0
b3,1,0.195254,1.677525,[14 26] ; [ 7 26],[11.50684932 28.49315068] ; [ 9.49315068 23.50684932],0
