Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,2.2e-05,18.048128,[78 12] ; [24 21],[68. 22.] ; [34. 11.],1
p11,1,3.5e-05,17.126866,[56 34] ; [11 34],[44.66666667 45.33333333] ; [22.33333333 22.66666667],1
s6,1,0.000103,15.079025,[52 37] ; [10 34],[41.4887218 47.5112782] ; [20.5112782 23.4887218],1
r4,1,0.000108,15.0,[70 20] ; [20 25],[60. 30.] ; [30. 15.],1
n5,1,0.000194,13.888889,[64 26] ; [17 28],[54. 36.] ; [27. 18.],1
r3,1,0.000677,11.550802,[76 14] ; [26 19],[68. 22.] ; [34. 11.],1
u1,1,0.002507,9.135338,[20 70] ; [ 1 44],[14. 76.] ; [ 7. 38.],0
p10,1,0.004239,8.178368,[50 38] ; [13 30],[42.32061069 45.67938931] ; [20.67938931 22.32061069],0
s8,1,0.004807,7.950721,[33 57] ; [ 6 39],[26. 64.] ; [13. 32.],0
p9,1,0.010274,6.586742,[52 33] ; [16 27],[45.15625 39.84375] ; [22.84375 20.15625],0
s7,1,0.011364,6.407513,[34 52] ; [ 7 34],[27.76377953 58.23622047] ; [13.23622047 27.76377953],0
n4,1,0.016644,5.733529,[63 27] ; [22 23],[56.66666667 33.33333333] ; [28.33333333 16.66666667],0
p4,1,0.018932,5.507815,[26 63] ; [ 5 40],[20.58955224 68.41044776] ; [10.41044776 34.58955224],0
s4,1,0.026639,4.914063,[22 66] ; [ 4 41],[17.20300752 70.79699248] ; [ 8.79699248 36.20300752],0
a6,1,0.048115,3.905967,[58 32] ; [21 24],[52.66666667 37.33333333] ; [26.33333333 18.66666667],0
b5,1,0.050707,3.817941,[54 36] ; [19 26],[48.66666667 41.33333333] ; [24.33333333 20.66666667],0
s5,1,0.06007,3.535438,[23 62] ; [ 5 36],[18.88888889 66.11111111] ; [ 9.11111111 31.88888889],0
r2,1,0.081078,3.043165,[79 10] ; [34 10],[75.61654135 13.38345865] ; [37.38345865  6.61654135],0
a1,1,0.081361,3.0375,[ 7 83] ; [ 8 37],[10. 80.] ; [ 5. 40.],0
b4,1,0.082915,3.006818,[58 32] ; [22 23],[53.33333333 36.66666667] ; [26.66666667 18.33333333],0
a7,1,0.108321,2.578549,[57 33] ; [22 23],[52.66666667 37.33333333] ; [26.33333333 18.66666667],0
d3,1,0.110711,2.544045,[55 35] ; [21 24],[50.66666667 39.33333333] ; [25.33333333 19.66666667],0
n2,1,0.113609,2.503288,[25 10] ; [14 13],[22.01612903 12.98387097] ; [16.98387097 10.01612903],0
p3,1,0.115614,2.475747,[23 67] ; [ 6 38],[19.47761194 70.52238806] ; [ 9.52238806 34.47761194],0
p12,1,0.150743,2.064713,[ 8 82] ; [ 1 43],[ 6.04477612 83.95522388] ; [ 2.95522388 41.04477612],0
s2,1,0.164383,1.933435,[32 56] ; [11 34],[28.45112782 59.54887218] ; [14.54887218 30.45112782],0
p6,1,0.205107,1.605628,[10 79] ; [ 2 42],[ 8.03007519 80.96992481] ; [ 3.96992481 40.03007519],0
d4,1,0.2155,1.534091,[69 21] ; [30 15],[66. 24.] ; [33. 12.],0
d1,1,0.273203,1.200593,[47 43] ; [19 26],[44. 46.] ; [22. 23.],0
a3,1,0.28109,1.161811,[61 28] ; [26 18],[58.21804511 30.78195489] ; [28.78195489 15.21804511],0
b2,1,0.30344,1.059015,[22 33] ; [15 14],[24.22619048 30.77380952] ; [12.77380952 16.22619048],0
b3,1,0.30344,1.059015,[22 33] ; [15 14],[24.22619048 30.77380952] ; [12.77380952 16.22619048],0
v2,1,0.305134,1.051622,[35 50] ; [13 28],[32.38095238 52.61904762] ; [15.61904762 25.38095238],0
a2,1,0.311124,1.0259,[23 67] ; [ 8 37],[20.66666667 69.33333333] ; [10.33333333 34.66666667],0
a8,1,0.354308,0.857969,[ 4 80] ; [ 4 41],[ 5.20930233 78.79069767] ; [ 2.79069767 42.20930233],0
n3,1,0.37289,0.794011,[21 12] ; [13 12],[19.34482759 13.65517241] ; [14.65517241 10.34482759],0
r1,1,0.377681,0.778235,[59 31] ; [26 19],[56.66666667 33.33333333] ; [28.33333333 16.66666667],0
s1,1,0.384168,0.757322,[ 6 83] ; [ 5 40],[ 7.30597015 81.69402985] ; [ 3.69402985 41.30597015],0
v3,1,0.39716,0.716907,[30 53] ; [12 30],[27.888 55.112] ; [14.112 27.888],0
d5,1,0.438578,0.6,[62 28] ; [28 17],[60. 30.] ; [30. 15.],0
u4,1,0.519249,0.415385,[ 4 86] ; [ 1 44],[ 3.33333333 86.66666667] ; [ 1.66666667 43.33333333],0
n1,1,0.547975,0.360957,[15 19] ; [14 13],[16.16393443 17.83606557] ; [12.83606557 14.16393443],0
p1,1,0.561276,0.3375,[ 9 81] ; [ 6 39],[10. 80.] ; [ 5. 40.],0
a5,1,0.60935,0.261122,[60 30] ; [28 17],[58.66666667 31.33333333] ; [29.33333333 15.66666667],0
d2,1,0.621555,0.243688,[47 41] ; [22 23],[45.65413534 42.34586466] ; [23.34586466 21.65413534],0
v1,1,0.716267,0.132098,[26 60] ; [15 30],[26.91603053 59.08396947] ; [14.08396947 30.91603053],0
s3,1,0.761701,0.09196,[32 55] ; [15 29],[31.21374046 55.78625954] ; [15.78625954 28.21374046],0
u3,1,0.767878,0.087114,[15 14] ; [ 9 10],[14.5 14.5] ; [9.5 9.5],0
u2,1,0.767878,0.087114,[14 15] ; [10  9],[14.5 14.5] ; [9.5 9.5],0
b1,1,0.807417,0.059419,[42 48] ; [22 23],[42.66666667 47.33333333] ; [21.33333333 23.66666667],0
p8,1,0.850652,0.035452,[11 79] ; [ 5 40],[10.66666667 79.33333333] ; [ 5.33333333 39.66666667],0
a4,1,0.993388,6.9e-05,[41 47] ; [21 24],[41.02255639 46.97744361] ; [20.97744361 24.02255639],0
