Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b3,1,0.006705,7.350241,[ 3 21] ; [62 88],[ 8.96551724 15.03448276] ; [56.03448276 93.96551724],0
b2,1,0.006705,7.350241,[ 3 21] ; [62 88],[ 8.96551724 15.03448276] ; [56.03448276 93.96551724],0
s2,1,0.007045,7.261334,[27 12] ; [107 126],[19.21323529 19.78676471] ; [114.78676471 118.21323529],0
s3,1,0.009791,6.672522,[29 11] ; [116 114],[21.48148148 18.51851852] ; [123.51851852 106.48148148],0
p2,1,0.011278,6.420956,[28 13] ; [199  36],[33.72101449  7.27898551] ; [193.27898551  41.72101449],0
d4,1,0.016125,5.789174,[27 14] ; [194  42],[32.71119134  8.28880866] ; [188.28880866  47.71119134],0
a6,1,0.02963,4.730642,[21 20] ; [162  74],[27.0866426 13.9133574] ; [155.9133574  80.0866426],0
v3,1,0.031947,4.60136,[13 27] ; [115 111],[19.2481203 20.7518797] ; [108.7518797 117.2481203],0
d1,1,0.0352,4.435425,[16 25] ; [134 102],[22.20216606 18.79783394] ; [127.79783394 108.20216606],0
s6,1,0.067799,3.33552,[29  8] ; [148  87],[24.07720588 12.92279412] ; [152.92279412  82.07720588],0
a2,1,0.072575,3.223791,[ 5 36] ; [ 59 177],[ 9.47292419 31.52707581] ; [ 54.52707581 181.47292419],0
v2,1,0.075385,3.161685,[20 20] ; [147  80],[25.01872659 14.98127341] ; [141.98127341  85.01872659],0
u2,1,0.081213,3.04045,[4 8] ; [37 24],[6.73972603 5.26027397] ; [34.26027397 26.73972603],0
p11,1,0.092884,2.823662,[27 14] ; [184  52],[31.23104693  9.76895307] ; [179.76895307  56.23104693],0
n6,1,0.111709,2.529872,[37  4] ; [185  47],[33.34065934  7.65934066] ; [188.65934066  43.34065934],0
s8,1,0.138249,2.197338,[21 20] ; [ 91 143],[16.69818182 24.30181818] ; [ 95.30181818 138.69818182],0
b4,1,0.13938,2.184794,[18 23] ; [133 103],[22.35018051 18.64981949] ; [128.64981949 107.35018051],0
d2,1,0.180537,1.793197,[15 26] ; [113 123],[18.94584838 22.05415162] ; [109.05415162 126.94584838],0
