Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a5,1,0.001357,10.263546,[29 30] ; [196  81],[39.50892857 19.49107143] ; [185.49107143  91.50892857],0
v2,1,0.003005,8.804253,[19 37] ; [145 115],[29.06329114 26.93670886] ; [134.93670886 125.06329114],0
a3,1,0.006205,7.48966,[31 28] ; [195  80],[39.92215569 19.07784431] ; [186.07784431  88.92215569],0
p1,1,0.009075,6.807946,[ 7 52] ; [ 10 265],[ 3.00299401 55.99700599] ; [ 13.99700599 261.00299401],0
s4,1,0.015618,5.84538,[16 43] ; [ 39 235],[ 9.74474474 49.25525526] ; [ 45.25525526 228.74474474],0
d1,1,0.022205,5.229653,[21 38] ; [144 133],[28.97321429 30.02678571] ; [136.02678571 140.97321429],0
a2,1,0.022737,5.188492,[ 5 54] ; [ 59 218],[11.23809524 47.76190476] ; [ 52.76190476 224.23809524],0
d4,1,0.023527,5.12918,[40 19] ; [223  52],[46.45808383 12.54191617] ; [216.54191617  58.45808383],0
b1,1,0.026886,4.89809,[14 45] ; [108 169],[21.42261905 37.57738095] ; [100.57738095 176.42261905],0
a8,1,0.028728,4.78382,[ 3 53] ; [ 43 213],[ 8.25641026 47.74358974] ; [ 37.74358974 218.25641026],0
v1,1,0.037359,4.333955,[19 40] ; [128 144],[26.20241692 32.79758308] ; [120.79758308 151.20241692],0
u1,1,0.044558,4.035273,[ 3 56] ; [ 41 236],[ 7.72619048 51.27380952] ; [ 36.27380952 240.72619048],0
s7,1,0.05505,3.680568,[16 42] ; [109 156],[22.44582043 35.55417957] ; [102.55417957 162.44582043],0
n4,1,0.058288,3.58544,[34 25] ; [194  82],[40.15522388 18.84477612] ; [187.84477612  88.15522388],0
p9,1,0.072484,3.225848,[50  7] ; [208  62],[44.97247706 12.02752294] ; [213.02752294  56.97247706],0
n6,1,0.08522,2.962417,[52  7] ; [216  60],[47.2 11.8] ; [220.8  55.2],0
a6,1,0.100506,2.697499,[34 25] ; [189  86],[39.39221557 19.60778443] ; [183.60778443  91.39221557],0
