Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,0.000109,14.972222,[ 2 31] ; [16 17],[ 9. 24.] ; [ 9. 24.],1
p8,1,0.000221,13.642316,[ 5 28] ; [19 13],[12.18461538 20.81538462] ; [11.81538462 20.18461538],1
p4,1,0.000222,13.636364,[ 9 24] ; [24  9],[16.5 16.5] ; [16.5 16.5],1
p2,1,0.000409,12.490482,[17 16] ; [30  3],[23.5  9.5] ; [23.5  9.5],1
p3,1,0.001135,10.592593,[ 7 26] ; [20 13],[13.5 19.5] ; [13.5 19.5],0
a2,1,0.023642,5.12069,[ 1 32] ; [ 7 26],[ 4. 29.] ; [ 4. 29.],0
p10,1,0.039775,4.227451,[22 11] ; [29  4],[25.5  7.5] ; [25.5  7.5],0
u1,1,0.086768,2.933333,[ 1 32] ; [ 5 28],[ 3. 30.] ; [ 3. 30.],0
s8,1,0.141934,2.156863,[ 5 28] ; [10 23],[ 7.5 25.5] ; [ 7.5 25.5],0
p9,1,0.141934,2.156863,[23 10] ; [28  5],[25.5  7.5] ; [25.5  7.5],0
n3,1,0.154103,2.031156,[7 6] ; [6 1],[8.45 4.55] ; [4.55 2.45],0
s5,1,0.175334,1.836735,[ 6 22] ; [12 20],[ 8.4 19.6] ; [ 9.6 22.4],0
d2,1,0.196479,1.668352,[ 9 24] ; [14 19],[11.5 21.5] ; [11.5 21.5],0
d5,1,0.199147,1.648621,[21 12] ; [25  7],[23.35384615  9.64615385] ; [22.64615385  9.35384615],0
b5,1,0.204526,1.609756,[23 10] ; [18 15],[20.5 12.5] ; [20.5 12.5],0
n5,1,0.284005,1.147826,[21 12] ; [25  8],[23. 10.] ; [23. 10.],0
p11,1,0.29627,1.090909,[20 13] ; [24  9],[22. 11.] ; [22. 11.],0
p5,1,0.302187,1.064516,[ 1 32] ; [ 3 30],[ 2. 31.] ; [ 2. 31.],0
v4,1,0.302187,1.064516,[30  3] ; [32  1],[31.  2.] ; [31.  2.],0
n4,1,0.319137,0.992481,[17 16] ; [21 12],[19. 14.] ; [19. 14.],0
d1,1,0.322748,0.977778,[13 20] ; [17 16],[15. 18.] ; [15. 18.],0
b1,1,0.414739,0.665174,[ 8 25] ; [11 22],[ 9.5 23.5] ; [ 9.5 23.5],0
a6,1,0.452612,0.564103,[18 15] ; [21 12],[19.5 13.5] ; [19.5 13.5],0
s3,1,0.453034,0.56305,[14 17] ; [18 15],[15.5 15.5] ; [16.5 16.5],0
s6,1,0.523776,0.406452,[21 10] ; [24  8],[22.14285714  8.85714286] ; [22.85714286  9.14285714],0
v2,1,0.532149,0.390286,[14 18] ; [16 15],[15.23809524 16.76190476] ; [14.76190476 16.23809524],0
u2,1,0.553564,0.350972,[ 7 10] ; [ 5 11],[ 6.18181818 10.81818182] ; [ 5.81818182 10.18181818],0
p1,1,0.554563,0.349206,[ 1 32] ; [ 2 31],[ 1.5 31.5] ; [ 1.5 31.5],0
n2,1,0.588792,0.292235,[9 4] ; [4 3],[8.45 4.55] ; [4.55 2.45],0
a4,1,0.601508,0.272727,[10 23] ; [12 21],[11. 22.] ; [11. 22.],0
b4,1,0.608815,0.261905,[22 11] ; [20 13],[21. 12.] ; [21. 12.],0
u3,1,0.61093,0.258824,[10  7] ; [8 8],[9.27272727 7.72727273] ; [8.72727273 7.27272727],0
b2,1,0.655758,0.198718,[ 3 10] ; [ 3 15],[ 2.51612903 10.48387097] ; [ 3.48387097 14.51612903],0
b3,1,0.655758,0.198718,[ 3 10] ; [ 3 15],[ 2.51612903 10.48387097] ; [ 3.48387097 14.51612903],0
r3,1,0.689335,0.159806,[29  4] ; [30  3],[29.5  3.5] ; [29.5  3.5],0
n6,1,0.698885,0.149634,[28  5] ; [26  6],[27.41538462  5.58461538] ; [26.58461538  5.41538462],0
v3,1,0.707204,0.141086,[ 6 26] ; [ 7 24],[ 6.6031746 25.3968254] ; [ 6.3968254 24.6031746],0
r2,1,0.721036,0.127503,[29  3] ; [29  4],[28.55384615  3.44615385] ; [29.44615385  3.55384615],0
v1,1,0.72162,0.126946,[13 20] ; [14 18],[13.70769231 19.29230769] ; [13.29230769 18.70769231],0
a7,1,0.721771,0.126802,[25  8] ; [23  9],[24.36923077  8.63076923] ; [23.63076923  8.36923077],0
r4,1,0.741182,0.109091,[27  6] ; [28  5],[27.5  5.5] ; [27.5  5.5],0
s2,1,0.751094,0.100614,[13 17] ; [13 20],[12.38095238 17.61904762] ; [13.61904762 19.38095238],0
d4,1,0.778341,0.079232,[24  9] ; [25  8],[24.5  8.5] ; [24.5  8.5],0
r1,1,0.791568,0.069841,[22 11] ; [23 10],[22.5 10.5] ; [22.5 10.5],0
a5,1,0.799687,0.06439,[20 13] ; [21 12],[20.5 12.5] ; [20.5 12.5],0
a3,1,0.805541,0.060606,[16 17] ; [17 16],[16.5 16.5] ; [16.5 16.5],0
d3,1,0.857497,0.032242,[22 11] ; [22 10],[22.33846154 10.66153846] ; [21.66153846 10.33846154],0
n1,1,0.918517,0.010466,[4 9] ; [2 5],[3.9 9.1] ; [2.1 4.9],0
p12,1,1.0,0.0,[ 1 32] ; [ 1 32],[ 1. 32.] ; [ 1. 32.],0
