Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r2,1,0.0,62.530754,[4 5] ; [349  10],[8.63315217 0.36684783] ; [344.36684783  14.63315217],1
r4,1,0.0,26.235745,[5 4] ; [348  17],[8.49465241 0.50534759] ; [344.50534759  20.49465241],1
s1,1,0.001955,9.591601,[2 7] ; [ 11 352],[0.31451613 8.68548387] ; [ 12.68548387 350.31451613],0
d2,1,0.024981,5.025178,[8 1] ; [186 178],[4.68096515 4.31903485] ; [189.31903485 174.68096515],0
p2,1,0.089069,2.891116,[7 2] ; [339  26],[8.32620321 0.67379679] ; [337.67379679  27.32620321],0
s2,1,0.105524,2.620013,[2 6] ; [195 167],[4.25945946 3.74054054] ; [192.74054054 169.25945946],0
r1,1,0.119347,2.425872,[6 3] ; [311  53],[7.64879357 1.35120643] ; [309.35120643  54.64879357],0
n2,1,0.133672,2.249329,[2 2] ; [44 10],[3.17241379 0.82758621] ; [42.82758621 11.17241379],0
a4,1,0.143532,2.139673,[2 7] ; [170 193],[4.16129032 4.83870968] ; [167.83870968 195.16129032],0
p12,1,0.215469,1.534294,[2 6] ; [ 40 324],[0.90322581 7.09677419] ; [ 41.09677419 322.90322581],0
a7,1,0.244037,1.357123,[5 4] ; [266  98],[6.53887399 2.46112601] ; [264.46112601  99.53887399],0
v1,1,0.262233,1.256931,[4 5] ; [226 134],[5.6097561 3.3902439] ; [224.3902439 135.6097561],0
s7,1,0.265519,1.239752,[3 5] ; [198 148],[4.54237288 3.45762712] ; [196.45762712 149.54237288],0
r3,1,0.273121,1.201004,[8 1] ; [350  14],[8.63806971 0.36193029] ; [349.36193029  14.63806971],0
p5,1,0.313846,1.014422,[3 6] ; [ 72 293],[1.80481283 7.19518717] ; [ 73.19518717 291.80481283],0
d3,1,0.339472,0.912425,[5 4] ; [256 108],[6.29758713 2.70241287] ; [254.70241287 109.29758713],0
a2,1,0.357477,0.846737,[1 8] ; [ 89 276],[2.1657754 6.8342246] ; [ 87.8342246 277.1657754],0
s8,1,0.360524,0.836067,[6 3] ; [185 176],[4.64594595 4.35405405] ; [186.35405405 174.64594595],0
n1,1,0.390661,0.736885,[1 3] ; [25 28],[1.8245614 2.1754386] ; [24.1754386 28.8245614],0
v3,1,0.428845,0.62595,[3 6] ; [167 191],[4.16893733 4.83106267] ; [165.83106267 192.16893733],0
a8,1,0.440946,0.59382,[2 5] ; [ 58 276],[1.23167155 5.76832845] ; [ 58.76832845 275.23167155],0
a6,1,0.45112,0.567836,[5 4] ; [245 118],[6.0483871 2.9516129] ; [243.9516129 119.0483871],0
u2,1,0.488324,0.480217,[1 2] ; [52 45],[1.59 1.41] ; [51.41 45.59],0
b5,1,0.548876,0.359335,[4 5] ; [199 166],[4.88502674 4.11497326] ; [198.11497326 166.88502674],0
b4,1,0.551297,0.354998,[6 3] ; [207 158],[5.12566845 3.87433155] ; [207.87433155 157.12566845],0
d1,1,0.573085,0.317548,[5 4] ; [236 129],[5.79946524 3.20053476] ; [235.20053476 129.79946524],0
s4,1,0.590156,0.290101,[2 7] ; [ 56 303],[1.41847826 7.58152174] ; [ 56.58152174 302.41847826],0
s6,1,0.61861,0.247826,[5 3] ; [250 104],[5.63535912 2.36464088] ; [249.36464088 104.63535912],0
a3,1,0.619346,0.246787,[6 3] ; [268  94],[6.64690027 2.35309973] ; [267.35309973  94.64690027],0
s3,1,0.620248,0.245519,[4 4] ; [212 149],[4.68292683 3.31707317] ; [211.31707317 149.68292683],0
b1,1,0.639846,0.218944,[3 6] ; [150 215],[3.68181818 5.31818182] ; [149.31818182 215.68181818],0
v2,1,0.650496,0.205276,[6 3] ; [210 145],[5.34065934 3.65934066] ; [210.65934066 144.34065934],0
p6,1,0.662695,0.190266,[4 5] ; [187 174],[4.64594595 4.35405405] ; [186.35405405 174.64594595],0
u3,1,0.668524,0.183333,[2 1] ; [52 44],[1.63636364 1.36363636] ; [52.36363636 43.63636364],0
p7,1,0.674638,0.176224,[7 2] ; [300  61],[7.46756757 1.53243243] ; [299.53243243  61.46756757],0
d4,1,0.678628,0.171675,[8 1] ; [304  59],[7.5483871 1.4516129] ; [304.4516129  58.5483871],0
d5,1,0.686377,0.163035,[7 2] ; [301  62],[7.4516129 1.5483871] ; [300.5483871  62.4516129],0
b2,1,0.731918,0.117358,[3 4] ; [ 84 146],[2.56962025 4.43037975] ; [ 84.43037975 145.56962025],0
b3,1,0.731918,0.117358,[3 4] ; [ 84 146],[2.56962025 4.43037975] ; [ 84.43037975 145.56962025],0
s5,1,0.747781,0.103405,[4 5] ; [137 213],[3.53481894 5.46518106] ; [137.46518106 212.53481894],0
p9,1,0.764227,0.089961,[7 1] ; [329  34],[7.24528302 0.75471698] ; [328.75471698  34.24528302],0
n3,1,0.826861,0.047843,[3 1] ; [37 16],[2.80701754 1.19298246] ; [37.19298246 15.80701754],0
p10,1,0.874124,0.025097,[7 1] ; [324  39],[7.13746631 0.86253369] ; [323.86253369  39.13746631],0
p4,1,0.918395,0.010497,[7 2] ; [277  86],[6.87096774 2.12903226] ; [277.12903226  85.87096774],0
n5,1,0.94814,0.004231,[8 1] ; [326  38],[8.05898123 0.94101877] ; [325.94101877  38.05898123],0
a5,1,0.966806,0.001732,[7 2] ; [286  79],[7.05080214 1.94919786] ; [285.94919786  79.05080214],0
p3,1,0.972479,0.00119,[6 3] ; [240 123],[5.9516129 3.0483871] ; [240.0483871 122.9516129],0
