Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,0.008366,6.953386,[ 6 11] ; [60 27],[10.78846154  6.21153846] ; [55.21153846 31.78846154],0
s6,1,0.022223,5.228223,[15  1] ; [56 30],[11.1372549  4.8627451] ; [59.8627451 26.1372549],0
a2,1,0.036774,4.360838,[ 2 15] ; [33 54],[ 5.72115385 11.27884615] ; [29.27884615 57.72115385],0
b1,1,0.040979,4.176876,[11  6] ; [33 54],[7.19230769 9.80769231] ; [36.80769231 50.19230769],0
p10,1,0.041154,4.169653,[10  7] ; [70 16],[13.2038835  3.7961165] ; [66.7961165 19.2038835],0
a7,1,0.043837,4.062834,[9 8] ; [66 20],[12.37864078  4.62135922] ; [62.62135922 23.37864078],0
d3,1,0.046844,3.950988,[8 9] ; [61 24],[11.5  5.5] ; [57.5 27.5],0
p11,1,0.065762,3.385765,[8 9] ; [61 26],[11.27884615  5.72115385] ; [57.72115385 29.27884615],0
s4,1,0.088261,2.905814,[ 5 12] ; [11 74],[ 2.66666667 14.33333333] ; [13.33333333 71.66666667],0
n5,1,0.095195,2.784252,[9 8] ; [63 23],[11.88349515  5.11650485] ; [60.11650485 25.88349515],0
a1,1,0.142647,2.149167,[ 2 15] ; [ 3 84],[ 0.81730769 16.18269231] ; [ 4.18269231 82.81730769],0
n2,1,0.143414,2.140938,[6 1] ; [15 12],[4.32352941 2.67647059] ; [16.67647059 10.32352941],0
a6,1,0.14745,2.098431,[10  7] ; [66 21],[12.42307692  4.57692308] ; [63.57692308 23.42307692],0
n4,1,0.193633,1.68976,[12  5] ; [73 14],[13.89423077  3.10576923] ; [71.10576923 15.89423077],0
p1,1,0.219385,1.508391,[ 3 14] ; [ 7 80],[ 1.63461538 15.36538462] ; [ 8.36538462 78.63461538],0
b2,1,0.223677,1.480621,[5 8] ; [32 24],[6.97101449 6.02898551] ; [30.02898551 25.97101449],0
b3,1,0.223677,1.480621,[5 8] ; [32 24],[6.97101449 6.02898551] ; [30.02898551 25.97101449],0
p9,1,0.242617,1.365324,[13  4] ; [76 11],[14.54807692  2.45192308] ; [74.45192308 12.54807692],0
p3,1,0.251925,1.312599,[10  7] ; [38 49],[7.84615385 9.15384615] ; [40.15384615 46.84615385],0
u1,1,0.265129,1.241774,[ 3 14] ; [27 60],[ 4.90384615 12.09615385] ; [25.09615385 61.90384615],0
n1,1,0.27893,1.172295,[4 3] ; [ 9 17],[2.75757576 4.24242424] ; [10.24242424 15.75757576],0
n6,1,0.30885,1.035589,[13  4] ; [75 12],[14.38461538  2.61538462] ; [73.61538462 13.38461538],0
d2,1,0.369948,0.803838,[11  6] ; [46 41],[9.31730769 7.68269231] ; [47.68269231 39.31730769],0
r1,1,0.394901,0.723797,[11  6] ; [65 22],[12.42307692  4.57692308] ; [63.57692308 23.42307692],0
v3,1,0.413658,0.668262,[6 9] ; [25 60],[ 4.65 10.35] ; [26.35 58.65],0
b5,1,0.426989,0.630999,[13  4] ; [58 29],[11.60576923  5.39423077] ; [59.39423077 27.60576923],0
p7,1,0.45237,0.564706,[10  7] ; [58 27],[11.33333333  5.66666667] ; [56.66666667 28.33333333],0
a5,1,0.456357,0.554815,[11  6] ; [64 23],[12.25961538  4.74038462] ; [62.74038462 24.25961538],0
b4,1,0.468061,0.526549,[11  6] ; [48 39],[9.64423077 7.35576923] ; [49.35576923 37.64423077],0
n3,1,0.517636,0.4186,[6 1] ; [20  7],[5.35294118 1.64705882] ; [20.64705882  6.35294118],0
u3,1,0.521213,0.411492,[4 1] ; [15  8],[3.39285714 1.60714286] ; [15.60714286  7.39285714],0
s5,1,0.613359,0.255312,[6 8] ; [29 52],[5.15789474 8.84210526] ; [29.84210526 51.15789474],0
s8,1,0.615804,0.251809,[9 7] ; [43 44],[8.0776699 7.9223301] ; [43.9223301 43.0776699],0
s1,1,0.648211,0.208163,[ 1 16] ; [ 3 82],[ 0.66666667 16.33333333] ; [ 3.33333333 81.66666667],0
s3,1,0.692165,0.156752,[9 8] ; [50 36],[9.73786408 7.26213592] ; [49.26213592 36.73786408],0
a4,1,0.692165,0.156752,[9 8] ; [50 36],[9.73786408 7.26213592] ; [49.26213592 36.73786408],0
a8,1,0.747449,0.103688,[ 2 15] ; [ 7 69],[ 1.64516129 15.35483871] ; [ 7.35483871 68.64516129],0
u2,1,0.775732,0.081159,[4 1] ; [17  6],[3.75 1.25] ; [17.25  5.75],0
d4,1,0.793153,0.068759,[13  4] ; [69 18],[13.40384615  3.59615385] ; [68.59615385 18.40384615],0
a3,1,0.800323,0.063973,[12  5] ; [64 23],[12.42307692  4.57692308] ; [63.57692308 23.42307692],0
s2,1,0.828376,0.046996,[10  7] ; [53 33],[10.39805825  6.60194175] ; [52.60194175 33.39805825],0
v4,1,0.878676,0.023301,[16  1] ; [81  6],[15.85576923  1.14423077] ; [81.14423077  5.85576923],0
d5,1,0.88958,0.019275,[14  3] ; [72 14],[14.19417476  2.80582524] ; [71.80582524 14.19417476],0
d1,1,0.917789,0.010654,[10  7] ; [50 37],[9.80769231 7.19230769] ; [50.19230769 36.80769231],0
s7,1,0.919769,0.010146,[11  6] ; [52 30],[10.81818182  6.18181818] ; [52.18181818 29.81818182],0
r4,1,0.920164,0.010045,[15  2] ; [76 11],[14.875  2.125] ; [76.125 10.875],0
v2,1,0.931366,0.007418,[9 6] ; [52 33],[9.15 5.85] ; [51.85 33.15],0
v1,1,1.0,0.0,[9 8] ; [45 40],[9. 8.] ; [45. 40.],0
