Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,0.0,139.120818,[165  74] ; [ 31 186],[102.72807018 136.27192982] ; [ 93.27192982 123.72807018],1
d5,1,0.0,122.110009,[235   4] ; [120  97],[186.06359649  52.93640351] ; [168.93640351  48.06359649],1
d3,1,0.0,108.292929,[211  28] ; [ 91 125],[158.63296703  80.36703297] ; [143.36703297  72.63296703],1
d4,1,0.0,104.510903,[235   4] ; [131  87],[191.40919037  47.59080963] ; [174.59080963  43.40919037],1
a2,1,0.0,55.632914,[ 82 157] ; [ 13 205],[ 49.68271335 189.31728665] ; [ 45.31728665 172.68271335],1
a5,1,0.0,46.593817,[203  36] ; [122  96],[169.96717724  69.03282276] ; [155.03282276  62.96717724],1
u1,1,0.0,44.811472,[ 61 178] ; [  7 211],[ 35.56236324 203.43763676] ; [ 32.43763676 185.56236324],1
a4,1,0.0,44.634011,[138 101] ; [ 58 159],[102.72807018 136.27192982] ; [ 93.27192982 123.72807018],1
a3,1,0.0,33.554295,[193  46] ; [120  96],[164.41098901  74.58901099] ; [148.58901099  67.41098901],1
r1,1,0.0,26.516931,[202  36] ; [138  78],[178.23788546  59.76211454] ; [161.76211454  54.23788546],1
r2,1,8e-06,19.877399,[230   5] ; [185  28],[217.68973214  17.31026786] ; [197.31026786  15.68973214],1
p6,1,0.000225,13.608087,[105 132] ; [ 59 155],[ 86.18181818 150.81818182] ; [ 77.81818182 136.18181818],1
a6,1,0.00035,12.782418,[177  62] ; [127  91],[158.98468271  80.01531729] ; [145.01531729  72.98468271],1
r4,1,0.000381,12.622685,[220  19] ; [176  42],[207.09846827  31.90153173] ; [188.90153173  29.09846827],1
p4,1,0.000924,10.974219,[155  83] ; [108 109],[137.56923077 100.43076923] ; [125.43076923  91.56923077],1
p3,1,0.001296,10.348121,[128 111] ; [ 84 134],[110.87089716 128.12910284] ; [101.12910284 116.87089716],0
s2,1,0.00154,10.029916,[134 105] ; [ 89 127],[117.13626374 121.86373626] ; [105.86373626 110.13626374],0
s8,1,0.002595,9.072164,[112 127] ; [ 72 146],[ 96.22757112 142.77242888] ; [ 87.77242888 130.22757112],0
n4,1,0.00342,8.568788,[188  50] ; [145  72],[174.18461538  63.81538462] ; [158.81538462  58.18461538],0
s5,1,0.005146,7.82726,[ 90 137] ; [ 57 154],[ 76.18493151 150.81506849] ; [ 70.81506849 140.18493151],0
a7,1,0.00865,6.893765,[184  55] ; [143  74],[171.38815789  67.61184211] ; [155.61184211  61.38815789],0
