Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.006475,7.413128,[44  1] ; [53 13],[39.32432432  5.67567568] ; [57.67567568  8.32432432],0
v2,1,0.019016,5.5,[26 18] ; [24 42],[20. 24.] ; [30. 36.],0
p8,1,0.037636,4.321395,[28 18] ; [27 39],[22.58928571 23.41071429] ; [32.41071429 33.58928571],0
v3,1,0.05647,3.638127,[20 26] ; [17 48],[15.33333333 30.66666667] ; [21.66666667 43.33333333],0
a8,1,0.084257,2.980803,[ 2 40] ; [10 54],[ 4.75471698 37.24528302] ; [ 7.24528302 56.75471698],0
r3,1,0.092046,2.838225,[45  1] ; [60  7],[42.74336283  3.25663717] ; [62.25663717  4.74336283],0
p2,1,0.109761,2.557659,[40  6] ; [50 17],[36.63716814  9.36283186] ; [53.36283186 13.63716814],0
s4,1,0.116717,2.460834,[ 3 43] ; [11 56],[ 5.69911504 40.30088496] ; [ 8.30088496 58.69911504],0
b2,1,0.124894,2.354843,[12 13] ; [12 29],[ 9.09090909 15.90909091] ; [14.90909091 26.09090909],0
b3,1,0.124894,2.354843,[12 13] ; [12 29],[ 9.09090909 15.90909091] ; [14.90909091 26.09090909],0
b5,1,0.126872,2.330371,[28 18] ; [31 36],[24.01769912 21.98230088] ; [34.98230088 32.01769912],0
s6,1,0.152182,2.050243,[31 15] ; [35 30],[27.35135135 18.64864865] ; [38.64864865 26.35135135],0
n6,1,0.16364,1.940259,[37  9] ; [46 21],[33.78761062 12.21238938] ; [49.21238938 17.78761062],0
p11,1,0.198349,1.654486,[36 10] ; [45 22],[32.97345133 13.02654867] ; [48.02654867 18.97345133],0
p6,1,0.21069,1.566676,[15 28] ; [16 51],[12.11818182 30.88181818] ; [18.88181818 48.11818182],0
r2,1,0.242948,1.363409,[43  2] ; [59  7],[41.35135135  3.64864865] ; [60.64864865  5.35135135],0
p7,1,0.266125,1.236612,[31 14] ; [38 27],[28.22727273 16.77272727] ; [40.77272727 24.22727273],0
n3,1,0.2839,1.148325,[6 5] ; [14  5],[7.33333333 3.66666667] ; [12.66666667  6.33333333],0
s5,1,0.286739,1.134868,[ 4 41] ; [10 53],[ 5.83333333 39.16666667] ; [ 8.16666667 54.83333333],0
b4,1,0.325011,0.968674,[26 20] ; [44 23],[28.49557522 17.50442478] ; [41.50442478 25.49557522],0
p10,1,0.346675,0.88559,[32 12] ; [43 24],[29.72972973 14.27027027] ; [45.27027027 21.72972973],0
a3,1,0.360601,0.8358,[32 14] ; [41 26],[29.71681416 16.28318584] ; [43.28318584 23.71681416],0
d3,1,0.360601,0.8358,[32 14] ; [41 26],[29.71681416 16.28318584] ; [43.28318584 23.71681416],0
s1,1,0.364449,0.822504,[ 3 42] ; [ 2 64],[ 2.02702703 42.97297297] ; [ 2.97297297 63.02702703],0
a1,1,0.369102,0.806687,[ 3 43] ; [ 2 65],[ 2.03539823 43.96460177] ; [ 2.96460177 64.03539823],0
a7,1,0.405956,0.690613,[31 15] ; [40 27],[28.90265487 17.09734513] ; [42.09734513 24.90265487],0
n2,1,0.453129,0.562812,[7 4] ; [16  5],[7.90625 3.09375] ; [15.09375  5.90625],0
d5,1,0.509497,0.435099,[31 15] ; [49 18],[32.56637168 13.43362832] ; [47.43362832 19.56637168],0
b1,1,0.510743,0.432545,[20 26] ; [25 42],[18.31858407 27.68141593] ; [26.68141593 40.31858407],0
p4,1,0.526929,0.400311,[23 23] ; [29 37],[21.35714286 24.64285714] ; [30.64285714 35.35714286],0
d1,1,0.545573,0.365308,[20 26] ; [33 34],[21.57522124 24.42477876] ; [31.42477876 35.57522124],0
a2,1,0.563089,0.334384,[ 8 38] ; [ 9 58],[ 6.92035398 39.07964602] ; [10.07964602 56.92035398],0
a6,1,0.605347,0.267006,[33 13] ; [45 22],[31.75221239 14.24778761] ; [46.24778761 20.75221239],0
s7,1,0.618892,0.247428,[16 28] ; [20 43],[14.80373832 29.19626168] ; [21.19626168 41.80373832],0
d4,1,0.632923,0.228118,[33 13] ; [50 16],[34.08928571 11.91071429] ; [48.91071429 17.08928571],0
u2,1,0.640905,0.21756,[7 7] ; [11 15],[6.3 7.7] ; [11.7 14.3],0
n1,1,0.641039,0.217385,[4 7] ; [ 9 11],[4.61290323 6.38709677] ; [ 8.38709677 11.61290323],0
d2,1,0.714467,0.133856,[19 27] ; [30 37],[19.94690265 26.05309735] ; [29.05309735 37.94690265],0
r4,1,0.724902,0.123845,[38  8] ; [57 10],[38.67256637  7.32743363] ; [56.32743363 10.67256637],0
p9,1,0.725597,0.123193,[33 13] ; [46 21],[32.15929204 13.84070796] ; [46.84070796 20.15929204],0
a4,1,0.727576,0.121349,[16 29] ; [26 41],[16.875 28.125] ; [25.125 41.875],0
p5,1,0.738215,0.111701,[ 4 42] ; [ 7 59],[ 4.51785714 41.48214286] ; [ 6.48214286 59.51785714],0
u1,1,0.757559,0.095288,[ 4 42] ; [ 7 60],[ 4.47787611 41.52212389] ; [ 6.52212389 60.47787611],0
p12,1,0.796589,0.066442,[ 1 44] ; [ 2 64],[ 1.21621622 43.78378378] ; [ 1.78378378 64.21621622],0
p1,1,0.812012,0.056564,[ 4 42] ; [ 5 62],[ 3.66371681 42.33628319] ; [ 5.33628319 61.66371681],0
n5,1,0.850809,0.035377,[32 14] ; [47 19],[32.44642857 13.55357143] ; [46.55357143 19.44642857],0
a5,1,0.90972,0.012858,[30 16] ; [43 24],[29.71681416 16.28318584] ; [43.28318584 23.71681416],0
s8,1,0.918271,0.010529,[14 32] ; [21 46],[14.24778761 31.75221239] ; [20.75221239 46.24778761],0
n4,1,0.926623,0.008481,[34 12] ; [49 18],[33.78761062 12.21238938] ; [49.21238938 17.78761062],0
p3,1,0.972385,0.001198,[20 25] ; [30 37],[20.08928571 24.91071429] ; [29.91071429 37.08928571],0
r1,1,0.990998,0.000127,[33 13] ; [48 19],[32.97345133 13.02654867] ; [48.02654867 18.97345133],0
u3,1,1.0,0.0,[7 7] ; [13 13],[7. 7.] ; [13. 13.],0
