Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.001703,9.844525,[92 15] ; [16 11],[86.23880597 20.76119403] ; [21.76119403  5.23880597],0
p9,1,0.002268,9.319076,[98 11] ; [18  9],[92.97058824 16.02941176] ; [23.02941176  3.97058824],0
s6,1,0.008202,6.988815,[82 23] ; [13 12],[76.73076923 28.26923077] ; [18.26923077  6.73076923],0
n4,1,0.018219,5.574947,[91 18] ; [17 10],[86.55882353 22.44117647] ; [21.44117647  5.55882353],0
b5,1,0.027186,4.878959,[55 54] ; [20  7],[60.11029412 48.88970588] ; [14.88970588 12.11029412],0
p4,1,0.036026,4.395891,[89 20] ; [17 10],[84.95588235 24.04411765] ; [21.04411765  5.95588235],0
s1,1,0.062163,3.478712,[  3 104] ; [ 3 24],[  4.79104478 102.20895522] ; [ 1.20895522 25.79104478],0
a5,1,0.070554,3.270091,[80 29] ; [15 12],[76.13970588 32.86029412] ; [18.86029412  8.13970588],0
s8,1,0.073754,3.197426,[59 50] ; [ 9 17],[54.9037037 54.0962963] ; [13.0962963 12.9037037],0
u1,1,0.092156,2.836305,[14 95] ; [ 7 20],[16.83088235 92.16911765] ; [ 4.16911765 22.83088235],0
v1,1,0.095121,2.785494,[47 61] ; [ 7 20],[43.2 64.8] ; [10.8 16.2],0
p8,1,0.121546,2.397285,[81 28] ; [16 11],[77.74264706 31.25735294] ; [19.25735294  7.74264706],0
s5,1,0.12236,2.386845,[51 55] ; [ 7 16],[47.65891473 58.34108527] ; [10.34108527 12.65891473],0
p7,1,0.141534,2.161206,[91 15] ; [20  7],[88.46616541 17.53383459] ; [22.53383459  4.46616541],0
a7,1,0.187946,1.733647,[69 40] ; [20  6],[71.85925926 37.14074074] ; [17.14074074  8.85925926],0
b4,1,0.211325,1.562324,[55 54] ; [10 17],[52.09558824 56.90441176] ; [12.90441176 14.09558824],0
p2,1,0.220193,1.503111,[101   8] ; [23  4],[99.38235294  9.61764706] ; [24.61764706  2.38235294],0
r4,1,0.220193,1.503111,[101   8] ; [23  4],[99.38235294  9.61764706] ; [24.61764706  2.38235294],0
a3,1,0.239522,1.383403,[76 33] ; [15 11],[73.47407407 35.52592593] ; [17.52592593  8.47407407],0
d4,1,0.267938,1.227273,[90 18] ; [20  7],[88. 20.] ; [22.  5.],0
u4,1,0.281585,1.159422,[  1 108] ; [ 1 26],[  1.60294118 107.39705882] ; [ 0.39705882 26.60294118],0
d2,1,0.367138,0.81333,[50 59] ; [15 12],[52.09558824 56.90441176] ; [12.90441176 14.09558824],0
