Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.0,68.433555,[201  52] ; [43 77],[165.50134048  87.49865952] ; [78.49865952 41.50134048],1
a6,1,0.0,53.811767,[196  58] ; [46 74],[164.35294118  89.64705882] ; [77.64705882 42.35294118],1
d4,1,0.0,25.640321,[211  43] ; [70 49],[191.35120643  62.64879357] ; [89.64879357 29.35120643],1
r1,1,5e-06,20.93733,[200  54] ; [67 53],[181.3315508  72.6684492] ; [85.6684492 34.3315508],1
r4,1,7e-06,20.253272,[213  42] ; [75 45],[195.84  59.16] ; [92.16 27.84],1
d1,1,7e-06,20.098549,[144 111] ; [38 82],[123.76 131.24] ; [58.24 61.76],1
r3,1,1e-05,19.480981,[236  17] ; [93 27],[223.15549598  29.84450402] ; [105.84450402  14.15549598],1
d5,1,1.5e-05,18.754335,[199  55] ; [68 52],[181.3315508  72.6684492] ; [85.6684492 34.3315508],1
a2,1,2.8e-05,17.579388,[ 57 198] ; [  6 114],[ 42.84 212.16] ; [20.16 99.84],1
u1,1,0.000441,12.351501,[ 37 218] ; [  3 117],[ 27.2 227.8] ; [ 12.8 107.2],1
b5,1,0.000642,11.650667,[178  77] ; [62 58],[163.2  91.8] ; [76.8 43.2],1
a5,1,0.00257,9.090341,[169  86] ; [60 60],[155.72  99.28] ; [73.28 46.72],0
s6,1,0.003176,8.703368,[135 118] ; [44 75],[121.73924731 131.26075269] ; [57.26075269 61.73924731],0
p2,1,0.003318,8.623802,[194  61] ; [73 46],[182.04545455  72.95454545] ; [84.95454545 34.04545455],0
r2,1,0.005669,7.652644,[229  24] ; [93 23],[220.77506775  32.22493225] ; [101.22493225  14.77506775],0
p10,1,0.007334,7.189336,[178  73] ; [67 51],[166.65311653  84.34688347] ; [78.34688347 39.65311653],0
b1,1,0.010205,6.598726,[ 80 175] ; [54 66],[ 91.12 163.88] ; [42.88 77.12],0
v4,1,0.010619,6.527964,[231  24] ; [95 22],[223.46774194  31.53225806] ; [102.53225806  14.46774194],0
v2,1,0.022731,5.188976,[123 120] ; [43 71],[112.99159664 130.00840336] ; [53.00840336 60.99159664],0
u3,1,0.023837,5.106467,[49 39] ; [17 31],[42.70588235 45.29411765] ; [23.29411765 24.70588235],0
b3,1,0.033157,4.53768,[33 99] ; [29 45],[39.72815534 92.27184466] ; [22.27184466 51.72815534],0
b2,1,0.033157,4.53768,[33 99] ; [29 45],[39.72815534 92.27184466] ; [22.27184466 51.72815534],0
p8,1,0.03353,4.518488,[ 95 154] ; [32 87],[ 85.93206522 163.06793478] ; [41.06793478 77.93206522],0
p9,1,0.065431,3.394088,[185  64] ; [76 41],[177.56557377  71.43442623] ; [83.43442623 33.56557377],0
u2,1,0.076667,3.134185,[53 36] ; [21 27],[48.0729927 40.9270073] ; [25.9270073 22.0729927],0
b4,1,0.081634,3.032073,[156  99] ; [62 58],[148.24 106.76] ; [69.76 50.24],0
n6,1,0.107487,2.59079,[191  63] ; [80 39],[184.54155496  69.45844504] ; [86.45844504 32.54155496],0
s2,1,0.138554,2.193945,[ 92 161] ; [34 85],[ 85.69354839 167.30645161] ; [40.30645161 78.69354839],0
s4,1,0.158783,1.985781,[ 31 220] ; [  9 111],[ 27.06199461 223.93800539] ; [ 12.93800539 107.06199461],0
n5,1,0.206467,1.596028,[164  89] ; [85 34],[169.34677419  83.65322581] ; [79.65322581 39.34677419],0
p11,1,0.211995,1.557751,[184  71] ; [79 41],[178.84  76.16] ; [84.16 35.84],0
a8,1,0.273766,1.197779,[ 34 205] ; [11 99],[ 30.81661891 208.18338109] ; [14.18338109 95.81661891],0
p5,1,0.320431,0.987188,[  6 248] ; [  5 113],[  7.51075269 246.48924731] ; [  3.48924731 114.51075269],0
a3,1,0.328101,0.956379,[165  88] ; [72 48],[160.75335121  92.24664879] ; [76.24664879 43.75335121],0
s3,1,0.34235,0.90161,[111 140] ; [46 72],[106.79403794 144.20596206] ; [50.20596206 67.79403794],0
p4,1,0.368405,0.809037,[ 88 166] ; [35 82],[ 84.21024259 169.78975741] ; [38.78975741 78.21024259],0
u4,1,0.416975,0.658826,[  5 250] ; [  1 119],[  4.08 250.92] ; [  1.92 118.08],0
p7,1,0.419328,0.652198,[112 134] ; [48 69],[108.42975207 137.57024793] ; [51.57024793 65.42975207],0
s8,1,0.552092,0.353582,[ 69 186] ; [29 91],[ 66.64 188.36] ; [31.36 88.64],0
d2,1,0.565139,0.330884,[104 150] ; [45 74],[101.46380697 152.53619303] ; [47.53619303 71.46380697],0
v3,1,0.572359,0.318751,[ 75 171] ; [32 84],[ 72.71270718 173.28729282] ; [34.28729282 81.71270718],0
p6,1,0.583376,0.300809,[ 52 201] ; [21 95],[ 50.05149051 202.94850949] ; [22.94850949 93.05149051],0
n4,1,0.602417,0.271366,[172  82] ; [78 42],[169.78609626  84.21390374] ; [80.21390374 39.78609626],0
a1,1,0.629794,0.23234,[ 10 245] ; [  6 114],[ 10.88 244.12] ; [  5.12 114.88],0
n3,1,0.688677,0.160522,[48 27] ; [29 19],[46.95121951 28.04878049] ; [30.04878049 17.95121951],0
n2,1,0.695509,0.153186,[50 25] ; [35 15],[51. 24.] ; [34. 16.],0
n1,1,0.697233,0.151367,[25 50] ; [18 31],[26.00806452 48.99193548] ; [16.99193548 32.00806452],0
s7,1,0.709163,0.139114,[ 77 168] ; [33 79],[ 75.49019608 169.50980392] ; [34.50980392 77.49019608],0
p1,1,0.774037,0.082426,[ 10 244] ; [  4 116],[  9.50802139 244.49197861] ; [  4.49197861 115.50802139],0
v1,1,0.822463,0.050346,[ 97 151] ; [48 71],[ 97.98365123 150.01634877] ; [47.01634877 71.98365123],0
p12,1,0.833162,0.044372,[  5 247] ; [  2 118],[  4.74193548 247.25806452] ; [  2.25806452 117.74193548],0
s1,1,0.94305,0.005103,[ 11 239] ; [  5 113],[ 10.86956522 239.13043478] ; [  5.13043478 112.86956522],0
a4,1,0.958467,0.002712,[ 94 160] ; [44 74],[ 94.22580645 159.77419355] ; [43.77419355 74.22580645],0
