Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r2,1,3.8e-05,16.981458,[131   8] ; [5 4],[127.72972973  11.27027027] ; [8.27027027 0.72972973],1
r4,1,7.1e-05,15.774026,[126  14] ; [4 5],[122.14765101  17.85234899] ; [7.85234899 1.14765101],1
p9,1,0.02798,4.829312,[113  25] ; [4 4],[110.5890411  27.4109589] ; [6.4109589 1.5890411],0
v2,1,0.032339,4.580451,[71 65] ; [8 1],[74.09655172 61.90344828] ; [4.90344828 4.09655172],0
v1,1,0.063629,3.440173,[72 61] ; [2 7],[69.30985915 63.69014085] ; [4.69014085 4.30985915],0
n6,1,0.087035,2.928369,[122  18] ; [6 3],[120.26845638  19.73154362] ; [7.73154362 1.26845638],0
p11,1,0.098203,2.734492,[99 41] ; [4 5],[96.77852349 43.22147651] ; [6.22147651 2.77852349],0
p10,1,0.122052,2.390795,[104  35] ; [4 4],[102.12244898  36.87755102] ; [5.87755102 2.12244898],0
r1,1,0.129776,2.295184,[108  31] ; [5 4],[106.12837838  32.87162162] ; [6.87162162 2.12837838],0
u2,1,0.157432,1.998721,[30 19] ; [1 3],[28.66037736 20.33962264] ; [2.33962264 1.66037736],0
s8,1,0.183149,1.771886,[62 76] ; [2 7],[60.08163265 77.91836735] ; [3.91836735 5.08163265],0
d3,1,0.211432,1.561592,[97 43] ; [8 1],[98.65771812 41.34228188] ; [6.34228188 2.65771812],0
b4,1,0.289017,1.124197,[84 56] ; [7 2],[85.5033557 54.4966443] ; [5.4966443 3.5033557],0
s2,1,0.301125,1.069207,[77 60] ; [3 5],[75.5862069 61.4137931] ; [4.4137931 3.5862069],0
p3,1,0.391284,0.734949,[82 57] ; [4 5],[80.77027027 58.22972973] ; [5.22972973 3.77027027],0
s3,1,0.396667,0.718406,[73 65] ; [3 5],[71.83561644 66.16438356] ; [4.16438356 3.83561644],0
b2,1,0.446757,0.578866,[32 55] ; [1 4],[31.20652174 55.79347826] ; [1.79347826 3.20652174],0
b3,1,0.446757,0.578866,[32 55] ; [1 4],[31.20652174 55.79347826] ; [1.79347826 3.20652174],0
p6,1,0.488718,0.479348,[ 32 106] ; [3 6],[ 32.85714286 105.14285714] ; [2.14285714 6.85714286],0
r3,1,0.510046,0.433973,[132   8] ; [8 1],[131.54362416   8.45637584] ; [8.45637584 0.54362416],0
v3,1,0.52796,0.398317,[45 87] ; [4 5],[45.87234043 86.12765957] ; [3.12765957 5.87234043],0
d2,1,0.53577,0.383436,[78 61] ; [6 3],[78.89189189 60.10810811] ; [5.10810811 3.89189189],0
n5,1,0.542538,0.370856,[106  34] ; [6 3],[105.23489933  34.76510067] ; [6.76510067 2.23489933],0
a3,1,0.566174,0.329126,[91 49] ; [5 4],[90.20134228 49.79865772] ; [5.79865772 3.20134228],0
d4,1,0.573289,0.317211,[114  26] ; [8 1],[114.63087248  25.36912752] ; [7.36912752 1.63087248],0
a7,1,0.578238,0.309092,[105  35] ; [6 3],[104.29530201  35.70469799] ; [6.70469799 2.29530201],0
b5,1,0.597408,0.278923,[90 50] ; [5 4],[89.26174497 50.73825503] ; [5.73825503 3.26174497],0
s6,1,0.66344,0.189372,[98 40] ; [7 2],[98.57142857 39.42857143] ; [6.42857143 2.57142857],0
d5,1,0.711011,0.137269,[118  22] ; [8 1],[118.38926174  21.61073826] ; [7.61073826 1.38926174],0
s5,1,0.726674,0.122188,[36 93] ; [3 6],[36.45652174 92.54347826] ; [2.54347826 6.45652174],0
b1,1,0.759039,0.094091,[55 85] ; [4 5],[55.43624161 84.56375839] ; [3.56375839 5.43624161],0
a5,1,0.780811,0.07743,[103  37] ; [7 2],[103.3557047  36.6442953] ; [6.6442953 2.3557047],0
a8,1,0.801405,0.063267,[ 12 111] ; [1 7],[ 12.20610687 110.79389313] ; [0.79389313 7.20610687],0
a4,1,0.842497,0.039482,[67 73] ; [4 5],[66.7114094 73.2885906] ; [4.2885906 4.7114094],0
a6,1,0.851467,0.035061,[89 51] ; [6 3],[89.26174497 50.73825503] ; [5.73825503 3.26174497],0
p5,1,0.867034,0.028032,[ 13 125] ; [1 8],[ 13.14285714 124.85714286] ; [0.85714286 8.14285714],0
n4,1,0.871975,0.025969,[112  28] ; [7 2],[111.81208054  28.18791946] ; [7.18791946 1.81208054],0
d1,1,0.885004,0.020918,[90 50] ; [6 3],[90.20134228 49.79865772] ; [5.79865772 3.20134228],0
p2,1,0.913973,0.01167,[111  29] ; [7 2],[110.87248322  29.12751678] ; [7.12751678 1.87248322],0
p1,1,0.914485,0.011531,[ 14 126] ; [1 8],[ 14.09395973 125.90604027] ; [0.90604027 8.09395973],0
p12,1,0.914485,0.011531,[ 14 126] ; [1 8],[ 14.09395973 125.90604027] ; [0.90604027 8.09395973],0
n3,1,0.926243,0.00857,[27 12] ; [2 1],[26.92857143 12.07142857] ; [2.07142857 0.92857143],0
a2,1,0.955182,0.003158,[ 30 110] ; [2 7],[ 30.06711409 109.93288591] ; [1.93288591 7.06711409],0
n2,1,0.975393,0.000951,[25 13] ; [2 1],[25.02439024 12.97560976] ; [1.97560976 1.02439024],0
p8,1,0.98818,0.000219,[46 93] ; [3 6],[46.02027027 92.97972973] ; [2.97972973 6.02027027],0
